universitas,jurusan,semester_type,nama_mk,sks,semester,kategori
"Universitas Airlangga","S1 Akuakultur (Banyuwangi)","Ganjil","Agama Hindu I",2,1,"Wajib"
"Universitas Airlangga","S1 Akuakultur (Banyuwangi)","Ganjil","Agama Islam I",2,1,"Wajib"
"Universitas Airlangga","S1 Akuakultur (Banyuwangi)","Ganjil","Agama Katolik I",2,1,"Wajib"
"Universitas Airlangga","S1 Akuakultur (Banyuwangi)","Ganjil","Agama Kristen Protestan I",2,1,"Wajib"
"Universitas Airlangga","S1 Akuakultur (Banyuwangi)","Ganjil","Bahasa Indonesia",2,1,"Wajib"
"Universitas Airlangga","S1 Akuakultur (Banyuwangi)","Ganjil","Bahasa Inggris",2,1,"Wajib"
"Universitas Airlangga","S1 Akuakultur (Banyuwangi)","Ganjil","Biologi Dasar",2,1,"Wajib"
"Universitas Airlangga","S1 Akuakultur (Banyuwangi)","Ganjil","Dasar-Dasar Akuakultur",2,1,"Wajib"
"Universitas Airlangga","S1 Akuakultur (Banyuwangi)","Ganjil","Dasar-dasar Pengolahan Hasil Perikanan",2,1,"Wajib"
"Universitas Airlangga","S1 Akuakultur (Banyuwangi)","Ganjil","Data dan Pustaka",2,1,"Wajib"
"Universitas Airlangga","S1 Akuakultur (Banyuwangi)","Ganjil","Filsafat Ilmu",2,1,"Wajib"
"Universitas Airlangga","S1 Akuakultur (Banyuwangi)","Ganjil","Hukum Dan Kebijakan Perikanan",2,1,"Wajib"
"Universitas Airlangga","S1 Akuakultur (Banyuwangi)","Ganjil","Ikhtiologi",3,1,"Wajib"
"Universitas Airlangga","S1 Akuakultur (Banyuwangi)","Ganjil","Kewarganegaraan",2,1,"Wajib"
"Universitas Airlangga","S1 Akuakultur (Banyuwangi)","Ganjil","Kimia Dasar",2,1,"Wajib"
"Universitas Airlangga","S1 Akuakultur (Banyuwangi)","Ganjil","Kimia Dasar I",2,1,"Wajib"
"Universitas Airlangga","S1 Akuakultur (Banyuwangi)","Ganjil","Pancasila",2,1,"Wajib"
"Universitas Airlangga","S1 Akuakultur (Banyuwangi)","Ganjil","Pengantar Ilmu Perikanan",2,1,"Wajib"
"Universitas Airlangga","S1 Akuakultur (Banyuwangi)","Ganjil","Planktonologi",3,1,"Wajib"
"Universitas Airlangga","S1 Akuakultur (Banyuwangi)","Genap","Biokimia",2,2,"Wajib"
"Universitas Airlangga","S1 Akuakultur (Banyuwangi)","Genap","Ekologi Perairan",3,2,"Wajib"
"Universitas Airlangga","S1 Akuakultur (Banyuwangi)","Genap","Fisiologi Hewan Air",3,2,"Wajib"
"Universitas Airlangga","S1 Akuakultur (Banyuwangi)","Genap","Komunikasi dan Pengembangan Diri",2,2,"Wajib"
"Universitas Airlangga","S1 Akuakultur (Banyuwangi)","Genap","Limnologi",3,2,"Wajib"
"Universitas Airlangga","S1 Akuakultur (Banyuwangi)","Genap","Logika dan Pemikiran Kritis",2,2,"Wajib"
"Universitas Airlangga","S1 Akuakultur (Banyuwangi)","Genap","Oseanografi",2,2,"Wajib"
"Universitas Airlangga","S1 Akuakultur (Banyuwangi)","Genap","Pengantar Kolaborasi Keilmuan",2,2,"Wajib"
"Universitas Airlangga","S1 Akuakultur (Banyuwangi)","Genap","Pengantar Oceanografi",2,2,"Wajib"
"Universitas Airlangga","S1 Akuakultur (Banyuwangi)","Ganjil","Biologi Laut",3,3,"Wajib"
"Universitas Airlangga","S1 Akuakultur (Banyuwangi)","Ganjil","Biologi Perikanan",3,3,"Wajib"
"Universitas Airlangga","S1 Akuakultur (Banyuwangi)","Ganjil","Histologi Ikan",3,3,"Wajib"
"Universitas Airlangga","S1 Akuakultur (Banyuwangi)","Ganjil","Manajemen Kualitas Air",3,3,"Wajib"
"Universitas Airlangga","S1 Akuakultur (Banyuwangi)","Ganjil","Pengolahan Hasil Perikanan",2,3,"Wajib"
"Universitas Airlangga","S1 Akuakultur (Banyuwangi)","Ganjil","Reproduksi Ikan",3,3,"Wajib"
"Universitas Airlangga","S1 Akuakultur (Banyuwangi)","Ganjil","Sosial Ekonomi Perikanan",2,3,"Wajib"
"Universitas Airlangga","S1 Akuakultur (Banyuwangi)","Genap","Agama Islam II",2,4,"Wajib"
"Universitas Airlangga","S1 Akuakultur (Banyuwangi)","Genap","Biologi Molekuler  Dasar",2,4,"Wajib"
"Universitas Airlangga","S1 Akuakultur (Banyuwangi)","Genap","Eksplorasi Sumberdaya Akuatik",2,4,"Wajib"
"Universitas Airlangga","S1 Akuakultur (Banyuwangi)","Genap","Karantina Ikan",2,4,"Wajib"
"Universitas Airlangga","S1 Akuakultur (Banyuwangi)","Genap","Mikrobiologi",3,4,"Wajib"
"Universitas Airlangga","S1 Akuakultur (Banyuwangi)","Genap","Parasitologi Ikan",3,4,"Wajib"
"Universitas Airlangga","S1 Akuakultur (Banyuwangi)","Genap","Patologi Ikan",3,4,"Wajib"
"Universitas Airlangga","S1 Akuakultur (Banyuwangi)","Genap","Teknologi Pembenihan Ikan",3,4,"Wajib"
"Universitas Airlangga","S1 Akuakultur (Banyuwangi)","Ganjil","Genetika Dan Pemuliaan Ikan",3,5,"Wajib"
"Universitas Airlangga","S1 Akuakultur (Banyuwangi)","Ganjil","Kapita Selekta Akuakultur",2,5,"Wajib"
"Universitas Airlangga","S1 Akuakultur (Banyuwangi)","Ganjil","Kewirausahaan Akuakultur",2,5,"Wajib"
"Universitas Airlangga","S1 Akuakultur (Banyuwangi)","Ganjil","KKN - Belajar Bersama Masyarakat",3,5,"Wajib"
"Universitas Airlangga","S1 Akuakultur (Banyuwangi)","Ganjil","Komunikasi Bisnis",3,5,"Wajib"
"Universitas Airlangga","S1 Akuakultur (Banyuwangi)","Ganjil","Koralogi",2,5,"Wajib"
"Universitas Airlangga","S1 Akuakultur (Banyuwangi)","Ganjil","Manajemen Akuakultur Payau",3,5,"Wajib"
"Universitas Airlangga","S1 Akuakultur (Banyuwangi)","Ganjil","Manajemen Akuakultur Tawar",3,5,"Wajib"
"Universitas Airlangga","S1 Akuakultur (Banyuwangi)","Ganjil","Manajemen Kesehatan Ikan",3,5,"Wajib"
"Universitas Airlangga","S1 Akuakultur (Banyuwangi)","Ganjil","Manajemen Marikultur",3,5,"Wajib"
"Universitas Airlangga","S1 Akuakultur (Banyuwangi)","Ganjil","Metodologi Penelitian",2,5,"Wajib"
"Universitas Airlangga","S1 Akuakultur (Banyuwangi)","Ganjil","Nutrisi Ikan",3,5,"Wajib"
"Universitas Airlangga","S1 Akuakultur (Banyuwangi)","Ganjil","Pencemaran Perairan",3,5,"Wajib"
"Universitas Airlangga","S1 Akuakultur (Banyuwangi)","Ganjil","Penulisan dan Presentasi Ilmiah",2,5,"Wajib"
"Universitas Airlangga","S1 Akuakultur (Banyuwangi)","Ganjil","Penyakit Bakterial dan Mikal Ikan",3,5,"Wajib"
"Universitas Airlangga","S1 Akuakultur (Banyuwangi)","Ganjil","Penyakit Parasiter Ikan",3,5,"Wajib"
"Universitas Airlangga","S1 Akuakultur (Banyuwangi)","Ganjil","Perancangan Percobaan",2,5,"Wajib"
"Universitas Airlangga","S1 Akuakultur (Banyuwangi)","Ganjil","Statistika",2,5,"Wajib"
"Universitas Airlangga","S1 Akuakultur (Banyuwangi)","Genap","Agama Hindu II",2,6,"Wajib"
"Universitas Airlangga","S1 Akuakultur (Banyuwangi)","Genap","Agama Katolik II",2,6,"Wajib"
"Universitas Airlangga","S1 Akuakultur (Banyuwangi)","Genap","Agama Kristen Protestan II",2,6,"Wajib"
"Universitas Airlangga","S1 Akuakultur (Banyuwangi)","Genap","Bioteknologi Akuakultur",3,6,"Wajib"
"Universitas Airlangga","S1 Akuakultur (Banyuwangi)","Genap","Budidaya Pakan Alami",3,6,"Wajib"
