universitas,jurusan,semester_type,nama_mk,sks,semester,kategori
"Universitas Airlangga","S1 Akuakultur","Ganjil","Agama Islam",2,1,"Wajib"
"Universitas Airlangga","S1 Akuakultur","Ganjil","Dasar-Dasar Akuakultur",2,1,"Wajib"
"Universitas Airlangga","S1 Akuakultur","Ganjil","Dasar-Dasar Akuakultur",2,1,"Wajib"
"Universitas Airlangga","S1 Akuakultur","Ganjil","Hukum Dan Kebijakan Perikanan",2,1,"Wajib"
"Universitas Airlangga","S1 Akuakultur","Ganjil","Ilmu Tanah",2,1,"Wajib"
"Universitas Airlangga","S1 Akuakultur","Ganjil","Pengantar Oceanografi",3,1,"Wajib"
"Universitas Airlangga","S1 Akuakultur","Genap","Avertebrata",3,2,"Wajib"
"Universitas Airlangga","S1 Akuakultur","Genap","Avertebrata Air",3,2,"Wajib"
"Universitas Airlangga","S1 Akuakultur","Genap","Avertebrata Air",3,2,"Wajib"
"Universitas Airlangga","S1 Akuakultur","Genap","Biokimia",3,2,"Wajib"
"Universitas Airlangga","S1 Akuakultur","Genap","Fisiologi Hewan Air",3,2,"Wajib"
"Universitas Airlangga","S1 Akuakultur","Genap","Histologi Ikan",3,2,"Wajib"
"Universitas Airlangga","S1 Akuakultur","Genap","Ilmu Tanah",2,2,"Wajib"
"Universitas Airlangga","S1 Akuakultur","Genap","Klimatologi",2,2,"Wajib"
"Universitas Airlangga","S1 Akuakultur","Genap","Konserv. Sd Perairan",2,2,"Wajib"
"Universitas Airlangga","S1 Akuakultur","Genap","Konservasi Sumber Daya Perairan",3,2,"Wajib"
"Universitas Airlangga","S1 Akuakultur","Genap","Konservasi Sumberdaya Perairan",3,2,"Wajib"
"Universitas Airlangga","S1 Akuakultur","Genap","Limnologi",3,2,"Wajib"
"Universitas Airlangga","S1 Akuakultur","Genap","Manajemen Akuakultur Tawar",3,2,"Wajib"
"Universitas Airlangga","S1 Akuakultur","Genap","Mikrobiologi",3,2,"Wajib"
"Universitas Airlangga","S1 Akuakultur","Genap","Pengantar Oceanografi",3,2,"Wajib"
"Universitas Airlangga","S1 Akuakultur","Ganjil","Metode Ilmiah",2,3,"Wajib"
"Universitas Airlangga","S1 Akuakultur","Genap","Budidaya Pakan Alami",3,4,"Wajib"
"Universitas Airlangga","S1 Akuakultur","Genap","Ekonomi Perikanan",2,4,"Wajib"
"Universitas Airlangga","S1 Akuakultur","Genap","Fish Handling",3,4,"Wajib"
"Universitas Airlangga","S1 Akuakultur","Genap","Manajemen Akuakultur Payau",3,4,"Wajib"
"Universitas Airlangga","S1 Akuakultur","Genap","Mikrobiologi",3,4,"Wajib"
"Universitas Airlangga","S1 Akuakultur","Genap","Parasit Penyakit Ikan I",3,4,"Wajib"
"Universitas Airlangga","S1 Akuakultur","Genap","Patologi Ikan",3,4,"Wajib"
"Universitas Airlangga","S1 Akuakultur","Genap","Pencemaran Perairan",3,4,"Wajib"
"Universitas Airlangga","S1 Akuakultur","Genap","Pengantar Oceanografi",3,4,"Wajib"
"Universitas Airlangga","S1 Akuakultur","Ganjil","Eksplorasi Sumberdaya Laut",2,5,"Wajib"
"Universitas Airlangga","S1 Akuakultur","Ganjil","Kewirausahaan",2,5,"Wajib"
"Universitas Airlangga","S1 Akuakultur","Ganjil","Teknologi Penangkapan Ikan",2,5,"Wajib"
"Universitas Airlangga","S1 Akuakultur","Genap","Agribisnis Perikanan",2,6,"Wajib"
"Universitas Airlangga","S1 Akuakultur","Genap","Analisis Penyakit Ikan II",3,6,"Wajib"
"Universitas Airlangga","S1 Akuakultur","Genap","Biologi Molekuler Dasar",2,6,"Wajib"
"Universitas Airlangga","S1 Akuakultur","Genap","Eksplorasi Sumberdaya Laut",2,6,"Wajib"
"Universitas Airlangga","S1 Akuakultur","Genap","Genetika Dan Pemuliaan Ikan",3,6,"Wajib"
"Universitas Airlangga","S1 Akuakultur","Genap","Karantina Ikan",2,6,"Wajib"
"Universitas Airlangga","S1 Akuakultur","Genap","Perancangan Percobaan",2,6,"Wajib"
"Universitas Airlangga","S1 Akuakultur","Genap","Teknologi Hasil Perikanan",3,6,"Wajib"
"Universitas Airlangga","S1 Akuakultur","Genap","Teknologi Pakan Ikan",3,6,"Wajib"
"Universitas Airlangga","S1 Akuakultur","Ganjil","Bioteknologi Akuakultur",3,7,"Wajib"
"Universitas Airlangga","S1 Akuakultur","Ganjil","Koralogi",2,7,"Wajib"
"Universitas Airlangga","S1 Akuakultur","Ganjil","Manajemen Sumberdaya Wilayah Pesisir",2,7,"Wajib"
"Universitas Airlangga","S1 Akuakultur","Ganjil","Penginderaan Jarak Jauh",2,7,"Wajib"
"Universitas Airlangga","S1 Akuakultur","Ganjil","Widya Selam",2,7,"Wajib"
"Universitas Airlangga","S1 Akuakultur","Genap","Kuliah Kerja Nyata (KKN-BBM)",3,8,"Wajib"
"Universitas Airlangga","S1 Akuakultur","Genap","Praktek Kerja Lapang",4,8,"Wajib"
"Universitas Airlangga","S1 Akuakultur","Genap","Seminar Proposal Penelitian",2,8,"Wajib"
"Universitas Airlangga","S1 Akuakultur","Genap","Skripsi",6,8,"Wajib"
