universitas,jurusan,semester_type,nama_mk,sks,semester,kategori
UNAIR,S1 Antropologi,Ganjil,Agama I,2,1,MPK
UNAIR,S1 Antropologi,Ganjil,Bahasa Inggris,2,1,MKK
UNAIR,S1 Antropologi,Ganjil,Bahasa Indonesia,2,1,MPK
UNAIR,S1 Antropologi,Ganjil,Pancasila,2,1,MPK
UNAIR,S1 Antropologi,Ganjil,Teknik Penulisan Ilmiah,2,1,MKK
UNAIR,S1 Antropologi,Ganjil,Pengantar Antropologi,3,1,MKK
UNAIR,S1 Antropologi,Ganjil,Antropobiologi,3,1,MKK
UNAIR,S1 Antropologi,Ganjil,Pengantar Sosiologi,3,1,MKK
UNAIR,S1 Antropologi,Genap,Etika Sosial dan Politik,2,2,MPK
UNAIR,S1 Antropologi,Genap,Hukum Adat,2,2,MKK
UNAIR,S1 Antropologi,Genap,Pengantar Statistika Sosial,3,2,MKK
UNAIR,S1 Antropologi,Genap,Kewarganegaraan,2,2,MPK
UNAIR,S1 Antropologi,Genap,Filsafat Ilmu,2,2,MKK
UNAIR,S1 Antropologi,Genap,Prasejarah,3,2,MKK
UNAIR,S1 Antropologi,Genap,Antropologi Ragawi I,3,2,MKK
UNAIR,S1 Antropologi,Genap,Pengantar Ilmu Politik,3,2,MKK
UNAIR,S1 Antropologi,Ganjil,Bahasa Inggris Lanjut,2,3,MKK
UNAIR,S1 Antropologi,Ganjil,Statistik Sosial I (Inferens),3,3,Pilihan
UNAIR,S1 Antropologi,Ganjil,Dasar Metodologi Penelitian Sosial,3,3,MKK
UNAIR,S1 Antropologi,Ganjil,Teori Antropologi I,3,3,MKK
UNAIR,S1 Antropologi,Ganjil,Antropometri,2,3,Pilihan
UNAIR,S1 Antropologi,Ganjil,Osteologi,3,3,Pilihan
UNAIR,S1 Antropologi,Ganjil,Etnografi Indonesia,3,3,MKK
UNAIR,S1 Antropologi,Ganjil,Pengantar Psikologi Sosial,3,3,Pilihan
UNAIR,S1 Antropologi,Ganjil,Etika Kepribadian,2,3,Pilihan
UNAIR,S1 Antropologi,Ganjil,Sistem Hukum di Indonesia,3,3,Pilihan
UNAIR,S1 Antropologi,Ganjil,Etnografi Madura,2,3,MKK
UNAIR,S1 Antropologi,Ganjil,Kebudayan Klasik dan Islam Indonesia,3,3,Pilihan
UNAIR,S1 Antropologi,Ganjil,Folklor,2,3,Pilihan
UNAIR,S1 Antropologi,Ganjil,Sistem Sosial Budaya Indonesia,3,3,Pilihan
UNAIR,S1 Antropologi,Genap,Statistik Sosial II (Non Parametrik),3,4,Pilihan
UNAIR,S1 Antropologi,Genap,Teori Antropologi II,3,4,MKK
UNAIR,S1 Antropologi,Genap,Antropogenese,2,4,Pilihan
UNAIR,S1 Antropologi,Genap,Variasi Biologis Manusia,2,4,Pilihan
UNAIR,S1 Antropologi,Genap,Organisasi Sosial dan Kekerabatan,3,4,MKK
UNAIR,S1 Antropologi,Genap,Etnografi Bangsa-bangsa,3,4,MKK
UNAIR,S1 Antropologi,Genap,Etnografi Bali,2,4,Pilihan
