universitas,jurusan,semester_type,nama_mk,sks,semester,kategori
UNAIR,S1 Biologi,Ganjil,Biologi Sel,2,1,Wajib
UNAIR,S1 Biologi,Ganjil,Biologi Dasar,2,1,Wajib
UNAIR,S1 Biologi,Ganjil,Biologi Dasar (Praktikum),1,1,Wajib
UNAIR,S1 Biologi,Ganjil,Kimia Dasar,2,1,Wajib
UNAIR,S1 Biologi,Ganjil,Kimia Dasar (Praktikum),1,1,Wajib
UNAIR,S1 Biologi,Ganjil,Data dan Pustaka,2,1,Wajib
UNAIR,S1 Biologi,Ganjil,Kewarganegaraan,2,1,Wajib
UNAIR,S1 Biologi,Ganjil,Pancasila,2,1,Wajib
UNAIR,S1 Biologi,Ganjil,Agama,2,1,Wajib
UNAIR,S1 Biologi,Ganjil,Bahasa Indonesia,2,1,Wajib
UNAIR,S1 Biologi,Genap,Struktur Tumbuhan,3,2,Wajib
UNAIR,S1 Biologi,Genap,Struktur Tumbuhan (Praktikum),1,2,Wajib
UNAIR,S1 Biologi,Genap,Genetika,2,2,Wajib
UNAIR,S1 Biologi,Genap,Fisika Dasar,2,2,Wajib
UNAIR,S1 Biologi,Genap,Kalkulus,3,2,Wajib
UNAIR,S1 Biologi,Genap,Logika dan Pemikiran Kritis,2,2,Wajib
UNAIR,S1 Biologi,Genap,Pengantar Kolaborasi Keilmuan,2,2,Wajib
UNAIR,S1 Biologi,Genap,Komunikasi dan Pengembangan Diri,2,2,Wajib
UNAIR,S1 Biologi,Genap,Anatomi Perbandingan Vertebrata,2,2,Wajib
UNAIR,S1 Biologi,Genap,Anatomi Perbandingan Vertebrata (Praktikum),1,2,Wajib
UNAIR,S1 Biologi,Ganjil,Ekologi Umum,2,3,Wajib
UNAIR,S1 Biologi,Ganjil,Ekologi Umum (Praktikum),1,3,Wajib
UNAIR,S1 Biologi,Ganjil,Fisiologi Tumbuhan,2,3,Wajib
UNAIR,S1 Biologi,Ganjil,Fisiologi Tumbuhan (Praktikum),1,3,Wajib
UNAIR,S1 Biologi,Ganjil,Genetika Molekuler,2,3,Wajib
UNAIR,S1 Biologi,Ganjil,Ilmu Biokimia,2,3,Wajib
UNAIR,S1 Biologi,Ganjil,Mikroteknik,2,3,Wajib
UNAIR,S1 Biologi,Ganjil,Histologi Hewan,2,3,Wajib
UNAIR,S1 Biologi,Ganjil,Histologi Hewan (Praktikum),1,3,Wajib
UNAIR,S1 Biologi,Ganjil,Mikrobiologi Umum,2,3,Wajib
UNAIR,S1 Biologi,Ganjil,Mikrobiologi Umum (Praktikum),1,3,Wajib
UNAIR,S1 Biologi,Ganjil,Bahasa Inggris,2,3,Wajib
UNAIR,S1 Biologi,Ganjil,Lingkungan Abiotik,2,3,Pilihan
UNAIR,S1 Biologi,Ganjil,Kewirausahaan,2,3,Pilihan
UNAIR,S1 Biologi,Ganjil,Mikroteknik (Praktikum),2,3,Pilihan
UNAIR,S1 Biologi,Ganjil,Biologi Laut,2,3,Pilihan
UNAIR,S1 Biologi,Ganjil,Karsinologi,2,3,Pilihan
UNAIR,S1 Biologi,Genap,Biologi Konservasi,2,4,Wajib
UNAIR,S1 Biologi,Genap,Ekologi Perilaku,2,4,Wajib
UNAIR,S1 Biologi,Genap,Embriologi Tumbuhan,2,4,Wajib
UNAIR,S1 Biologi,Genap,Embriologi Tumbuhan (Praktikum),1,4,Wajib
UNAIR,S1 Biologi,Genap,Metode Analisis Molekuler,1,4,Wajib
UNAIR,S1 Biologi,Genap,Metode Analisis Molekuler (Praktikum),1,4,Wajib
UNAIR,S1 Biologi,Genap,Taksonomi,2,4,Wajib
UNAIR,S1 Biologi,Genap,Taksonomi (Praktikum),1,4,Wajib
UNAIR,S1 Biologi,Genap,"Biodiversitas Monera, Protista, dan Fungi",2,4,Wajib
UNAIR,S1 Biologi,Genap,Fisiologi Hewan,2,4,Wajib
UNAIR,S1 Biologi,Genap,Fisiologi Hewan (Praktikum),1,4,Wajib
UNAIR,S1 Biologi,Genap,Metode Statistika,2,4,Wajib
UNAIR,S1 Biologi,Genap,Entomologi,2,4,Pilihan
UNAIR,S1 Biologi,Genap,Ekologi Terestrial,2,4,Pilihan
UNAIR,S1 Biologi,Genap,Ekologi Terestrial (Praktikum),1,4,Pilihan
UNAIR,S1 Biologi,Genap,Bakteriologi,2,4,Pilihan
UNAIR,S1 Biologi,Genap,Bakteriologi (Praktikum),1,4,Pilihan
UNAIR,S1 Biologi,Genap,Botani Ekonomi,2,4,Pilihan
UNAIR,S1 Biologi,Ganjil,Biodiversitas Ekosistem,2,5,Wajib
UNAIR,S1 Biologi,Ganjil,Biodiversitas Tumbuhan,2,5,Wajib
UNAIR,S1 Biologi,Ganjil,Biodiversitas Tumbuhan (Praktikum),1,5,Wajib
