universitas,jurusan,semester_type,nama_mk,sks,semester,kategori
UNAIR,S1 Farmasi,Ganjil,Data and References,2,1,Wajib
UNAIR,S1 Farmasi,Ganjil,Agama I,2,1,MKWU
UNAIR,S1 Farmasi,Ganjil,Pancasila,2,1,MKWU
UNAIR,S1 Farmasi,Ganjil,Civics Education,2,1,MKWU
UNAIR,S1 Farmasi,Ganjil,Indonesian Language,2,1,MKWU
UNAIR,S1 Farmasi,Ganjil,Health Communications and Basic Health Services,2,1,Wajib
UNAIR,S1 Farmasi,Ganjil,Health Ethics and Law,2,1,Wajib
UNAIR,S1 Farmasi,Ganjil,Cellular and Molecular Biology,2,1,Wajib
UNAIR,S1 Farmasi,Ganjil,Basic Pharmaceutical Chemistry,2,1,Wajib
UNAIR,S1 Farmasi,Ganjil,Basic Pharmaceutical Chemistry (practicum),1,1,Wajib
UNAIR,S1 Farmasi,Genap,Logic and Critical Thinking,2,2,Wajib
UNAIR,S1 Farmasi,Genap,Introduction to Scientific Collaboration,2,2,Wajib
UNAIR,S1 Farmasi,Genap,Communication and Personal Development,2,2,Wajib
UNAIR,S1 Farmasi,Genap,Fundamentals Pharmacy,2,2,Wajib
UNAIR,S1 Farmasi,Genap,Biomedical Science,5,2,Wajib
UNAIR,S1 Farmasi,Genap,Physical Chemistry,2,2,Wajib
UNAIR,S1 Farmasi,Genap,Physical Chemistry (practicum),1,2,Wajib
UNAIR,S1 Farmasi,Genap,Pharmaceutical Botany,1,2,Wajib
UNAIR,S1 Farmasi,Genap,Pharmaceutical Botany (practicum),1,2,Wajib
UNAIR,S1 Farmasi,Genap,Pharmaceutical Organic Chemistry I,2,2,Wajib
UNAIR,S1 Farmasi,Ganjil,Pharmacy Practice I,2,3,Wajib
UNAIR,S1 Farmasi,Ganjil,Pharmacy Practice I (practicum),1,3,Wajib
UNAIR,S1 Farmasi,Ganjil,Pharmacology and Toxicology,2,3,Wajib
UNAIR,S1 Farmasi,Ganjil,Pharmacology and Toxicology (practicum),1,3,Wajib
UNAIR,S1 Farmasi,Ganjil,Biopharmaceuticals,2,3,Wajib
UNAIR,S1 Farmasi,Ganjil,Physical Pharmacy,2,3,Wajib
UNAIR,S1 Farmasi,Ganjil,Physical Pharmacy (practicum),2,3,Wajib
UNAIR,S1 Farmasi,Ganjil,Analytical Chemistry,2,3,Wajib
UNAIR,S1 Farmasi,Ganjil,Analytical Chemistry (practicum),2,3,Wajib
UNAIR,S1 Farmasi,Ganjil,Pharmacognosy,2,3,Wajib
UNAIR,S1 Farmasi,Ganjil,Pharmacognosy (practicum),1,3,Wajib
UNAIR,S1 Farmasi,Ganjil,Pharmaceutical Organic Chemistry II,2,3,Wajib
UNAIR,S1 Farmasi,Genap,Pharmacotherapy I,2,4,Wajib
UNAIR,S1 Farmasi,Genap,Pharmacotherapy I Tutorials,1,4,Wajib
