universitas,jurusan,semester_type,nama_mk,sks,semester,kategori
Universitas Airlangga,S1 Gizi,Ganjil,"Agama Kong Hu Chu I",2,1,Wajib
Universitas Airlangga,S1 Gizi,Ganjil,"Agama Hindu I",2,1,Wajib
Universitas Airlangga,S1 Gizi,Ganjil,"Agama Islam I",2,1,Wajib
Universitas Airlangga,S1 Gizi,Ganjil,"Agama Katolik I",2,1,Wajib
Universitas Airlangga,S1 Gizi,Ganjil,"Agama Kristen Protestan I",2,1,Wajib
Universitas Airlangga,S1 Gizi,Ganjil,"Kimia Organik dan Anorganik",3,1,Wajib
Universitas Airlangga,S1 Gizi,Ganjil,"Kimia Dasar (Anorganik)",2,1,Wajib
Universitas Airlangga,S1 Gizi,Ganjil,"Matematika",2,1,Wajib
Universitas Airlangga,S1 Gizi,Genap,"Anatomi",2,2,Wajib
Universitas Airlangga,S1 Gizi,Genap,"Pengantar Biologi Manusia",2,2,Wajib
Universitas Airlangga,S1 Gizi,Genap,"Fisiologi",4,2,Wajib
Universitas Airlangga,S1 Gizi,Genap,"Pengantar Biokimia",2,2,Wajib
Universitas Airlangga,S1 Gizi,Genap,"Dasar Manajemen",2,2,Wajib
Universitas Airlangga,S1 Gizi,Genap,"Psikologi",2,2,Wajib
Universitas Airlangga,S1 Gizi,Ganjil,"Agama Budha II",2,3,Wajib
Universitas Airlangga,S1 Gizi,Ganjil,"Agama Kong Hu Chu II",2,3,Wajib
Universitas Airlangga,S1 Gizi,Ganjil,"Agama Hindu II",2,3,Wajib
Universitas Airlangga,S1 Gizi,Ganjil,"Agama Islam II",2,3,Wajib
Universitas Airlangga,S1 Gizi,Ganjil,"Agama Katolik II",2,3,Wajib
Universitas Airlangga,S1 Gizi,Ganjil,"Agama Kristen Protestan II",2,3,Wajib
Universitas Airlangga,S1 Gizi,Ganjil,"Dasar Ilmu Gizi",2,3,Wajib
Universitas Airlangga,S1 Gizi,Ganjil,"Dasar-Dasar Kulinari",2,3,Wajib
Universitas Airlangga,S1 Gizi,Ganjil,"Ketahanan Pangan",2,3,Wajib
Universitas Airlangga,S1 Gizi,Ganjil,"Dasar-Dasar Kulinari (Praktikum)",1,3,Wajib
Universitas Airlangga,S1 Gizi,Ganjil,"Ilmu dan Teknologi Bahan Pangan",2,3,Wajib
Universitas Airlangga,S1 Gizi,Ganjil,"Ilmu dan Teknologi Bahan Pangan (Praktikum)",1,3,Wajib
Universitas Airlangga,S1 Gizi,Ganjil,"Mikrobiologi Pangan",2,3,Wajib
Universitas Airlangga,S1 Gizi,Ganjil,"Mikrobiologi Pangan (Praktikum)",1,3,Wajib
Universitas Airlangga,S1 Gizi,Ganjil,"Analisis Zat Gizi",2,3,Wajib
Universitas Airlangga,S1 Gizi,Ganjil,"Antropologi Gizi",2,3,Wajib
Universitas Airlangga,S1 Gizi,Ganjil,"Sosiologi Gizi",2,3,Wajib
Universitas Airlangga,S1 Gizi,Genap,"Praktik Kerja Lapangan MIPMG",2,4,Wajib
Universitas Airlangga,S1 Gizi,Genap,"Metabolisme Energi, Zat Gizi Makro",2,4,Wajib
Universitas Airlangga,S1 Gizi,Genap,"Metabolisme Zat Gizi  Mikro",2,4,Wajib
Universitas Airlangga,S1 Gizi,Genap,"Gizi Dalam Daur Kehidupan",2,4,Wajib
Universitas Airlangga,S1 Gizi,Genap,"Keamanan Pangan",2,4,Wajib
Universitas Airlangga,S1 Gizi,Genap,"Formulasi Makanan (Praktikum)",1,4,Wajib
Universitas Airlangga,S1 Gizi,Genap,"Formulasi Makanan",2,4,Wajib
Universitas Airlangga,S1 Gizi,Genap,"Gizi Dalam Daur Kehidupan (Praktikum)",1,4,Wajib
Universitas Airlangga,S1 Gizi,Genap,"Kewirausahaan Bidang Pangan dan Gizi (Praktikum)",2,4,Wajib
Universitas Airlangga,S1 Gizi,Genap,"Manajemen Industri Pelayanan Makanan Dan Gizi",2,4,Wajib
Universitas Airlangga,S1 Gizi,Genap,"Manajemen Industri Pelayanan Makanan Dan Gizi (Praktikum)",1,4,Wajib
Universitas Airlangga,S1 Gizi,Genap,"Penentuan Status Gizi (Praktikum)",2,4,Wajib
Universitas Airlangga,S1 Gizi,Genap,"Penentuan Status Gizi",2,4,Wajib
Universitas Airlangga,S1 Gizi,Ganjil,"Patofisiologi Penyakit Infeksi dan Malnutrisi",2,5,Wajib
Universitas Airlangga,S1 Gizi,Ganjil,"Patofisiologi Penyakit Degeneratif",2,5,Wajib
Universitas Airlangga,S1 Gizi,Ganjil,"Statistika (Praktikum)",1,5,Wajib
Universitas Airlangga,S1 Gizi,Ganjil,"Statistika",2,5,Wajib
Universitas Airlangga,S1 Gizi,Ganjil,"Farmakologi dan Interaksi Obat- Makanan",2,5,Wajib
Universitas Airlangga,S1 Gizi,Ganjil,"Pendidikan Gizi",2,5,Wajib
Universitas Airlangga,S1 Gizi,Ganjil,"Ekonomi Pangan Dan Gizi",2,5,Wajib
Universitas Airlangga,S1 Gizi,Ganjil,"Komputasi Gizi (Praktikum)",2,5,Wajib
Universitas Airlangga,S1 Gizi,Ganjil,"Gizi Dan Hiv Aids",2,5,Wajib
Universitas Airlangga,S1 Gizi,Ganjil,"Gizi Dan Produktivitas",2,5,Wajib
Universitas Airlangga,S1 Gizi,Ganjil,"Gizi Industri",2,5,Wajib
Universitas Airlangga,S1 Gizi,Ganjil,"Gizi Kedaruratan",2,5,Wajib
Universitas Airlangga,S1 Gizi,Ganjil,"Gizi Olahraga",2,5,Wajib
Universitas Airlangga,S1 Gizi,Ganjil,"Survei Konsumsi Pangan",2,5,Wajib
Universitas Airlangga,S1 Gizi,Ganjil,"Survei Konsumsi Pangan (Praktikum)",1,5,Wajib
Universitas Airlangga,S1 Gizi,Ganjil,"Pendidikan Gizi (Praktikum)",1,5,Wajib
Universitas Airlangga,S1 Gizi,Ganjil,"Proses Asuhan Gizi Terstandar",2,5,Wajib
Universitas Airlangga,S1 Gizi,Genap,"Bahasa Inggris",2,6,Wajib
Universitas Airlangga,S1 Gizi,Genap,"Kuliah Kerja Nyata (KKN)",3,6,Wajib
Universitas Airlangga,S1 Gizi,Genap,"Dietetika Penyakit Infeksi dan Defisiensi",2,6,Wajib
Universitas Airlangga,S1 Gizi,Genap,"Dietetika Penyakit Infeksi dan Defisiensi (Praktikum)",1,6,Wajib
Universitas Airlangga,S1 Gizi,Genap,"Dietetika Penyakit Degeneratif",2,6,Wajib
