universitas,jurusan,semester_type,nama_mk,sks,semester,kategori
UNAIR,S1 Hubungan Internasional,Ganjil,Agama 1,2,1,Wajib
UNAIR,S1 Hubungan Internasional,Ganjil,Bahasa Indonesia,2,1,Wajib
UNAIR,S1 Hubungan Internasional,Ganjil,Pancasila,2,1,Wajib
UNAIR,S1 Hubungan Internasional,Ganjil,Kewarganegaraan,2,1,Wajib
UNAIR,S1 Hubungan Internasional,Ganjil,Data dan Pustaka,2,1,Wajib
UNAIR,S1 Hubungan Internasional,Ganjil,Logika dan Pemikiran Kritis,2,1,Wajib
UNAIR,S1 Hubungan Internasional,Ganjil,Pengantar Kolaborasi Keilmuan,2,1,Wajib
UNAIR,S1 Hubungan Internasional,Ganjil,Komunikasi dan Pengembangan Diri,2,1,Wajib
UNAIR,S1 Hubungan Internasional,Genap,Teknik Penulisan Ilmiah,3,2,Wajib
UNAIR,S1 Hubungan Internasional,Genap,Pengantar Globalisasi,3,2,Wajib
UNAIR,S1 Hubungan Internasional,Genap,Negosiasi dan Diplomasi,3,2,Wajib
UNAIR,S1 Hubungan Internasional,Genap,Pengantar ASEAN,3,2,Wajib
UNAIR,S1 Hubungan Internasional,Genap,Teori Hubungan Internasional,4,2,Wajib
UNAIR,S1 Hubungan Internasional,Genap,Kajian Ke-Indonesiaan I: Negara Bangsa dan Struktur Dasar,4,2,Wajib
UNAIR,S1 Hubungan Internasional,Ganjil,Pengantar Teori Ekonomi Makro,3,3,Wajib
UNAIR,S1 Hubungan Internasional,Ganjil,Hukum Internasional,4,3,Wajib
UNAIR,S1 Hubungan Internasional,Ganjil,Strategi dan Tata Kelola Strategis,3,3,Wajib
UNAIR,S1 Hubungan Internasional,Ganjil,Kajian Ke-Indonesiaan II: Hubungan Eksternal dan Politik Luar Negeri,3,3,Wajib
UNAIR,S1 Hubungan Internasional,Ganjil,Hubungan Internasional di Asia Tenggara,3,3,Wajib
UNAIR,S1 Hubungan Internasional,Ganjil,Dinamika Hubungan Internasional Kawasan,3,3,Wajib
UNAIR,S1 Hubungan Internasional,Ganjil,"Masyarakat, Budaya, dan Politik Amerika Serikat",3,3,Wajib
UNAIR,S1 Hubungan Internasional,Ganjil,"Masyarakat, Budaya, dan Politik Rusia",3,3,Wajib
UNAIR,S1 Hubungan Internasional,Ganjil,"Masyarakat, Budaya, dan Politik Semenanjung Korea",3,3,Wajib
UNAIR,S1 Hubungan Internasional,Ganjil,Masyarakat Budaya dan Politik Australia,3,3,Wajib
UNAIR,S1 Hubungan Internasional,Ganjil,Masyarakat Budaya dan Politik Tiongkok,3,3,Wajib
UNAIR,S1 Hubungan Internasional,Ganjil,Masyarakat Budaya dan Politik India,3,3,Wajib
UNAIR,S1 Hubungan Internasional,Ganjil,Pengantar Uni Eropa,3,3,Wajib
UNAIR,S1 Hubungan Internasional,Ganjil,?Pengantar IlmuPolitik,3,3,Wajib
