universitas,jurusan,semester_type,nama_mk,sks,semester,kategori
UNAIR,S1 Ilmu Hukum,Ganjil,Pendidikan Agama I,2,1,MKWU
UNAIR,S1 Ilmu Hukum,Ganjil,Bahasa Indonesia,2,1,MKWU
UNAIR,S1 Ilmu Hukum,Ganjil,Pancasila,2,1,MKWU
UNAIR,S1 Ilmu Hukum,Ganjil,Kewarganegaraan,2,1,MKWU
UNAIR,S1 Ilmu Hukum,Ganjil,Data dan Pustaka,2,1,MKWU
UNAIR,S1 Ilmu Hukum,Ganjil,Ilmu Negara,2,1,MKK
UNAIR,S1 Ilmu Hukum,Ganjil,Pengantar Ilmu Hukum,4,1,MKK
UNAIR,S1 Ilmu Hukum,Ganjil,Pengantar Hukum Indonesia,4,1,MKK
UNAIR,S1 Ilmu Hukum,Genap,Hak Asasi Manusia,2,2,MKK
UNAIR,S1 Ilmu Hukum,Genap,Hukum Perdata,4,2,MKK
UNAIR,S1 Ilmu Hukum,Genap,Hukum Pidana,4,2,MKK
UNAIR,S1 Ilmu Hukum,Genap,Hukum Administrasi,4,2,MKK
UNAIR,S1 Ilmu Hukum,Genap,Logika dan Pemikiran Kritis,2,2,MKWU
UNAIR,S1 Ilmu Hukum,Genap,Komunikasi dan Pengembangan Diri,2,2,MKWU
UNAIR,S1 Ilmu Hukum,Genap,Pengantar Kolaborasi Keilmuan,2,2,MKWU
UNAIR,S1 Ilmu Hukum,Ganjil,Hukum Acara Perdata,4,3,MKK
UNAIR,S1 Ilmu Hukum,Ganjil,Hukum Acara Pidana,4,3,MKK
UNAIR,S1 Ilmu Hukum,Ganjil,Hukum Dagang,4,3,MKK
UNAIR,S1 Ilmu Hukum,Ganjil,Hukum Internasional,4,3,MKK
UNAIR,S1 Ilmu Hukum,Ganjil,Hukum Tata Negara,4,3,MKK
UNAIR,S1 Ilmu Hukum,Genap,Hukum Acara Peradilan Agama,2,4,MKK
UNAIR,S1 Ilmu Hukum,Genap,Hukum Acara Peradilan Tata Usaha Negara,4,4,MKK
UNAIR,S1 Ilmu Hukum,Genap,Hukum Adat,2,4,MKK
UNAIR,S1 Ilmu Hukum,Genap,Hukum Islam,2,4,MKK
UNAIR,S1 Ilmu Hukum,Genap,Hukum Perikatan,4,4,MKK
UNAIR,S1 Ilmu Hukum,Ganjil,Hukum Agraria,2,5,MKK
UNAIR,S1 Ilmu Hukum,Ganjil,Hukum Laut,2,5,MKK
UNAIR,S1 Ilmu Hukum,Ganjil,Hukum Perburuhan,2,5,MKK
UNAIR,S1 Ilmu Hukum,Ganjil,Hukum Perseroan,2,5,MKK
UNAIR,S1 Ilmu Hukum,Ganjil,Kejahatan Terhadap Nyawa Dan Harta Kekayaan,4,5,MKK
UNAIR,S1 Ilmu Hukum,Ganjil,Kuliah Kerja Nyata (KKN),3,5,MBB
UNAIR,S1 Ilmu Hukum,Ganjil,Legal Analytical and Critical Thinking Skill,2,5,MKK
UNAIR,S1 Ilmu Hukum,Ganjil,Legal Problem Solving,2,5,MKK
UNAIR,S1 Ilmu Hukum,Ganjil,Legal Research,2,5,MBKM
UNAIR,S1 Ilmu Hukum,Ganjil,Pembuatan Dokumen-Dokumen Hukum,2,5,MKK
UNAIR,S1 Ilmu Hukum,Ganjil,Perumusan Masalah Hukum,2,5,MKK
UNAIR,S1 Ilmu Hukum,Ganjil,Kemampuan Beradaptasi,2,5,MBKM
UNAIR,S1 Ilmu Hukum,Ganjil,Kepemimpinan,2,5,MBKM
UNAIR,S1 Ilmu Hukum,Ganjil,Kerja Keras,2,5,MBKM
UNAIR,S1 Ilmu Hukum,Ganjil,Kerjasama,2,5,MBKM
UNAIR,S1 Ilmu Hukum,Ganjil,Komunikasi,2,5,MBKM
UNAIR,S1 Ilmu Hukum,Ganjil,Kreativitas,2,5,MBKM
UNAIR,S1 Ilmu Hukum,Ganjil,Negotiation Skill,2,5,MBKM
UNAIR,S1 Ilmu Hukum,Ganjil,Public Speaking,2,5,MBKM
UNAIR,S1 Ilmu Hukum,Genap,Hukum Lingkungan,2,6,MKK
UNAIR,S1 Ilmu Hukum,Genap,Hukum Perundang-Undangan,2,6,MKK
UNAIR,S1 Ilmu Hukum,Genap,Klinik Pro-Bono,2,6,MKK
