universitas,jurusan,semester_type,nama_mk,sks,semester,kategori
UNAIR,S1 Ilmu Komunikasi,Ganjil,Agama Islam 1,2,1,Wajib Universitas
UNAIR,S1 Ilmu Komunikasi,Ganjil,Agama Kristen Protestan 1,2,1,Wajib Universitas
UNAIR,S1 Ilmu Komunikasi,Ganjil,Agama Kristen Katolik 1,2,1,Wajib Universitas
UNAIR,S1 Ilmu Komunikasi,Ganjil,Agama Hindu 1,2,1,Wajib Universitas
UNAIR,S1 Ilmu Komunikasi,Ganjil,Agama Buddha 1,2,1,Wajib Universitas
UNAIR,S1 Ilmu Komunikasi,Ganjil,Agama Kong Hu Chu 1,2,1,Wajib Universitas
UNAIR,S1 Ilmu Komunikasi,Ganjil,Pancasila,2,1,Wajib Universitas
UNAIR,S1 Ilmu Komunikasi,Ganjil,Kewarganegaraan,2,1,Wajib Universitas
UNAIR,S1 Ilmu Komunikasi,Ganjil,Bahasa Indonesia,2,1,Wajib Universitas
UNAIR,S1 Ilmu Komunikasi,Ganjil,Data dan Pustaka,2,1,Wajib Universitas
UNAIR,S1 Ilmu Komunikasi,Ganjil,Logika dan Pemikiran Kritis,2,1,Wajib Universitas
UNAIR,S1 Ilmu Komunikasi,Ganjil,Komunikasi dan Pengembangan Diri,2,1,Wajib Universitas
UNAIR,S1 Ilmu Komunikasi,Ganjil,Pengantar Kolaborasi Keilmuan,2,1,Wajib Universitas
UNAIR,S1 Ilmu Komunikasi,Ganjil,Teknik Penulisan Ilmiah,2,1,Wajib Fakultas
UNAIR,S1 Ilmu Komunikasi,Genap,Pengantar Metode Penelitian Sosial,2,2,Wajib Fakultas
UNAIR,S1 Ilmu Komunikasi,Genap,Pengantar Ilmu Komunikasi,3,2,Wajib Program Studi
UNAIR,S1 Ilmu Komunikasi,Genap,Dasar Teori Sosial,3,2,Wajib Program Studi
UNAIR,S1 Ilmu Komunikasi,Genap,Dasar Public Relations,3,2,Wajib Program Studi
UNAIR,S1 Ilmu Komunikasi,Genap,Dasar Komunikasi Antar Persona,3,2,Wajib Program Studi
UNAIR,S1 Ilmu Komunikasi,Genap,Dasar Jurnalistik,3,2,Wajib Program Studi
UNAIR,S1 Ilmu Komunikasi,Genap,Dasar Kajian Media,3,2,Wajib Program Studi
UNAIR,S1 Ilmu Komunikasi,Ganjil,Public Speaking,2,3,Wajib Program Studi
UNAIR,S1 Ilmu Komunikasi,Ganjil,Dasar Komunikasi dan Psikologi,3,3,Wajib Program Studi
UNAIR,S1 Ilmu Komunikasi,Ganjil,Dasar Komunikasi Pemasaran,2,3,Wajib Program Studi
UNAIR,S1 Ilmu Komunikasi,Ganjil,Dasar Fotografi,2,3,Wajib Program Studi
UNAIR,S1 Ilmu Komunikasi,Ganjil,Teknologi Komunikasi dan Masyarakat,3,3,Wajib Program Studi
UNAIR,S1 Ilmu Komunikasi,Ganjil,Desain Komunikasi Visual,3,3,Wajib Program Studi
UNAIR,S1 Ilmu Komunikasi,Ganjil,Teori Komunikasi,3,3,Wajib Program Studi
UNAIR,S1 Ilmu Komunikasi,Ganjil,Creative Writing,2,3,Pilihan Minat Produksi Media Kreatif
UNAIR,S1 Ilmu Komunikasi,Ganjil,Komunikasi Organisasi,2,3,Pilihan Minat Komunikasi Korporat
UNAIR,S1 Ilmu Komunikasi,Ganjil,Komunikasi Antar Budaya,2,3,Pilihan Minat Komunikasi Pemberdayaan
UNAIR,S1 Ilmu Komunikasi,Genap,Kebijakan dan Regulasi Komunikasi,3,4,Wajib Program Studi
UNAIR,S1 Ilmu Komunikasi,Genap,Industri Kreatif Komunikasi,3,4,Wajib Program Studi
UNAIR,S1 Ilmu Komunikasi,Genap,Riset Komunikasi Kuantitatif,3,4,Wajib Program Studi
UNAIR,S1 Ilmu Komunikasi,Genap,Sinematografi,3,4,Wajib Program Studi
UNAIR,S1 Ilmu Komunikasi,Genap,Scriptwriting,2,4,Pilihan Minat Produksi Media Kreatif
UNAIR,S1 Ilmu Komunikasi,Genap,Industri Media Massa,3,4,Pilihan Minat Produksi Media Kreatif
UNAIR,S1 Ilmu Komunikasi,Genap,Teori Media,3,4,Pilihan Minat Produksi Media Kreatif
UNAIR,S1 Ilmu Komunikasi,Genap,Fotografi Jurnalistik,4,4,Pilihan Minat Produksi Media Kreatif
UNAIR,S1 Ilmu Komunikasi,Genap,Jurnalisme Online,4,4,Pilihan Minat Produksi Media Kreatif
UNAIR,S1 Ilmu Komunikasi,Genap,Komunikasi dan Budaya Korporat,2,4,Pilihan Minat Komunikasi Korporat
UNAIR,S1 Ilmu Komunikasi,Genap,Strategic Public Relations,4,4,Pilihan Minat Komunikasi Korporat
UNAIR,S1 Ilmu Komunikasi,Genap,Public Relations and Business Writing,3,4,Pilihan Minat Komunikasi Korporat
UNAIR,S1 Ilmu Komunikasi,Genap,Digital Public Relations,3,4,Pilihan Minat Komunikasi Korporat
UNAIR,S1 Ilmu Komunikasi,Genap,Komunikasi Keluarga,3,4,Pilihan Minat Komunikasi Pemberdayaan
UNAIR,S1 Ilmu Komunikasi,Genap,Komunikasi Kelompok,3,4,Pilihan Minat Komunikasi Pemberdayaan
UNAIR,S1 Ilmu Komunikasi,Genap,Komunikasi dan Konseling,3,4,Pilihan Minat Komunikasi Pemberdayaan
UNAIR,S1 Ilmu Komunikasi,Genap,Informasi dan Kelompok Khusus (IIP),2,4,Pilihan Minat Komunikasi Pemberdayaan
UNAIR,S1 Ilmu Komunikasi,Ganjil,Komunikasi Politik,3,5,Wajib Program Studi
UNAIR,S1 Ilmu Komunikasi,Ganjil,Riset Komunikasi Kualitatif,3,5,Wajib Program Studi
UNAIR,S1 Ilmu Komunikasi,Ganjil,Komunikasi dan Modernitas,4,5,Wajib Program Studi
UNAIR,S1 Ilmu Komunikasi,Ganjil,Academic English for Communication,2,5,Wajib Program Studi
UNAIR,S1 Ilmu Komunikasi,Ganjil,Media Identitas dan Multikulturalisme,3,5,Pilihan Minat Produksi Media Kreatif
UNAIR,S1 Ilmu Komunikasi,Ganjil,Jurnalisme Penyiaran,4,5,Pilihan Minat Produksi Media Kreatif
UNAIR,S1 Ilmu Komunikasi,Ganjil,Fotografi Komersial,4,5,Pilihan Minat Produksi Media Kreatif
UNAIR,S1 Ilmu Komunikasi,Ganjil,Produksi Film Fiksi,4,5,Pilihan Minat Produksi Media Kreatif
UNAIR,S1 Ilmu Komunikasi,Ganjil,Komunikasi dan Perilaku Konsumen,3,5,Pilihan Minat Komunikasi Korporat
UNAIR,S1 Ilmu Komunikasi,Ganjil,Komunikasi Pemasaran Online,3,5,Pilihan Minat Komunikasi Korporat
