universitas,jurusan,semester_type,nama_mk,sks,semester,kategori
UNAIR,S1 Ilmu dan Teknologi Lingkungan,Ganjil,Pendidikan Agama,2,1,MKWU
UNAIR,S1 Ilmu dan Teknologi Lingkungan,Ganjil,Pendidikan Pancasila,2,1,MKWU
UNAIR,S1 Ilmu dan Teknologi Lingkungan,Ganjil,Pendidikan Kewarganegaraan,2,1,MKWU
UNAIR,S1 Ilmu dan Teknologi Lingkungan,Ganjil,Bahasa Indonesia,2,1,MKWU
UNAIR,S1 Ilmu dan Teknologi Lingkungan,Ganjil,Data dan Pustaka,2,1,MKK
UNAIR,S1 Ilmu dan Teknologi Lingkungan,Ganjil,Biologi Dasar,2,1,MBB
UNAIR,S1 Ilmu dan Teknologi Lingkungan,Ganjil,Praktikum Biologi Dasar,1,1,MBB
UNAIR,S1 Ilmu dan Teknologi Lingkungan,Ganjil,Kimia Dasar,2,1,MBB
UNAIR,S1 Ilmu dan Teknologi Lingkungan,Ganjil,Praktikum Kimia Dasar,1,1,MBB
UNAIR,S1 Ilmu dan Teknologi Lingkungan,Ganjil,Pengantar Ilmu dan Teknologi Lingkungan,2,1,Wajib
UNAIR,S1 Ilmu dan Teknologi Lingkungan,Genap,Logika dan Pemikiran Kritis,2,2,MKWU
UNAIR,S1 Ilmu dan Teknologi Lingkungan,Genap,Pengantar Kolaborasi Keilmuan,2,2,MKWU
UNAIR,S1 Ilmu dan Teknologi Lingkungan,Genap,Komunikasi dan Pengembangan Diri,2,2,MKWU
UNAIR,S1 Ilmu dan Teknologi Lingkungan,Genap,Kalkulus,3,2,MBB
UNAIR,S1 Ilmu dan Teknologi Lingkungan,Genap,Fisika Dasar,2,2,MBB
UNAIR,S1 Ilmu dan Teknologi Lingkungan,Genap,Praktikum Fisika Dasar,1,2,MBB
UNAIR,S1 Ilmu dan Teknologi Lingkungan,Genap,Ekologi Umum,2,2,MBB
UNAIR,S1 Ilmu dan Teknologi Lingkungan,Genap,Praktikum Ekologi Umum,1,2,MBB
UNAIR,S1 Ilmu dan Teknologi Lingkungan,Genap,Menggambar Teknik,2,2,Wajib
UNAIR,S1 Ilmu dan Teknologi Lingkungan,Genap,Praktikum Menggambar Teknik,1,2,Wajib
UNAIR,S1 Ilmu dan Teknologi Lingkungan,Genap,Bahasa Inggris I,2,2,MKWU
UNAIR,S1 Ilmu dan Teknologi Lingkungan,Ganjil,Matematika Teknik Lingkungan I,2,3,Wajib
UNAIR,S1 Ilmu dan Teknologi Lingkungan,Ganjil,Mekanika Fluida,3,3,Wajib
UNAIR,S1 Ilmu dan Teknologi Lingkungan,Ganjil,Pengetahuan Struktur,2,3,Wajib
UNAIR,S1 Ilmu dan Teknologi Lingkungan,Ganjil,Kimia Lingkungan,2,3,Wajib
UNAIR,S1 Ilmu dan Teknologi Lingkungan,Ganjil,Praktikum Kimia Lingkungan,1,3,Wajib
UNAIR,S1 Ilmu dan Teknologi Lingkungan,Ganjil,Mikrobiologi Lingkungan,2,3,Wajib
UNAIR,S1 Ilmu dan Teknologi Lingkungan,Ganjil,Praktikum Mikrobiologi Lingkungan,1,3,Wajib
UNAIR,S1 Ilmu dan Teknologi Lingkungan,Ganjil,Metode Teknik Analisis Lingkungan,2,3,Wajib
UNAIR,S1 Ilmu dan Teknologi Lingkungan,Ganjil,Praktikum Metode Teknik Analisis Lingkungan,1,3,Wajib
UNAIR,S1 Ilmu dan Teknologi Lingkungan,Ganjil,Pengelolaan Sumber Daya Alam,2,3,Wajib
