universitas,jurusan,semester_type,nama_mk,sks,semester,kategori
UNAIR,S1 Ilmu Politik,Ganjil,Agama,2,1,Wajib
UNAIR,S1 Ilmu Politik,Ganjil,Pengantar Ilmu Politik,3,1,Wajib
UNAIR,S1 Ilmu Politik,Ganjil,Pancasila,2,1,Wajib
UNAIR,S1 Ilmu Politik,Ganjil,Pengantar Antropologi,3,1,Wajib
UNAIR,S1 Ilmu Politik,Ganjil,Pengantar Sosiologi,3,1,Wajib
UNAIR,S1 Ilmu Politik,Ganjil,Etika Sosial dan Politik,2,1,Wajib
UNAIR,S1 Ilmu Politik,Ganjil,Bahasa Indonesia,2,1,Wajib
UNAIR,S1 Ilmu Politik,Ganjil,Bahasa Inggris,2,1,Wajib
UNAIR,S1 Ilmu Politik,Genap,Sistem Politik Indonesia,3,2,Wajib
UNAIR,S1 Ilmu Politik,Genap,Teknik Penulisan Ilmiah,3,2,Wajib
UNAIR,S1 Ilmu Politik,Genap,Filsafat Ilmu,2,2,Wajib
UNAIR,S1 Ilmu Politik,Genap,Kewarganegaraan,2,2,Wajib
UNAIR,S1 Ilmu Politik,Genap,Pengantar Statistika Sosial,3,2,Wajib
UNAIR,S1 Ilmu Politik,Genap,Dasar Metodologi Penelitian Sosial,3,2,Wajib
UNAIR,S1 Ilmu Politik,Genap,Sejarah Politik dan Pemerintahan Indonesia,3,2,Pilihan
UNAIR,S1 Ilmu Politik,Genap,Sistem Hukum di Indonesia,3,2,Pilihan
UNAIR,S1 Ilmu Politik,Genap,Manajemen SDM,3,2,Pilihan
UNAIR,S1 Ilmu Politik,Genap,Asas Manajemen,3,2,Pilihan
UNAIR,S1 Ilmu Politik,Genap,E-Governance,3,2,Pilihan
UNAIR,S1 Ilmu Politik,Genap,Pranata Sosial,2,2,Pilihan
UNAIR,S1 Ilmu Politik,Genap,Dasar Public Relations,3,2,Pilihan
UNAIR,S1 Ilmu Politik,Genap,Dasar Jurnalistik,3,2,Pilihan
UNAIR,S1 Ilmu Politik,Genap,Teori Sosiologi Modern,4,2,Pilihan
UNAIR,S1 Ilmu Politik,Genap,Komunikasi Pemasaran,3,2,Pilihan
UNAIR,S1 Ilmu Politik,Genap,Pengantar Globalisasi,3,2,Pilihan
UNAIR,S1 Ilmu Politik,Ganjil,Teori Perbandingan Politik,3,3,Wajib
UNAIR,S1 Ilmu Politik,Ganjil,Pemikiran Politik Barat,3,3,Wajib
UNAIR,S1 Ilmu Politik,Ganjil,Pemikiran Politik Indonesia,3,3,Wajib
UNAIR,S1 Ilmu Politik,Ganjil,"Negara, Agama, dan Demokrasi",3,3,Wajib
UNAIR,S1 Ilmu Politik,Ganjil,Sistem Sosial Budaya Indonesia,3,3,Wajib
UNAIR,S1 Ilmu Politik,Ganjil,Studi Strategis Indonesia II: Politik Luar Negeri RI,3,3,Wajib
UNAIR,S1 Ilmu Politik,Ganjil,Dasar  Ilmu Pemerintahan,3,3,Pilihan
UNAIR,S1 Ilmu Politik,Ganjil,Ekonomi Pembangunan,3,3,Pilihan
UNAIR,S1 Ilmu Politik,Ganjil,Komunikasi Politik,3,3,Pilihan
UNAIR,S1 Ilmu Politik,Ganjil,Dinamika Hubungan Internasional Kawasan,3,3,Pilihan
UNAIR,S1 Ilmu Politik,Ganjil,Sosiologi Politik,3,3,Pilihan
UNAIR,S1 Ilmu Politik,Ganjil,Pengantar Psikologi Sosial,3,3,Pilihan
UNAIR,S1 Ilmu Politik,Ganjil,Etnografi?Indonesia,3,3,Pilihan
UNAIR,S1 Ilmu Politik,Ganjil,Pengantar Kajian Media,3,3,Pilihan
UNAIR,S1 Ilmu Politik,Ganjil,Sosiologi Hukum,3,3,Pilihan
UNAIR,S1 Ilmu Politik,Ganjil,Teori Sosiologi Klasik,4,3,Pilihan
UNAIR,S1 Ilmu Politik,Genap,Ide Politik Alternatif dan Globalisasi di Negara

Berkembang,3,4,Wajib
UNAIR,S1 Ilmu Politik,Genap,Politik dan Pemerintahan Lokal,3,4,Wajib
UNAIR,S1 Ilmu Politik,Genap,"Agensi, Kuasa dan Politik di Indonesia",3,4,Wajib
UNAIR,S1 Ilmu Politik,Genap,Gerakan Sosial dan Politik Identitas,3,4,Wajib
UNAIR,S1 Ilmu Politik,Genap,Representasi Politik dan Perilaku Legislatif,3,4,Wajib
UNAIR,S1 Ilmu Politik,Genap,Perilaku Politik,3,4,Wajib
UNAIR,S1 Ilmu Politik,Genap,Kajian Birokrasi dan Politik,3,4,Pilihan
UNAIR,S1 Ilmu Politik,Genap,Politik Keuangan dan Anggaran,3,4,Pilihan
UNAIR,S1 Ilmu Politik,Genap,Politik di Desa,3,4,Pilihan
UNAIR,S1 Ilmu Politik,Genap,Kepemimpinan,3,4,Pilihan
UNAIR,S1 Ilmu Politik,Genap,Globalisasi dan Strategi,3,4,Pilihan
UNAIR,S1 Ilmu Politik,Genap,Geopolitik dan Geostrategi,3,4,Pilihan
UNAIR,S1 Ilmu Politik,Genap,Strategi Kelautan dan Geopolitik Kemaritiman,3,4,Pilihan
UNAIR,S1 Ilmu Politik,Genap,Sosiologi Korupsi,3,4,Pilihan
UNAIR,S1 Ilmu Politik,Genap,Sosiologi Konflik dan Transformasi (Pengelolaan?Konflik),3,4,Pilihan
UNAIR,S1 Ilmu Politik,Genap,Antropologi Pembangunan,3,4,Pilihan
UNAIR,S1 Ilmu Politik,Genap,Antropologi Politik,3,4,Pilihan
UNAIR,S1 Ilmu Politik,Genap,Ekonomi Politik Internasional,3,4,Pilihan
UNAIR,S1 Ilmu Politik,Genap,Public Speaking,2,4,Pilihan
UNAIR,S1 Ilmu Politik,Genap,Teori Pembangunan,3,4,Pilihan
UNAIR,S1 Ilmu Politik,Genap,"Sistem Perencanaan, dan Penganggaran",3,4,Pilihan
UNAIR,S1 Ilmu Politik,Genap,Teori Perencanaan dan Pengendalian,3,4,Pilihan
UNAIR,S1 Ilmu Politik,Ganjil,Demokrasi dan Demokratisasi,3,5,Wajib
UNAIR,S1 Ilmu Politik,Ganjil,Teori Politik Kontemporer,3,5,Wajib
UNAIR,S1 Ilmu Politik,Ganjil,Ekonomi Politik,3,5,Wajib
UNAIR,S1 Ilmu Politik,Ganjil,Analisis Kuantitatif Ilmu Politik,3,5,Wajib
UNAIR,S1 Ilmu Politik,Ganjil,Elite Politik,3,5,Wajib
UNAIR,S1 Ilmu Politik,Ganjil,"Politik, HAM, dan Demokrasi",3,5,Pilihan
UNAIR,S1 Ilmu Politik,Ganjil,Politik di Kota,3,5,Pilihan
UNAIR,S1 Ilmu Politik,Ganjil,Kebijakan dan Manajemen Bencana,3,5,Pilihan
UNAIR,S1 Ilmu Politik,Ganjil,Manajemen SDM Sektor Publik,3,5,Pilihan
UNAIR,S1 Ilmu Politik,Ganjil,Hubungan Antar-Suku Bangsa,3,5,Pilihan
UNAIR,S1 Ilmu Politik,Ganjil,Perubahan Masyarakat dan Kebudayaan,3,5,Pilihan
UNAIR,S1 Ilmu Politik,Ganjil,"Kosmopolitanisme,Nasionalisme, dan Fundamentalisme",3,5,Pilihan
UNAIR,S1 Ilmu Politik,Ganjil,Politik Keamanan Internasional,3,5,Pilihan
UNAIR,S1 Ilmu Politik,Ganjil,Komunikasi dan Periklanan,3,5,Pilihan
UNAIR,S1 Ilmu Politik,Ganjil,Komunikasi dan Multikulturalisme,3,5,Pilihan
UNAIR,S1 Ilmu Politik,Ganjil,Manajemen Perencanaan Jejaring,3,5,Pilihan
UNAIR,S1 Ilmu Politik,Ganjil,Administrasi dan Manajemen Aset Daerah,3,5,Pilihan
UNAIR,S1 Ilmu Politik,Ganjil,Teori Kebijakan Publik,3,5,Pilihan
UNAIR,S1 Ilmu Politik,Ganjil,Masalah Kemiskinan dan Kesenjangan,3,5,Pilihan
UNAIR,S1 Ilmu Politik,Genap,Agama Lanjut,2,6,Wajib
UNAIR,S1 Ilmu Politik,Genap,Analisis Kualitatif IlmuPolitik,3,6,Wajib
UNAIR,S1 Ilmu Politik,Genap,Proposal Skripsi Ilmu Politik,3,6,Wajib
UNAIR,S1 Ilmu Politik,Genap,Kuliah Kerja Nyata

(KKN),3,6,Wajib
UNAIR,S1 Ilmu Politik,Genap,Kebijakan Publik,3,6,Wajib
UNAIR,S1 Ilmu Politik,Genap,Keasistenan Ilmu Politik,2,6,Pilihan
UNAIR,S1 Ilmu Politik,Genap,Proses Politik dan Teknik Perundang-undangan,3,6,Pilihan
UNAIR,S1 Ilmu Politik,Genap,Politik Gender dan Demokrasi,3,6,Pilihan
UNAIR,S1 Ilmu Politik,Genap,Politik Multikulturalisme,3,6,Pilihan
UNAIR,S1 Ilmu Politik,Genap,Magang,2,6,Pilihan
UNAIR,S1 Ilmu Politik,Genap,Evaluasi dan Pengawasan Pembangunan,3,6,Pilihan
UNAIR,S1 Ilmu Politik,Genap,Geopolitik Kekuatan Ekonomi Baru,3,6,Pilihan
UNAIR,S1 Ilmu Politik,Genap,Sosiologi Pembangunan,3,6,Pilihan
UNAIR,S1 Ilmu Politik,Genap,Komunikasi dan Perilaku Konsumen,3,6,Pilihan
UNAIR,S1 Ilmu Politik,Genap,Media dan Masyarakat,3,6,Pilihan
UNAIR,S1 Ilmu Politik,Genap,Komunikasi dan Modernitas,3,6,Pilihan
UNAIR,S1 Ilmu Politik,Genap,Industri Media Massa,3,6,Pilihan
UNAIR,S1 Ilmu Politik,Genap,Riset Komunikasi,3,6,Pilihan
UNAIR,S1 Ilmu Politik,Genap,Administrasi Keuangan Negara,3,6,Pilihan
UNAIR,S1 Ilmu Politik,Genap,Pengembangan  Kapasitas dan Kelembagaan,3,6,Pilihan
UNAIR,S1 Ilmu Politik,Genap,Perencanaan Pembangunan,3,6,Pilihan
UNAIR,S1 Ilmu Politik,Ganjil,Kajian Kepresidenan,3,7,Wajib
UNAIR,S1 Ilmu Politik,Ganjil,Tatakelola Pemilu,3,7,Wajib
UNAIR,S1 Ilmu Politik,Ganjil,Pengelolaan dan Pemasaran Politik,3,7,Wajib
UNAIR,S1 Ilmu Politik,Ganjil,Politik Anti Korupsi,3,7,Wajib
UNAIR,S1 Ilmu Politik,Ganjil,Perilaku Organisasi,3,7,Pilihan
UNAIR,S1 Ilmu Politik,Ganjil,Kajian Pertahanan Kontemporer,3,7,Pilihan
