universitas,jurusan,semester_type,nama_mk,sks,semester,kategori
UNAIR,S1 Ilmu Sejarah,Ganjil,"Agama Budha I",2,1,MKWU
UNAIR,S1 Ilmu Sejarah,Ganjil,"Agama Hindu I",2,1,MKWU
UNAIR,S1 Ilmu Sejarah,Ganjil,"Agama Islam I",2,1,MKWU
UNAIR,S1 Ilmu Sejarah,Ganjil,"Agama Katolik I",2,1,MKWU
UNAIR,S1 Ilmu Sejarah,Ganjil,"Agama Kong Hu Chu I",2,1,MKWU
UNAIR,S1 Ilmu Sejarah,Ganjil,"Agama Kristen Protestan I",2,1,MKWU
UNAIR,S1 Ilmu Sejarah,Ganjil,"Bahasa Indonesia",2,1,MKWU
UNAIR,S1 Ilmu Sejarah,Ganjil,"Bahasa Inggris I",2,1,Wajib
UNAIR,S1 Ilmu Sejarah,Ganjil,"Data dan Pustaka",2,1,MKWU
UNAIR,S1 Ilmu Sejarah,Ganjil,"Kewarganegaraan",2,1,MKWU
UNAIR,S1 Ilmu Sejarah,Ganjil,"Komunikasi dan Pengembangan Diri",2,1,MKWU
UNAIR,S1 Ilmu Sejarah,Ganjil,"Logika dan Pemikiran Kritis",2,1,MKWU
UNAIR,S1 Ilmu Sejarah,Ganjil,"Pancasila",2,1,MKWU
UNAIR,S1 Ilmu Sejarah,Ganjil,"Pengantar Ilmu Sejarah",3,1,Wajib
UNAIR,S1 Ilmu Sejarah,Ganjil,"Pengantar Kolaborasi Keilmuan",2,1,Wajib
UNAIR,S1 Ilmu Sejarah,Ganjil,"Pengantar Sejarah Indonesia",3,1,Wajib
UNAIR,S1 Ilmu Sejarah,Genap,"Bahasa Inggris I",2,2,Wajib
UNAIR,S1 Ilmu Sejarah,Genap,"Bahasa Inggris II",2,2,Wajib
UNAIR,S1 Ilmu Sejarah,Genap,"Filsafat Ilmu",2,2,Wajib
UNAIR,S1 Ilmu Sejarah,Genap,"Geografi Kesejarahan",2,2,Wajib
UNAIR,S1 Ilmu Sejarah,Genap,"Historiografi Umum",3,2,Wajib
UNAIR,S1 Ilmu Sejarah,Genap,"Komunikasi dan Pengembangan Diri",2,2,MKWU
UNAIR,S1 Ilmu Sejarah,Genap,"Logika dan Pemikiran Kritis",2,2,MKWU
UNAIR,S1 Ilmu Sejarah,Genap,"Museologi/Permuseuman",2,2,Wajib
UNAIR,S1 Ilmu Sejarah,Genap,"Pengantar Filsafat",3,2,Wajib
UNAIR,S1 Ilmu Sejarah,Genap,"Pengantar Ilmu Budaya",2,2,Wajib
UNAIR,S1 Ilmu Sejarah,Genap,"Pengantar Kolaborasi Keilmuan",2,2,Wajib
UNAIR,S1 Ilmu Sejarah,Genap,"Pengantar Sejarah Indonesia",3,2,Wajib
UNAIR,S1 Ilmu Sejarah,Genap,"Sejarah Asia",3,2,Wajib
UNAIR,S1 Ilmu Sejarah,Genap,"Sejarah Indonesia Zaman Nirleka - Abad Xvi",4,2,Wajib
UNAIR,S1 Ilmu Sejarah,Ganjil,"Antropologi Perkotaan",2,3,Wajib
UNAIR,S1 Ilmu Sejarah,Ganjil,"Bahasa Belanda I",3,3,Wajib
UNAIR,S1 Ilmu Sejarah,Ganjil,"Bahasa Inggris II",2,3,Wajib
UNAIR,S1 Ilmu Sejarah,Ganjil,"Historiografi Indonesia",3,3,Wajib
UNAIR,S1 Ilmu Sejarah,Ganjil,"Kearsipan",2,3,Wajib
