universitas,jurusan,semester_type,nama_mk,sks,semester,kategori
Universitas Airlangga,S1 Kebidanan,Ganjil,"Agama Islam I",2,1,Wajib
Universitas Airlangga,S1 Kebidanan,Ganjil,"Bahasa Indonesia",2,1,Wajib
Universitas Airlangga,S1 Kebidanan,Ganjil,"Patofisiologi",3,1,Wajib
Universitas Airlangga,S1 Kebidanan,Ganjil,"Etika Dan Hukum Kesehatan",2,1,Wajib
Universitas Airlangga,S1 Kebidanan,Ganjil,"Farmakologi",2,1,Wajib
Universitas Airlangga,S1 Kebidanan,Ganjil,"Ilmu Dasar Kebidanan",3,1,Wajib
Universitas Airlangga,S1 Kebidanan,Ganjil,"Evidence Based Practice (EBP)",3,1,Wajib
Universitas Airlangga,S1 Kebidanan,Ganjil,"Ilmu dan Seni Dalam Kebidanan",3,1,Wajib
Universitas Airlangga,S1 Kebidanan,Ganjil,"Obstetri dan Ginekologi",3,1,Wajib
Universitas Airlangga,S1 Kebidanan,Ganjil,"Komunikasi Kesehatan dan Layanan Dasar Kesehatan",2,1,Wajib
Universitas Airlangga,S1 Kebidanan,Ganjil,"Pancasila",2,1,Wajib
Universitas Airlangga,S1 Kebidanan,Ganjil,"Kewarganegaraan",2,1,Wajib
Universitas Airlangga,S1 Kebidanan,Ganjil,"Filsafat Ilmu",2,1,Wajib
Universitas Airlangga,S1 Kebidanan,Ganjil,"Metodologi Penelitian dan Biostatistik",4,1,Wajib
Universitas Airlangga,S1 Kebidanan,Ganjil,"Data dan Pustaka",2,1,Wajib
Universitas Airlangga,S1 Kebidanan,Genap,"Bahasa Inggris II",2,2,Wajib
Universitas Airlangga,S1 Kebidanan,Genap,"Anatomi",3,2,Wajib
Universitas Airlangga,S1 Kebidanan,Genap,"Fisiologi",3,2,Wajib
Universitas Airlangga,S1 Kebidanan,Genap,"Genetika dan Imunologi",2,2,Wajib
Universitas Airlangga,S1 Kebidanan,Genap,"Ilmu Sosial Budaya dan Humaniora",2,2,Wajib
Universitas Airlangga,S1 Kebidanan,Genap,"Fisika Kesehatan dan Biokimia",3,2,Wajib
Universitas Airlangga,S1 Kebidanan,Genap,"Asuhan Remaja dan Pranikah",3,2,Wajib
Universitas Airlangga,S1 Kebidanan,Genap,"Asuhan Prakonsepsi dan Perencanaan Keluarga",3,2,Wajib
Universitas Airlangga,S1 Kebidanan,Genap,"Asuhan Kesehatan Reproduksi",3,2,Wajib
Universitas Airlangga,S1 Kebidanan,Genap,"Kebidanan Komunitas",2,2,Wajib
Universitas Airlangga,S1 Kebidanan,Genap,"Konsep Kebidanan",3,2,Wajib
Universitas Airlangga,S1 Kebidanan,Genap,"Pelayanan Kontrasepsi",4,2,Wajib
Universitas Airlangga,S1 Kebidanan,Genap,"Mikrobiologi dan Parasitologi",2,2,Wajib
Universitas Airlangga,S1 Kebidanan,Genap,"Kuliah Kerja Nyata-Belajar Bersama Masyarakat",3,2,Wajib
Universitas Airlangga,S1 Kebidanan,Genap,"Komunikasi dan Pengembangan Diri",2,2,Wajib
Universitas Airlangga,S1 Kebidanan,Genap,"Pengantar Kolaborasi Keilmuan",2,2,Wajib
Universitas Airlangga,S1 Kebidanan,Genap,"Logika dan Pemikiran Kritis",2,2,Wajib
Universitas Airlangga,S1 Kebidanan,Genap,"Proposal Penelitian",2,2,Wajib
Universitas Airlangga,S1 Kebidanan,Ganjil,"Asuhan Kasus Kompleks",5,3,Wajib
Universitas Airlangga,S1 Kebidanan,Ganjil,"Praktik Dasar Kebidanan",5,3,Wajib
