universitas,jurusan,semester_type,nama_mk,sks,semester,kategori
"Universitas Airlangga","S1 Kedokteran Gigi","Ganjil","Agama",2,1,"Wajib"
"Universitas Airlangga","S1 Kedokteran Gigi","Ganjil","Bahasa Inggris",2,1,"Wajib"
"Universitas Airlangga","S1 Kedokteran Gigi","Ganjil","Biologi",4,1,"Wajib"
"Universitas Airlangga","S1 Kedokteran Gigi","Ganjil","Filsafat Ilmu",2,1,"Wajib"
"Universitas Airlangga","S1 Kedokteran Gigi","Ganjil","I.Kes.Gigi Masyarakat I",1,1,"Wajib"
"Universitas Airlangga","S1 Kedokteran Gigi","Ganjil","Ilmu Anatomi I",1,1,"Wajib"
"Universitas Airlangga","S1 Kedokteran Gigi","Ganjil","Ilmu Fisika",3,1,"Wajib"
"Universitas Airlangga","S1 Kedokteran Gigi","Ganjil","Ilmu Kimia",3,1,"Wajib"
"Universitas Airlangga","S1 Kedokteran Gigi","Ganjil","Ilmu Komunikasi & Konseling",1,1,"Wajib"
"Universitas Airlangga","S1 Kedokteran Gigi","Ganjil","ilmu Material & Teknik Kedokteran Gigi I",2,1,"Wajib"
"Universitas Airlangga","S1 Kedokteran Gigi","Ganjil","ilmu Material & Teknik Kedokteran Gigi praktek I",2,1,"Wajib"
"Universitas Airlangga","S1 Kedokteran Gigi","Ganjil","Ilmu Material I",1,1,"Wajib"
"Universitas Airlangga","S1 Kedokteran Gigi","Ganjil","Ilmu Sosial Budaya Dasar",2,1,"Wajib"
"Universitas Airlangga","S1 Kedokteran Gigi","Ganjil","Kimia Dasar I",3,1,"Wajib"
"Universitas Airlangga","S1 Kedokteran Gigi","Ganjil","Modul 2",3,1,"Wajib"
"Universitas Airlangga","S1 Kedokteran Gigi","Ganjil","Skills Lab 1",2,1,"Wajib"
"Universitas Airlangga","S1 Kedokteran Gigi","Genap","Antropologi Kesehatan",1,2,"Wajib"
"Universitas Airlangga","S1 Kedokteran Gigi","Genap","Biokimia I",2,2,"Wajib"
"Universitas Airlangga","S1 Kedokteran Gigi","Genap","Histologi",2,2,"Wajib"
