universitas,jurusan,semester_type,nama_mk,sks,semester,kategori
"Universitas Airlangga","S1 Kedokteran Hewan (Banyuwangi)","Ganjil","Agama Budha I",2,1,"Wajib"
"Universitas Airlangga","S1 Kedokteran Hewan (Banyuwangi)","Ganjil","Agama Hindu I",2,1,"Wajib"
"Universitas Airlangga","S1 Kedokteran Hewan (Banyuwangi)","Ganjil","Agama Islam I",2,1,"Wajib"
"Universitas Airlangga","S1 Kedokteran Hewan (Banyuwangi)","Ganjil","Agama Katolik I",2,1,"Wajib"
"Universitas Airlangga","S1 Kedokteran Hewan (Banyuwangi)","Ganjil","Agama Kristen Protestan I",2,1,"Wajib"
"Universitas Airlangga","S1 Kedokteran Hewan (Banyuwangi)","Ganjil","Anatomi Veteriner I",3,1,"Wajib"
"Universitas Airlangga","S1 Kedokteran Hewan (Banyuwangi)","Ganjil","Bahasa Indonesia",2,1,"Wajib"
"Universitas Airlangga","S1 Kedokteran Hewan (Banyuwangi)","Ganjil","Biokimia  Veteriner I",3,1,"Wajib"
"Universitas Airlangga","S1 Kedokteran Hewan (Banyuwangi)","Ganjil","Biokimia  Veteriner II",1,1,"Wajib"
"Universitas Airlangga","S1 Kedokteran Hewan (Banyuwangi)","Ganjil","Embriologi Veteriner",2,1,"Wajib"
"Universitas Airlangga","S1 Kedokteran Hewan (Banyuwangi)","Ganjil","Kewarganegaraan",2,1,"Wajib"
"Universitas Airlangga","S1 Kedokteran Hewan (Banyuwangi)","Ganjil","Pancasila",2,1,"Wajib"
"Universitas Airlangga","S1 Kedokteran Hewan (Banyuwangi)","Ganjil","Pengantar Ilmu Veteriner",2,1,"Wajib"
"Universitas Airlangga","S1 Kedokteran Hewan (Banyuwangi)","Genap","Anatomi Veteriner II",3,2,"Wajib"
"Universitas Airlangga","S1 Kedokteran Hewan (Banyuwangi)","Genap","Anatomi Veteriner II",3,2,"Wajib"
"Universitas Airlangga","S1 Kedokteran Hewan (Banyuwangi)","Genap","Filsafat Ilmu",2,2,"Wajib"
"Universitas Airlangga","S1 Kedokteran Hewan (Banyuwangi)","Genap","Filsafat Ilmu",2,2,"Wajib"
"Universitas Airlangga","S1 Kedokteran Hewan (Banyuwangi)","Genap","Fisiologi Veteriner I",3,2,"Wajib"
"Universitas Airlangga","S1 Kedokteran Hewan (Banyuwangi)","Genap","Fisiologi Veteriner II",1,2,"Wajib"
"Universitas Airlangga","S1 Kedokteran Hewan (Banyuwangi)","Genap","Histologi Veteriner I",2,2,"Wajib"
"Universitas Airlangga","S1 Kedokteran Hewan (Banyuwangi)","Genap","Histologi Veteriner II",2,2,"Wajib"
"Universitas Airlangga","S1 Kedokteran Hewan (Banyuwangi)","Genap","Ilmu Pakan Dan Nutrisi Hewan",2,2,"Wajib"
"Universitas Airlangga","S1 Kedokteran Hewan (Banyuwangi)","Genap","Ilmu Ternak Ruminansia",2,2,"Wajib"
"Universitas Airlangga","S1 Kedokteran Hewan (Banyuwangi)","Ganjil","Anatomi Terapan dan Kapita Selekta",2,3,"Wajib"
"Universitas Airlangga","S1 Kedokteran Hewan (Banyuwangi)","Ganjil","Anatomi Veteriner III",2,3,"Wajib"
"Universitas Airlangga","S1 Kedokteran Hewan (Banyuwangi)","Ganjil","Bakteriologi dan Mikologi",3,3,"Wajib"
"Universitas Airlangga","S1 Kedokteran Hewan (Banyuwangi)","Ganjil","Farmakologi Veteriner",3,3,"Wajib"
"Universitas Airlangga","S1 Kedokteran Hewan (Banyuwangi)","Ganjil","Genetika Hewan",2,3,"Wajib"
"Universitas Airlangga","S1 Kedokteran Hewan (Banyuwangi)","Ganjil","Ilmu Ternak Unggas Dan Non Ruminansia",2,3,"Wajib"
"Universitas Airlangga","S1 Kedokteran Hewan (Banyuwangi)","Ganjil","Mikrobiologi Veteriner I",3,3,"Wajib"
"Universitas Airlangga","S1 Kedokteran Hewan (Banyuwangi)","Ganjil","Mikrobiologi Veteriner II",2,3,"Wajib"
"Universitas Airlangga","S1 Kedokteran Hewan (Banyuwangi)","Ganjil","Parasitologi",2,3,"Wajib"
"Universitas Airlangga","S1 Kedokteran Hewan (Banyuwangi)","Ganjil","Parasitologi Veteriner",2,3,"Wajib"
"Universitas Airlangga","S1 Kedokteran Hewan (Banyuwangi)","Ganjil","Teknologi Pakan Hewan",3,3,"Wajib"
"Universitas Airlangga","S1 Kedokteran Hewan (Banyuwangi)","Genap","Farmakoterapi Dan Toksikologi Veteriner",3,4,"Wajib"
"Universitas Airlangga","S1 Kedokteran Hewan (Banyuwangi)","Genap","Fisiologi Dan Teknologi Reproduksi I",3,4,"Wajib"
"Universitas Airlangga","S1 Kedokteran Hewan (Banyuwangi)","Genap","Fisiologi Dan Teknologi Reproduksi II",1,4,"Wajib"
"Universitas Airlangga","S1 Kedokteran Hewan (Banyuwangi)","Genap","Ilmu Penyakit Infeksius I (P. Bakteriologi Dan Mikologi)",3,4,"Wajib"
"Universitas Airlangga","S1 Kedokteran Hewan (Banyuwangi)","Genap","Ilmu Penyakit Infeksius II (P. Viral)",3,4,"Wajib"
"Universitas Airlangga","S1 Kedokteran Hewan (Banyuwangi)","Genap","Metodologi Penelitian Terpadu I",2,4,"Wajib"
"Universitas Airlangga","S1 Kedokteran Hewan (Banyuwangi)","Genap","Patologi Veteriner Umum",3,4,"Wajib"
"Universitas Airlangga","S1 Kedokteran Hewan (Banyuwangi)","Genap","Penyakit Parasitik",3,4,"Wajib"
"Universitas Airlangga","S1 Kedokteran Hewan (Banyuwangi)","Ganjil","Diagnosa Klinik Veteriner",3,5,"Wajib"
"Universitas Airlangga","S1 Kedokteran Hewan (Banyuwangi)","Ganjil","Ilmu Farmasi",3,5,"Wajib"
"Universitas Airlangga","S1 Kedokteran Hewan (Banyuwangi)","Ganjil","Ilmu Penyakit Satwa Aquatik",2,5,"Wajib"
"Universitas Airlangga","S1 Kedokteran Hewan (Banyuwangi)","Ganjil","Kesehatan Masyarakat Veteriner I",2,5,"Wajib"
"Universitas Airlangga","S1 Kedokteran Hewan (Banyuwangi)","Ganjil","Kuliah Kerja Nyata (KKN-BBM)",3,5,"Wajib"
"Universitas Airlangga","S1 Kedokteran Hewan (Banyuwangi)","Ganjil","Manajemen Kesehatan Unggas",2,5,"Wajib"
"Universitas Airlangga","S1 Kedokteran Hewan (Banyuwangi)","Ganjil","Metodologi Penelitian Terpadu II",2,5,"Wajib"
"Universitas Airlangga","S1 Kedokteran Hewan (Banyuwangi)","Ganjil","Patologi Veteriner Sistemik",3,5,"Wajib"
"Universitas Airlangga","S1 Kedokteran Hewan (Banyuwangi)","Ganjil","Sistem Jaminan Keamanan Pangan",2,5,"Wajib"
"Universitas Airlangga","S1 Kedokteran Hewan (Banyuwangi)","Genap","Agama Budha II",2,6,"Wajib"
"Universitas Airlangga","S1 Kedokteran Hewan (Banyuwangi)","Genap","Agama Hindu II",2,6,"Wajib"
"Universitas Airlangga","S1 Kedokteran Hewan (Banyuwangi)","Genap","Agama Islam II",2,6,"Wajib"
"Universitas Airlangga","S1 Kedokteran Hewan (Banyuwangi)","Genap","Agama Katolik II",2,6,"Wajib"
"Universitas Airlangga","S1 Kedokteran Hewan (Banyuwangi)","Genap","Agama Kong Hu Chu II",2,6,"Wajib"
"Universitas Airlangga","S1 Kedokteran Hewan (Banyuwangi)","Genap","Agama Kristen Protestan II",2,6,"Wajib"
"Universitas Airlangga","S1 Kedokteran Hewan (Banyuwangi)","Genap","Ilmu Bedah Umum Veteriner",2,6,"Wajib"
"Universitas Airlangga","S1 Kedokteran Hewan (Banyuwangi)","Genap","Ilmu Penyakit Dalam Veteriner I",2,6,"Wajib"
"Universitas Airlangga","S1 Kedokteran Hewan (Banyuwangi)","Genap","Imunologi",2,6,"Wajib"
"Universitas Airlangga","S1 Kedokteran Hewan (Banyuwangi)","Genap","Kesehatan Masyarakat Veteriner II",2,6,"Wajib"
"Universitas Airlangga","S1 Kedokteran Hewan (Banyuwangi)","Genap","Kewirausahaan",2,6,"Wajib"
"Universitas Airlangga","S1 Kedokteran Hewan (Banyuwangi)","Genap","Legislasi Veteriner",2,6,"Wajib"
"Universitas Airlangga","S1 Kedokteran Hewan (Banyuwangi)","Genap","Manajemen Hewan Coba",2,6,"Wajib"
"Universitas Airlangga","S1 Kedokteran Hewan (Banyuwangi)","Genap","Manajemen Kesehatan Sapi Perah",2,6,"Wajib"
"Universitas Airlangga","S1 Kedokteran Hewan (Banyuwangi)","Genap","Manajemen Kuda, Anjing Dan Kucing",2,6,"Wajib"
"Universitas Airlangga","S1 Kedokteran Hewan (Banyuwangi)","Genap","Penyuluhan Veteriner",2,6,"Wajib"
"Universitas Airlangga","S1 Kedokteran Hewan (Banyuwangi)","Genap","Radiologi Veteriner",2,6,"Wajib"
"Universitas Airlangga","S1 Kedokteran Hewan (Banyuwangi)","Genap","Zoonosis",2,6,"Wajib"
"Universitas Airlangga","S1 Kedokteran Hewan (Banyuwangi)","Ganjil","Akupunktur",2,7,"Wajib"
"Universitas Airlangga","S1 Kedokteran Hewan (Banyuwangi)","Ganjil","Bioproduct, Biosafety, dan Biosecurity",2,7,"Wajib"
"Universitas Airlangga","S1 Kedokteran Hewan (Banyuwangi)","Ganjil","Epidemiologi Dan Ekonomi Veteriner",2,7,"Wajib"
"Universitas Airlangga","S1 Kedokteran Hewan (Banyuwangi)","Ganjil","Forensik Veteriner",2,7,"Wajib"
"Universitas Airlangga","S1 Kedokteran Hewan (Banyuwangi)","Ganjil","Ilmu Bedah Khusus Veteriner",3,7,"Wajib"
"Universitas Airlangga","S1 Kedokteran Hewan (Banyuwangi)","Ganjil","Ilmu Kebidanan Dan Kemajiran I",3,7,"Wajib"
"Universitas Airlangga","S1 Kedokteran Hewan (Banyuwangi)","Ganjil","Ilmu Kebidanan Dan Kemajiran II",2,7,"Wajib"
"Universitas Airlangga","S1 Kedokteran Hewan (Banyuwangi)","Ganjil","Ilmu Penyakit Dalam Veteriner II",3,7,"Wajib"
"Universitas Airlangga","S1 Kedokteran Hewan (Banyuwangi)","Ganjil","Kesehatan Lingkungan",2,7,"Wajib"
"Universitas Airlangga","S1 Kedokteran Hewan (Banyuwangi)","Ganjil","Patologi Klinik Veteriner",3,7,"Wajib"
"Universitas Airlangga","S1 Kedokteran Hewan (Banyuwangi)","Ganjil","Satwa Liar",2,7,"Wajib"
"Universitas Airlangga","S1 Kedokteran Hewan (Banyuwangi)","Ganjil","Seminar",3,7,"Wajib"
"Universitas Airlangga","S1 Kedokteran Hewan (Banyuwangi)","Genap","Proposal Skripsi",2,8,"Wajib"
"Universitas Airlangga","S1 Kedokteran Hewan (Banyuwangi)","Genap","Skripsi",5,8,"Wajib"
