universitas,jurusan,semester_type,nama_mk,sks,semester,kategori
Universitas Airlangga,S1 Kedokteran Hewan,Ganjil,"Agama Budha I",2,1,Wajib
Universitas Airlangga,S1 Kedokteran Hewan,Ganjil,"Agama Kong Hu Chu I",2,1,Wajib
Universitas Airlangga,S1 Kedokteran Hewan,Ganjil,"Agama Hindu I",2,1,Wajib
Universitas Airlangga,S1 Kedokteran Hewan,Ganjil,"Agama Islam I",2,1,Wajib
Universitas Airlangga,S1 Kedokteran Hewan,Ganjil,"Agama Katolik I",2,1,Wajib
Universitas Airlangga,S1 Kedokteran Hewan,Ganjil,"Agama Kristen Protestan I",2,1,Wajib
Universitas Airlangga,S1 Kedokteran Hewan,Ganjil,"Bahasa Indonesia",2,1,Wajib
Universitas Airlangga,S1 Kedokteran Hewan,Ganjil,"Embriologi Veteriner",2,1,Wajib
Universitas Airlangga,S1 Kedokteran Hewan,Ganjil,"Anatomi Veteriner I",3,1,Wajib
Universitas Airlangga,S1 Kedokteran Hewan,Ganjil,"Biokimia  Veteriner I",3,1,Wajib
Universitas Airlangga,S1 Kedokteran Hewan,Ganjil,"Biokimia  Veteriner II",1,1,Wajib
Universitas Airlangga,S1 Kedokteran Hewan,Ganjil,"Pengantar Ilmu Veteriner",2,1,Wajib
Universitas Airlangga,S1 Kedokteran Hewan,Ganjil,"Pancasila",2,1,Wajib
Universitas Airlangga,S1 Kedokteran Hewan,Ganjil,"Kewarganegaraan",2,1,Wajib
Universitas Airlangga,S1 Kedokteran Hewan,Genap,"Histologi Veteriner I",2,2,Wajib
Universitas Airlangga,S1 Kedokteran Hewan,Genap,"Histologi Veteriner II",2,2,Wajib
Universitas Airlangga,S1 Kedokteran Hewan,Genap,"Anatomi Veteriner II",3,2,Wajib
Universitas Airlangga,S1 Kedokteran Hewan,Genap,"Ilmu Ternak Ruminansia",2,2,Wajib
Universitas Airlangga,S1 Kedokteran Hewan,Genap,"Fisiologi Veteriner I",3,2,Wajib
Universitas Airlangga,S1 Kedokteran Hewan,Genap,"Fisiologi Veteriner II",1,2,Wajib
Universitas Airlangga,S1 Kedokteran Hewan,Genap,"Ilmu Pakan Dan Nutrisi Hewan",2,2,Wajib
Universitas Airlangga,S1 Kedokteran Hewan,Genap,"Filsafat Ilmu",2,2,Wajib
Universitas Airlangga,S1 Kedokteran Hewan,Ganjil,"Genetika Hewan",2,3,Wajib
Universitas Airlangga,S1 Kedokteran Hewan,Ganjil,"Mikrobiologi Veteriner I",3,3,Wajib
Universitas Airlangga,S1 Kedokteran Hewan,Ganjil,"Mikrobiologi Veteriner II",2,3,Wajib
Universitas Airlangga,S1 Kedokteran Hewan,Ganjil,"Parasitologi Veteriner",2,3,Wajib
Universitas Airlangga,S1 Kedokteran Hewan,Ganjil,"Anatomi Veteriner III",2,3,Wajib
Universitas Airlangga,S1 Kedokteran Hewan,Ganjil,"Farmakologi Veteriner",3,3,Wajib
Universitas Airlangga,S1 Kedokteran Hewan,Ganjil,"Ilmu Ternak Unggas Dan Non Ruminansia",2,3,Wajib
Universitas Airlangga,S1 Kedokteran Hewan,Ganjil,"Teknologi Pakan Hewan",3,3,Wajib
Universitas Airlangga,S1 Kedokteran Hewan,Genap,"Farmakoterapi Dan Toksikologi Veteriner",3,4,Wajib
Universitas Airlangga,S1 Kedokteran Hewan,Genap,"Ilmu Penyakit Infeksius I (P. Bakteriologi Dan Mikologi)",3,4,Wajib
Universitas Airlangga,S1 Kedokteran Hewan,Genap,"Ilmu Penyakit Infeksius II (P. Viral)",3,4,Wajib
Universitas Airlangga,S1 Kedokteran Hewan,Genap,"Penyakit Parasitik",3,4,Wajib
Universitas Airlangga,S1 Kedokteran Hewan,Genap,"Fisiologi Dan Teknologi Reproduksi I",3,4,Wajib
Universitas Airlangga,S1 Kedokteran Hewan,Genap,"Fisiologi Dan Teknologi Reproduksi II",1,4,Wajib
Universitas Airlangga,S1 Kedokteran Hewan,Genap,"Patologi Veteriner Umum",3,4,Wajib
Universitas Airlangga,S1 Kedokteran Hewan,Genap,"Metodologi Penelitian Terpadu I",2,4,Wajib
Universitas Airlangga,S1 Kedokteran Hewan,Ganjil,"Ilmu Farmasi",3,5,Wajib
Universitas Airlangga,S1 Kedokteran Hewan,Ganjil,"Ilmu Penyakit Satwa Aquatik",2,5,Wajib
Universitas Airlangga,S1 Kedokteran Hewan,Ganjil,"Diagnosa Klinik Veteriner",3,5,Wajib
Universitas Airlangga,S1 Kedokteran Hewan,Ganjil,"Patologi Veteriner Sistemik",3,5,Wajib
Universitas Airlangga,S1 Kedokteran Hewan,Ganjil,"Kesehatan Masyarakat Veteriner I",2,5,Wajib
Universitas Airlangga,S1 Kedokteran Hewan,Ganjil,"Kuliah Kerja Nyata-Belajar Bersama Masyarakat",3,5,Wajib
Universitas Airlangga,S1 Kedokteran Hewan,Ganjil,"Sistem Jaminan Keamanan Pangan",2,5,Wajib
Universitas Airlangga,S1 Kedokteran Hewan,Ganjil,"Metodologi Penelitian Terpadu II",2,5,Wajib
Universitas Airlangga,S1 Kedokteran Hewan,Genap,"Agama Budha II",2,6,Wajib
Universitas Airlangga,S1 Kedokteran Hewan,Genap,"Agama Hindu II",2,6,Wajib
Universitas Airlangga,S1 Kedokteran Hewan,Genap,"Agama Islam II",2,6,Wajib
Universitas Airlangga,S1 Kedokteran Hewan,Genap,"Agama Katolik II",2,6,Wajib
Universitas Airlangga,S1 Kedokteran Hewan,Genap,"Agama Kristen Protestan II",2,6,Wajib
Universitas Airlangga,S1 Kedokteran Hewan,Genap,"Imunologi",2,6,Wajib
Universitas Airlangga,S1 Kedokteran Hewan,Genap,"Radiologi Veteriner",2,6,Wajib
Universitas Airlangga,S1 Kedokteran Hewan,Genap,"Legislasi Veteriner",2,6,Wajib
Universitas Airlangga,S1 Kedokteran Hewan,Genap,"Ilmu Bedah Umum Veteriner",2,6,Wajib
Universitas Airlangga,S1 Kedokteran Hewan,Genap,"Ilmu Penyakit Dalam Veteriner I",2,6,Wajib
Universitas Airlangga,S1 Kedokteran Hewan,Genap,"Zoonosis",2,6,Wajib
Universitas Airlangga,S1 Kedokteran Hewan,Genap,"Manajemen Kesehatan Unggas",2,6,Wajib
Universitas Airlangga,S1 Kedokteran Hewan,Genap,"Penyuluhan Veteriner",2,6,Wajib
Universitas Airlangga,S1 Kedokteran Hewan,Genap,"Kesehatan Masyarakat Veteriner II",2,6,Wajib
