universitas,jurusan,semester_type,nama_mk,sks,semester,kategori
Universitas Airlangga,S1 Kedokteran,Ganjil,"Agama Budha I",2,1,Wajib
Universitas Airlangga,S1 Kedokteran,Ganjil,"Agama Kong Hu Chu I",2,1,Wajib
Universitas Airlangga,S1 Kedokteran,Ganjil,"Agama Hindu I",2,1,Wajib
Universitas Airlangga,S1 Kedokteran,Ganjil,"Agama Islam I",2,1,Wajib
Universitas Airlangga,S1 Kedokteran,Ganjil,"Agama Katolik I",2,1,Wajib
Universitas Airlangga,S1 Kedokteran,Ganjil,"Agama Kristen Protestan I",2,1,Wajib
Universitas Airlangga,S1 Kedokteran,Ganjil,"Bahasa Indonesia",2,1,Wajib
Universitas Airlangga,S1 Kedokteran,Ganjil,"Etika Dan Hukum Kesehatan",2,1,Wajib
Universitas Airlangga,S1 Kedokteran,Ganjil,"Komunikasi Kesehatan dan Layanan Dasar Kesehatan",2,1,Wajib
Universitas Airlangga,S1 Kedokteran,Ganjil,"Pancasila",2,1,Wajib
Universitas Airlangga,S1 Kedokteran,Ganjil,"Kewarganegaraan",2,1,Wajib
Universitas Airlangga,S1 Kedokteran,Ganjil,"Data dan Pustaka",2,1,Wajib
Universitas Airlangga,S1 Kedokteran,Genap,"Ilmu Anatomi Kedokteran",4,2,Wajib
Universitas Airlangga,S1 Kedokteran,Genap,"Biologi Kedokteran",3,2,Wajib
Universitas Airlangga,S1 Kedokteran,Genap,"Ilmu Faal Kedokteran",5,2,Wajib
Universitas Airlangga,S1 Kedokteran,Genap,"Histologi Kedokteran",3,2,Wajib
Universitas Airlangga,S1 Kedokteran,Genap,"Medico Socio Entrepreneurship",2,2,Wajib
Universitas Airlangga,S1 Kedokteran,Genap,"Keterampilan Medik 1",2,2,Wajib
Universitas Airlangga,S1 Kedokteran,Genap,"Komunikasi dan Pengembangan Diri",2,2,Wajib
Universitas Airlangga,S1 Kedokteran,Genap,"Pengantar Kolaborasi Keilmuan",2,2,Wajib
Universitas Airlangga,S1 Kedokteran,Genap,"Logika dan Pemikiran Kritis",2,2,Wajib
Universitas Airlangga,S1 Kedokteran,Ganjil,"Ilmu Biokimia",5,3,Wajib
Universitas Airlangga,S1 Kedokteran,Ganjil,"Farmakologi dan Terapi",5,3,Wajib
Universitas Airlangga,S1 Kedokteran,Ganjil,"Sistem Reproduksi",4,3,Wajib
Universitas Airlangga,S1 Kedokteran,Ganjil,"Patologi Anatomi",3,3,Wajib
Universitas Airlangga,S1 Kedokteran,Ganjil,"Patologi Klinik",3,3,Wajib
Universitas Airlangga,S1 Kedokteran,Ganjil,"Mikrobiologi Kedokteran",3,3,Wajib
Universitas Airlangga,S1 Kedokteran,Ganjil,"Parasitologi Kedokteran",3,3,Wajib
Universitas Airlangga,S1 Kedokteran,Ganjil,"Ilmu Kesehatan Masyarakat-Kedokteran Pencegahan I",2,3,Wajib
Universitas Airlangga,S1 Kedokteran,Genap,"Keterampilan Medik 2",2,4,Wajib
Universitas Airlangga,S1 Kedokteran,Genap,"Penelitian I",2,4,Wajib
Universitas Airlangga,S1 Kedokteran,Genap,"Social Aspect of Medicine",2,4,Wajib
