universitas,jurusan,semester_type,nama_mk,sks,semester,kategori
"Universitas Airlangga","S1 Keperawatan","Ganjil","Agama",2,1,"Wajib"
"Universitas Airlangga","S1 Keperawatan","Ganjil","Agama Budha I",2,1,"Wajib"
"Universitas Airlangga","S1 Keperawatan","Ganjil","Agama Budha II",2,1,"Wajib"
"Universitas Airlangga","S1 Keperawatan","Ganjil","Agama Hindu I",2,1,"Wajib"
"Universitas Airlangga","S1 Keperawatan","Ganjil","Agama Hindu II",2,1,"Wajib"
"Universitas Airlangga","S1 Keperawatan","Ganjil","Agama Islam II",2,1,"Wajib"
"Universitas Airlangga","S1 Keperawatan","Ganjil","Agama Katolik I",2,1,"Wajib"
"Universitas Airlangga","S1 Keperawatan","Ganjil","Agama Katolik II",2,1,"Wajib"
"Universitas Airlangga","S1 Keperawatan","Ganjil","Agama Kong Hu Chu I",2,1,"Wajib"
"Universitas Airlangga","S1 Keperawatan","Ganjil","Agama Kong Hu Chu II",2,1,"Wajib"
"Universitas Airlangga","S1 Keperawatan","Ganjil","Agama Kristen Protestan I",2,1,"Wajib"
"Universitas Airlangga","S1 Keperawatan","Ganjil","Agama Kristen Protestan II",2,1,"Wajib"
"Universitas Airlangga","S1 Keperawatan","Ganjil","Bahasa Indonesia",2,1,"Wajib"
"Universitas Airlangga","S1 Keperawatan","Ganjil","Bahasa Indonesia",2,1,"Wajib"
"Universitas Airlangga","S1 Keperawatan","Ganjil","Bahasa Inggris Dalam Keperawatan",2,1,"Wajib"
"Universitas Airlangga","S1 Keperawatan","Ganjil","Bahasa Inggris Dalam Keperawatan II",2,1,"Wajib"
"Universitas Airlangga","S1 Keperawatan","Ganjil","Filsafat",1,1,"Wajib"
"Universitas Airlangga","S1 Keperawatan","Ganjil","Filsafat Ilmu",2,1,"Wajib"
"Universitas Airlangga","S1 Keperawatan","Ganjil","Ilmu Dasar  Keperawatan I",4,1,"Wajib"
"Universitas Airlangga","S1 Keperawatan","Ganjil","Ilmu Dasar Keperawatan I",4,1,"Wajib"
"Universitas Airlangga","S1 Keperawatan","Ganjil","Ilmu Keperawatan Dasar I",4,1,"Wajib"
"Universitas Airlangga","S1 Keperawatan","Ganjil","Ilmu Keperawatan Dasar I",3,1,"Wajib"
"Universitas Airlangga","S1 Keperawatan","Ganjil","Ilmu Keperawatan Dasar I",4,1,"Wajib"
"Universitas Airlangga","S1 Keperawatan","Ganjil","Ilmu Keperawatan Dasar II",4,1,"Wajib"
"Universitas Airlangga","S1 Keperawatan","Ganjil","Ilmu Keperawatan Dasar II",3,1,"Wajib"
"Universitas Airlangga","S1 Keperawatan","Ganjil","Ilmu Keperawatan Dasar II",4,1,"Wajib"
"Universitas Airlangga","S1 Keperawatan","Ganjil","Ilmu Sosial Dan Budaya Dasar",2,1,"Wajib"
"Universitas Airlangga","S1 Keperawatan","Ganjil","Keperawatan Endokrin II",3,1,"Wajib"
"Universitas Airlangga","S1 Keperawatan","Ganjil","Keperawatan Endokrin II",3,1,"Wajib"
"Universitas Airlangga","S1 Keperawatan","Ganjil","Keperawatan Imun Dan Hematologi",3,1,"Wajib"
"Universitas Airlangga","S1 Keperawatan","Ganjil","Keperawatan Imun Dan Hematologi II",3,1,"Wajib"
"Universitas Airlangga","S1 Keperawatan","Ganjil","Keperawatan Imun Dan Hematologi II",3,1,"Wajib"
"Universitas Airlangga","S1 Keperawatan","Ganjil","Keperawatan Jiwa II",3,1,"Wajib"
"Universitas Airlangga","S1 Keperawatan","Ganjil","Keperawatan Jiwa III",2,1,"Wajib"
"Universitas Airlangga","S1 Keperawatan","Ganjil","Keperawatan Kardiovaskuler",4,1,"Wajib"
"Universitas Airlangga","S1 Keperawatan","Ganjil","Keperawatan Kardiovaskuler II",4,1,"Wajib"
