universitas,jurusan,semester_type,nama_mk,sks,semester,kategori
Universitas Airlangga,S1 Kesehatan Masyarakat,Ganjil,"Bahasa Indonesia",2,1,Wajib
Universitas Airlangga,S1 Kesehatan Masyarakat,Ganjil,"Biomedik I",3,1,Wajib
Universitas Airlangga,S1 Kesehatan Masyarakat,Ganjil,"Etika Dan Hukum Kesehatan",2,1,Wajib
Universitas Airlangga,S1 Kesehatan Masyarakat,Ganjil,"Pengantar Ilmu Kesehatan Masyarakat",2,1,Wajib
Universitas Airlangga,S1 Kesehatan Masyarakat,Ganjil,"Komunikasi Kesehatan dan Layanan Dasar Kesehatan",2,1,Wajib
Universitas Airlangga,S1 Kesehatan Masyarakat,Ganjil,"Pancasila",2,1,Wajib
Universitas Airlangga,S1 Kesehatan Masyarakat,Ganjil,"Kewarganegaraan",2,1,Wajib
Universitas Airlangga,S1 Kesehatan Masyarakat,Ganjil,"Data dan Pustaka",2,1,Wajib
Universitas Airlangga,S1 Kesehatan Masyarakat,Genap,"Biomedik II",3,2,Wajib
Universitas Airlangga,S1 Kesehatan Masyarakat,Genap,"Promosi Kesehatan dan Pendidikan Kesehatan",2,2,Wajib
Universitas Airlangga,S1 Kesehatan Masyarakat,Genap,"Administrasi Dan Kebijakan Kesehatan",2,2,Wajib
Universitas Airlangga,S1 Kesehatan Masyarakat,Genap,"Studi Kependudukan",2,2,Wajib
Universitas Airlangga,S1 Kesehatan Masyarakat,Genap,"Dasar Epidemiologi",2,2,Wajib
Universitas Airlangga,S1 Kesehatan Masyarakat,Genap,"Pengantar Kolaborasi Keilmuan",2,2,Wajib
Universitas Airlangga,S1 Kesehatan Masyarakat,Genap,"Logika dan Pemikiran Kritis",2,2,Wajib
Universitas Airlangga,S1 Kesehatan Masyarakat,Genap,"Sosiologi Dan Antropologi Kesehatan",3,2,Wajib
Universitas Airlangga,S1 Kesehatan Masyarakat,Ganjil,"Agama Budha II",2,3,Wajib
Universitas Airlangga,S1 Kesehatan Masyarakat,Ganjil,"Agama Kong Hu Chu II",2,3,Wajib
Universitas Airlangga,S1 Kesehatan Masyarakat,Ganjil,"Agama Hindu II",2,3,Wajib
Universitas Airlangga,S1 Kesehatan Masyarakat,Ganjil,"Agama Islam II",2,3,Wajib
Universitas Airlangga,S1 Kesehatan Masyarakat,Ganjil,"Agama Katolik II",2,3,Wajib
Universitas Airlangga,S1 Kesehatan Masyarakat,Ganjil,"Agama Kristen Protestan II",2,3,Wajib
Universitas Airlangga,S1 Kesehatan Masyarakat,Ganjil,"Dasar Administrasi Rumah Sakit Dan Puskesmas",2,3,Wajib
Universitas Airlangga,S1 Kesehatan Masyarakat,Ganjil,"Kesehatan Reproduksi Masyarakat",2,3,Wajib
