universitas,jurusan,semester_type,nama_mk,sks,semester,kategori
"Universitas Airlangga","S1 Kesehatan Masyarakat (Banyuwangi)","Ganjil","Agama Budha I",2,1,"Wajib"
"Universitas Airlangga","S1 Kesehatan Masyarakat (Banyuwangi)","Ganjil","Agama Hindu I",2,1,"Wajib"
"Universitas Airlangga","S1 Kesehatan Masyarakat (Banyuwangi)","Ganjil","Agama Islam I",2,1,"Wajib"
"Universitas Airlangga","S1 Kesehatan Masyarakat (Banyuwangi)","Ganjil","Agama Katolik I",2,1,"Wajib"
"Universitas Airlangga","S1 Kesehatan Masyarakat (Banyuwangi)","Ganjil","Agama Kong Hu Chu I",2,1,"Wajib"
"Universitas Airlangga","S1 Kesehatan Masyarakat (Banyuwangi)","Ganjil","Bahasa Indonesia",2,1,"Wajib"
"Universitas Airlangga","S1 Kesehatan Masyarakat (Banyuwangi)","Ganjil","Biomedik I",3,1,"Wajib"
"Universitas Airlangga","S1 Kesehatan Masyarakat (Banyuwangi)","Ganjil","Biomedik I",3,1,"Wajib"
"Universitas Airlangga","S1 Kesehatan Masyarakat (Banyuwangi)","Ganjil","Data dan Pustaka",2,1,"Wajib"
"Universitas Airlangga","S1 Kesehatan Masyarakat (Banyuwangi)","Ganjil","Etika Dan Hukum Kesehatan",2,1,"Wajib"
"Universitas Airlangga","S1 Kesehatan Masyarakat (Banyuwangi)","Ganjil","Filsafat Ilmu",2,1,"Wajib"
"Universitas Airlangga","S1 Kesehatan Masyarakat (Banyuwangi)","Ganjil","Kesehatan Dan Keselamatan Kerja",2,1,"Wajib"
"Universitas Airlangga","S1 Kesehatan Masyarakat (Banyuwangi)","Ganjil","Kewarganegaraan",2,1,"Wajib"
"Universitas Airlangga","S1 Kesehatan Masyarakat (Banyuwangi)","Ganjil","Komunikasi Kesehatan dan Layanan Dasar Kesehatan",2,1,"Wajib"
"Universitas Airlangga","S1 Kesehatan Masyarakat (Banyuwangi)","Ganjil","Pancasila",2,1,"Wajib"
"Universitas Airlangga","S1 Kesehatan Masyarakat (Banyuwangi)","Ganjil","Pengantar Ilmu Kesehatan Masyarakat",2,1,"Wajib"
"Universitas Airlangga","S1 Kesehatan Masyarakat (Banyuwangi)","Ganjil","Sosiologi Dan Antropologi Kesehatan",3,1,"Wajib"
"Universitas Airlangga","S1 Kesehatan Masyarakat (Banyuwangi)","Ganjil","Studi Kependudukan",2,1,"Wajib"
"Universitas Airlangga","S1 Kesehatan Masyarakat (Banyuwangi)","Genap","Administrasi Dan Kebijakan Kesehatan",2,2,"Wajib"
"Universitas Airlangga","S1 Kesehatan Masyarakat (Banyuwangi)","Genap","Administrasi Dan Kebijakan Kesehatan",2,2,"Wajib"
"Universitas Airlangga","S1 Kesehatan Masyarakat (Banyuwangi)","Genap","Biomedik 2",3,2,"Wajib"
"Universitas Airlangga","S1 Kesehatan Masyarakat (Banyuwangi)","Genap","Biomedik II",3,2,"Wajib"
"Universitas Airlangga","S1 Kesehatan Masyarakat (Banyuwangi)","Genap","Dasar Biostatistika",2,2,"Wajib"
"Universitas Airlangga","S1 Kesehatan Masyarakat (Banyuwangi)","Genap","Dasar Biostatistika",2,2,"Wajib"
"Universitas Airlangga","S1 Kesehatan Masyarakat (Banyuwangi)","Genap","Dasar Epidemiologi",2,2,"Wajib"
"Universitas Airlangga","S1 Kesehatan Masyarakat (Banyuwangi)","Genap","Dasar Ilmu Gizi",2,2,"Wajib"
"Universitas Airlangga","S1 Kesehatan Masyarakat (Banyuwangi)","Genap","Kepemimpinan dan Berfikir Sistem Kesehatan Masyarakat",2,2,"Wajib"
"Universitas Airlangga","S1 Kesehatan Masyarakat (Banyuwangi)","Genap","Kesehatan Reproduksi Masyarakat",2,2,"Wajib"
"Universitas Airlangga","S1 Kesehatan Masyarakat (Banyuwangi)","Genap","Kewirausahaan Integrasi",2,2,"Wajib"
"Universitas Airlangga","S1 Kesehatan Masyarakat (Banyuwangi)","Genap","Komunikasi Kesehatan",3,2,"Wajib"
"Universitas Airlangga","S1 Kesehatan Masyarakat (Banyuwangi)","Genap","Promosi Dan Pendidikan Kesehatan",2,2,"Wajib"
"Universitas Airlangga","S1 Kesehatan Masyarakat (Banyuwangi)","Ganjil","Administrasi Rumah Sakit Dan Puskesmas I",2,3,"Wajib"
"Universitas Airlangga","S1 Kesehatan Masyarakat (Banyuwangi)","Ganjil","Bahasa Inggris Untuk Kesehatan Masyarakat",2,3,"Wajib"
"Universitas Airlangga","S1 Kesehatan Masyarakat (Banyuwangi)","Ganjil","Biostatistika I",2,3,"Wajib"
"Universitas Airlangga","S1 Kesehatan Masyarakat (Banyuwangi)","Ganjil","Biostatistika Inferensial",2,3,"Wajib"
"Universitas Airlangga","S1 Kesehatan Masyarakat (Banyuwangi)","Ganjil","Biostatistika Inferensial",2,3,"Wajib"
"Universitas Airlangga","S1 Kesehatan Masyarakat (Banyuwangi)","Ganjil","Dasar Administrasi Rumah Sakit Dan Puskesmas",2,3,"Wajib"
"Universitas Airlangga","S1 Kesehatan Masyarakat (Banyuwangi)","Ganjil","Dasar Ilmu Gizi",2,3,"Wajib"
"Universitas Airlangga","S1 Kesehatan Masyarakat (Banyuwangi)","Ganjil","Dasar Ilmu Gizi",2,3,"Wajib"
"Universitas Airlangga","S1 Kesehatan Masyarakat (Banyuwangi)","Ganjil","Dasar Kesehatan Lingkungan",2,3,"Wajib"
"Universitas Airlangga","S1 Kesehatan Masyarakat (Banyuwangi)","Ganjil","Dasar Kesehatan Lingkungan",2,3,"Wajib"
"Universitas Airlangga","S1 Kesehatan Masyarakat (Banyuwangi)","Ganjil","Dasar Kesehatan Lingkungan (Praktikum)",2,3,"Wajib"
"Universitas Airlangga","S1 Kesehatan Masyarakat (Banyuwangi)","Ganjil","Ekologi Kesehatan",2,3,"Wajib"
"Universitas Airlangga","S1 Kesehatan Masyarakat (Banyuwangi)","Ganjil","Ekologi Umum",2,3,"Wajib"
"Universitas Airlangga","S1 Kesehatan Masyarakat (Banyuwangi)","Ganjil","Epidemiologi Penyakit Menular",2,3,"Wajib"
"Universitas Airlangga","S1 Kesehatan Masyarakat (Banyuwangi)","Ganjil","Komunikasi Kesehatan",3,3,"Wajib"
"Universitas Airlangga","S1 Kesehatan Masyarakat (Banyuwangi)","Ganjil","Pemberdayaan Masyarakat dibidang Kesehatan I",2,3,"Wajib"
"Universitas Airlangga","S1 Kesehatan Masyarakat (Banyuwangi)","Ganjil","Pengembangan Kelompok Kesehatan Masyarakat",2,3,"Wajib"
"Universitas Airlangga","S1 Kesehatan Masyarakat (Banyuwangi)","Ganjil","Pengembangan Masyarakat",2,3,"Wajib"
"Universitas Airlangga","S1 Kesehatan Masyarakat (Banyuwangi)","Ganjil","Surveilans Kesehatan Masyarakat",3,3,"Wajib"
"Universitas Airlangga","S1 Kesehatan Masyarakat (Banyuwangi)","Ganjil","Surveilans Kesehatan Masyarakat (Integrasi)",3,3,"Wajib"
"Universitas Airlangga","S1 Kesehatan Masyarakat (Banyuwangi)","Genap","Agama Hindu II",2,4,"Wajib"
"Universitas Airlangga","S1 Kesehatan Masyarakat (Banyuwangi)","Genap","Agama Kristen Protestan II",2,4,"Wajib"
"Universitas Airlangga","S1 Kesehatan Masyarakat (Banyuwangi)","Genap","Epidemiologi Penyakit Tidak Menular",2,4,"Wajib"
"Universitas Airlangga","S1 Kesehatan Masyarakat (Banyuwangi)","Genap","Higiene Industri",2,4,"Wajib"
"Universitas Airlangga","S1 Kesehatan Masyarakat (Banyuwangi)","Genap","Higiene Industri I",2,4,"Wajib"
"Universitas Airlangga","S1 Kesehatan Masyarakat (Banyuwangi)","Genap","Manajemen Sumber Daya Manusia dan Produktivitas Bidang Kesehatan",2,4,"Wajib"
"Universitas Airlangga","S1 Kesehatan Masyarakat (Banyuwangi)","Genap","Msdm Strategik Dan Pengembangan",2,4,"Wajib"
"Universitas Airlangga","S1 Kesehatan Masyarakat (Banyuwangi)","Genap","Pemberdayaan Masyarakat Di Bidang Kesehatan",2,4,"Wajib"
"Universitas Airlangga","S1 Kesehatan Masyarakat (Banyuwangi)","Genap","Pencemaran Lingkungan",2,4,"Wajib"
"Universitas Airlangga","S1 Kesehatan Masyarakat (Banyuwangi)","Genap","Pengantar Gizi Masyarakat",2,4,"Wajib"
"Universitas Airlangga","S1 Kesehatan Masyarakat (Banyuwangi)","Genap","Sanitasi Lingkungan",3,4,"Wajib"
"Universitas Airlangga","S1 Kesehatan Masyarakat (Banyuwangi)","Genap","Sanitasi Lingkungan Perumahan",2,4,"Wajib"
"Universitas Airlangga","S1 Kesehatan Masyarakat (Banyuwangi)","Genap","Sistem Informasi Kesehatan",2,4,"Wajib"
"Universitas Airlangga","S1 Kesehatan Masyarakat (Banyuwangi)","Genap","Surveilans Kesehatan Masyarakat (integrasi)",3,4,"Wajib"
"Universitas Airlangga","S1 Kesehatan Masyarakat (Banyuwangi)","Genap","Toksikologi Industri I",2,4,"Wajib"
"Universitas Airlangga","S1 Kesehatan Masyarakat (Banyuwangi)","Ganjil","Agama Islam II",2,5,"Wajib"
"Universitas Airlangga","S1 Kesehatan Masyarakat (Banyuwangi)","Ganjil","Agama Katolik II",2,5,"Wajib"
"Universitas Airlangga","S1 Kesehatan Masyarakat (Banyuwangi)","Ganjil","Analisis Kualitas Lingkungan Pengendalian Vektor dan Rodent",2,5,"Wajib"
"Universitas Airlangga","S1 Kesehatan Masyarakat (Banyuwangi)","Ganjil","Aplikasi Komputer Kesehatan Masyarakat",2,5,"Wajib"
"Universitas Airlangga","S1 Kesehatan Masyarakat (Banyuwangi)","Ganjil","Dasar Media Komunikasi, Informasi, dan Edukasi",2,5,"Wajib"
"Universitas Airlangga","S1 Kesehatan Masyarakat (Banyuwangi)","Ganjil","Ekologi Pangan dan Gizi",2,5,"Wajib"
"Universitas Airlangga","S1 Kesehatan Masyarakat (Banyuwangi)","Ganjil","Ekonomi Kesehatan",3,5,"Wajib"
"Universitas Airlangga","S1 Kesehatan Masyarakat (Banyuwangi)","Ganjil","Ekonomi Pangan Dan Gizi",2,5,"Wajib"
"Universitas Airlangga","S1 Kesehatan Masyarakat (Banyuwangi)","Ganjil","Ergonomi Dan Faal Kerja II",2,5,"Wajib"
"Universitas Airlangga","S1 Kesehatan Masyarakat (Banyuwangi)","Ganjil","Ketahanan Pangan",2,5,"Wajib"
"Universitas Airlangga","S1 Kesehatan Masyarakat (Banyuwangi)","Ganjil","Manajemen Industri Pelayanan Makanan Dan Gizi",2,5,"Wajib"
"Universitas Airlangga","S1 Kesehatan Masyarakat (Banyuwangi)","Ganjil","Manajemen Kejadian Luar Biasa dan Bencana (Integrasi)",2,5,"Wajib"
"Universitas Airlangga","S1 Kesehatan Masyarakat (Banyuwangi)","Ganjil","Metodologi Penelitian Kuantitatif dan Kualitatif",3,5,"Wajib"
"Universitas Airlangga","S1 Kesehatan Masyarakat (Banyuwangi)","Ganjil","Pengelolaan Lingkungan Hidup",2,5,"Wajib"
"Universitas Airlangga","S1 Kesehatan Masyarakat (Banyuwangi)","Ganjil","Pengendalian Vektor dan Rodent",2,5,"Wajib"
"Universitas Airlangga","S1 Kesehatan Masyarakat (Banyuwangi)","Ganjil","Perencanaan Dan Evaluasi Program Kesehatan (Integrasi)",3,5,"Wajib"
"Universitas Airlangga","S1 Kesehatan Masyarakat (Banyuwangi)","Ganjil","Perencanaan Dan Evaluasi Program Kesehatan (Praktikum)",3,5,"Wajib"
"Universitas Airlangga","S1 Kesehatan Masyarakat (Banyuwangi)","Ganjil","Praktek Kerja Lapangan III",6,5,"Wajib"
"Universitas Airlangga","S1 Kesehatan Masyarakat (Banyuwangi)","Genap","Biostatistika Parametrik",2,6,"Wajib"
