universitas,jurusan,semester_type,nama_mk,sks,semester,kategori
UNAIR,S1 Kimia,Ganjil,General Chemistry I,2,1,Wajib
UNAIR,S1 Kimia,Ganjil,General Chemistry I (Practical),1,1,Wajib
UNAIR,S1 Kimia,Ganjil,General Biology,2,1,Wajib
UNAIR,S1 Kimia,Ganjil,General Biology (Practical),1,1,Wajib
UNAIR,S1 Kimia,Ganjil,Calculus,3,1,Wajib
UNAIR,S1 Kimia,Ganjil,Agama,2,1,Wajib
UNAIR,S1 Kimia,Ganjil,Indonesian Language,2,1,Wajib
UNAIR,S1 Kimia,Ganjil,Data and References,2,1,Wajib
UNAIR,S1 Kimia,Ganjil,Five Principles of Indonesia,2,1,Wajib
UNAIR,S1 Kimia,Ganjil,Civic,2,1,Wajib
UNAIR,S1 Kimia,Genap,General Chemistry II,2,2,Wajib
UNAIR,S1 Kimia,Genap,General Chemistry II (Practical),1,2,Wajib
UNAIR,S1 Kimia,Genap,Chemical Mathematics,3,2,Wajib
UNAIR,S1 Kimia,Genap,Elementary Chemistry,2,2,Wajib
UNAIR,S1 Kimia,Genap,Inorganic Structural Chemistry,3,2,Wajib
UNAIR,S1 Kimia,Genap,Logic and Critical Thinking,2,2,Wajib
UNAIR,S1 Kimia,Genap,Introduction to Scientific Collaboration,2,2,Wajib
UNAIR,S1 Kimia,Genap,Communication and Self Development,2,2,Wajib
UNAIR,S1 Kimia,Genap,Basic Physics,2,2,Wajib
UNAIR,S1 Kimia,Genap,Basic Physics (Practical),1,2,Wajib
UNAIR,S1 Kimia,Ganjil,Qualitative Analytical Chemistry,2,3,Wajib
UNAIR,S1 Kimia,Ganjil,Qualitative Analytical Chemistry (Practical),2,3,Wajib
UNAIR,S1 Kimia,Ganjil,Organic Chemistry I,3,3,Wajib
UNAIR,S1 Kimia,Ganjil,Physical Chemistry I,3,3,Wajib
UNAIR,S1 Kimia,Ganjil,Physical Chemistry I (Practical),1,3,Wajib
UNAIR,S1 Kimia,Ganjil,Biochemistry I,2,3,Wajib
UNAIR,S1 Kimia,Ganjil,Biochemistry I (Practical),1,3,Wajib
UNAIR,S1 Kimia,Ganjil,Fundamentals of Inorganic Reactions,2,3,Wajib
UNAIR,S1 Kimia,Ganjil,Inorganic Chemitry (Practical),1,3,Wajib
UNAIR,S1 Kimia,Ganjil,English Language I,2,3,Wajib
UNAIR,S1 Kimia,Ganjil,Mineralogy,2,3,Pilihan
UNAIR,S1 Kimia,Ganjil,General Microbiology,2,3,Pilihan
UNAIR,S1 Kimia,Ganjil,General Microbiology (Practical),1,3,Pilihan
UNAIR,S1 Kimia,Ganjil,Fundamentals of Fermentation,2,3,Pilihan
UNAIR,S1 Kimia,Genap,Quantitative Analytical Chemistry,3,4,Wajib
