universitas,jurusan,semester_type,nama_mk,sks,semester,kategori
UNAIR,S1 Matematika,Ganjil,Agama,2,1,Wajib
UNAIR,S1 Matematika,Ganjil,Pancasila,2,1,Wajib
UNAIR,S1 Matematika,Ganjil,Kewarganegaraan,2,1,Wajib
UNAIR,S1 Matematika,Ganjil,Bahasa Indonesia,2,1,Wajib
UNAIR,S1 Matematika,Ganjil,Data dan Pustaka,2,1,Wajib
UNAIR,S1 Matematika,Ganjil,Biologi Dasar,2,1,Wajib
UNAIR,S1 Matematika,Ganjil,Kimia Dasar,2,1,Wajib
UNAIR,S1 Matematika,Ganjil,Kalkulus,3,1,Wajib
UNAIR,S1 Matematika,Ganjil,Dasar Dasar Matematika I,2,1,Wajib
UNAIR,S1 Matematika,Genap,Logika dan Pemikiran Kritis,2,2,Wajib
UNAIR,S1 Matematika,Genap,Pengantar Kolaborasi Keilmuan,2,2,Wajib
UNAIR,S1 Matematika,Genap,Komunikasi dan Pengembangan Diri,2,2,Wajib
UNAIR,S1 Matematika,Genap,Dasar Dasar Matematika II,2,2,Wajib
UNAIR,S1 Matematika,Genap,Kalkulus Lanjut,4,2,Wajib
UNAIR,S1 Matematika,Genap,Aljabar Linier Elementer,3,2,Wajib
UNAIR,S1 Matematika,Genap,Fisika Dasar,2,2,Wajib
UNAIR,S1 Matematika,Genap,Bahasa Inggris,2,2,Wajib
UNAIR,S1 Matematika,Genap,Matematika Bisnis,2,2,Pilihan
UNAIR,S1 Matematika,Genap,Teori Bilangan,2,2,Pilihan
UNAIR,S1 Matematika,Genap,Pengantar Geometri,2,2,Pilihan
UNAIR,S1 Matematika,Ganjil,Algoritma dan Pemrograman,3,3,Wajib
UNAIR,S1 Matematika,Ganjil,Algoritma dan Pemrograman (Praktikum),1,3,Wajib
UNAIR,S1 Matematika,Ganjil,Statistika I,2,3,Wajib
UNAIR,S1 Matematika,Ganjil,Program Linier,3,3,Wajib
UNAIR,S1 Matematika,Ganjil,Matematika Diskrit,3,3,Wajib
UNAIR,S1 Matematika,Ganjil,Persamaan Diferensial Biasa,3,3,Wajib
UNAIR,S1 Matematika,Ganjil,Geometri Analitik,3,3,Wajib
UNAIR,S1 Matematika,Ganjil,Kalkulus (Praktikum),1,3,Wajib
