universitas,jurusan,semester_type,nama_mk,sks,semester,kategori
UNAIR,S1 Bahasa Dan Sastra Indonesia,Ganjil,"Agama Budha I",2,1,MKWU
UNAIR,S1 Bahasa Dan Sastra Indonesia,Ganjil,"Agama Hindu I",2,1,MKWU
UNAIR,S1 Bahasa Dan Sastra Indonesia,Ganjil,"Agama Islam I",2,1,MKWU
UNAIR,S1 Bahasa Dan Sastra Indonesia,Ganjil,"Agama Katolik I",2,1,MKWU
UNAIR,S1 Bahasa Dan Sastra Indonesia,Ganjil,"Agama Kong Hu Chu I",2,1,MKWU
UNAIR,S1 Bahasa Dan Sastra Indonesia,Ganjil,"Agama Kristen Protestan I",2,1,MKWU
UNAIR,S1 Bahasa Dan Sastra Indonesia,Ganjil,"Bahasa Indonesia",2,1,MKWU
UNAIR,S1 Bahasa Dan Sastra Indonesia,Ganjil,"Bahasa Inggris",2,1,Wajib
UNAIR,S1 Bahasa Dan Sastra Indonesia,Ganjil,"Data dan Pustaka",2,1,MKWU
UNAIR,S1 Bahasa Dan Sastra Indonesia,Ganjil,"Kewarganegaraan",2,1,MKWU
UNAIR,S1 Bahasa Dan Sastra Indonesia,Ganjil,"Komunikasi dan Pengembangan Diri",2,1,MKWU
UNAIR,S1 Bahasa Dan Sastra Indonesia,Ganjil,"Logika dan Pemikiran Kritis",2,1,MKWU
UNAIR,S1 Bahasa Dan Sastra Indonesia,Ganjil,"Pancasila",2,1,MKWU
UNAIR,S1 Bahasa Dan Sastra Indonesia,Ganjil,"Pengantar Ilmu Budaya",2,1,Wajib
UNAIR,S1 Bahasa Dan Sastra Indonesia,Ganjil,"Pengantar Kolaborasi Keilmuan",2,1,Wajib
UNAIR,S1 Bahasa Dan Sastra Indonesia,Genap,"Filologi",3,2,Wajib
UNAIR,S1 Bahasa Dan Sastra Indonesia,Genap,"Komunikasi dan Pengembangan Diri",2,2,MKWU
UNAIR,S1 Bahasa Dan Sastra Indonesia,Genap,"Logika dan Pemikiran Kritis",2,2,MKWU
UNAIR,S1 Bahasa Dan Sastra Indonesia,Genap,"Pengantar Filsafat",3,2,Wajib
