universitas,jurusan,semester_type,nama_mk,sks,semester,kategori
UNAIR,S1 Bahasa dan Sastra Inggris,Ganjil,"Agama Budha I",2,1,MKWU
UNAIR,S1 Bahasa dan Sastra Inggris,Ganjil,"Agama Hindu I",2,1,MKWU
UNAIR,S1 Bahasa dan Sastra Inggris,Ganjil,"Agama Islam I",2,1,MKWU
UNAIR,S1 Bahasa dan Sastra Inggris,Ganjil,"Agama Katolik I",2,1,MKWU
UNAIR,S1 Bahasa dan Sastra Inggris,Ganjil,"Agama Kong Hu Chu I",2,1,MKWU
UNAIR,S1 Bahasa dan Sastra Inggris,Ganjil,"Agama Kristen Protestan I",2,1,MKWU
UNAIR,S1 Bahasa dan Sastra Inggris,Ganjil,"Bahasa Indonesia",2,1,MKWU
UNAIR,S1 Bahasa dan Sastra Inggris,Ganjil,"Data dan Pustaka",2,1,MKWU
UNAIR,S1 Bahasa dan Sastra Inggris,Ganjil,"Factual And Dialogic Listening",2,1,Wajib
UNAIR,S1 Bahasa dan Sastra Inggris,Ganjil,"Factual And Discursive Reading",2,1,Wajib
UNAIR,S1 Bahasa dan Sastra Inggris,Ganjil,"Interactional and Institutional Conversation",2,1,Wajib
UNAIR,S1 Bahasa dan Sastra Inggris,Ganjil,"Kewarganegaraan",2,1,MKWU
UNAIR,S1 Bahasa dan Sastra Inggris,Ganjil,"Komunikasi dan Pengembangan Diri",2,1,MKWU
UNAIR,S1 Bahasa dan Sastra Inggris,Ganjil,"Logika dan Pemikiran Kritis",2,1,MKWU
UNAIR,S1 Bahasa dan Sastra Inggris,Ganjil,"Pancasila",2,1,MKWU
UNAIR,S1 Bahasa dan Sastra Inggris,Ganjil,"Paragraph and Essay Writing",2,1,Wajib
UNAIR,S1 Bahasa dan Sastra Inggris,Ganjil,"Paragraph and Essay Writing",3,1,Wajib
UNAIR,S1 Bahasa dan Sastra Inggris,Ganjil,"Pengantar Kolaborasi Keilmuan",2,1,Wajib
UNAIR,S1 Bahasa dan Sastra Inggris,Genap,"Analytical and Critical Listening",2,2,Wajib
UNAIR,S1 Bahasa dan Sastra Inggris,Genap,"Analytical and Critical Reading",2,2,Wajib
UNAIR,S1 Bahasa dan Sastra Inggris,Genap,"Factual And Dialogic Listening",2,2,Wajib
UNAIR,S1 Bahasa dan Sastra Inggris,Genap,"Grammar In Context",2,2,Wajib
UNAIR,S1 Bahasa dan Sastra Inggris,Genap,"Informative Essay Writing",2,2,Wajib
UNAIR,S1 Bahasa dan Sastra Inggris,Genap,"Interactional and Institutional Conversation",2,2,Wajib
UNAIR,S1 Bahasa dan Sastra Inggris,Genap,"Introduction to Cultural Studies",2,2,Wajib
UNAIR,S1 Bahasa dan Sastra Inggris,Genap,"Introduction To English Literature",2,2,Wajib
UNAIR,S1 Bahasa dan Sastra Inggris,Genap,"Introduction To General Linguistics",2,2,Wajib
UNAIR,S1 Bahasa dan Sastra Inggris,Genap,"Komunikasi dan Pengembangan Diri",2,2,MKWU
UNAIR,S1 Bahasa dan Sastra Inggris,Genap,"Logika dan Pemikiran Kritis",2,2,MKWU
UNAIR,S1 Bahasa dan Sastra Inggris,Genap,"Pengantar Ilmu Budaya",2,2,Wajib
UNAIR,S1 Bahasa dan Sastra Inggris,Genap,"Pengantar Kolaborasi Keilmuan",2,2,Wajib
UNAIR,S1 Bahasa dan Sastra Inggris,Genap,"Visual Talk",2,2,Wajib
UNAIR,S1 Bahasa dan Sastra Inggris,Genap,"Western Cultural Civilization",2,2,Wajib
UNAIR,S1 Bahasa dan Sastra Inggris,Ganjil,"Analytical and Critical Listening",2,3,Wajib
UNAIR,S1 Bahasa dan Sastra Inggris,Ganjil,"APLIKASI KOMPUTER",2,3,Wajib
UNAIR,S1 Bahasa dan Sastra Inggris,Ganjil,"BAHASA ARAB I",2,3,Wajib
UNAIR,S1 Bahasa dan Sastra Inggris,Ganjil,"Bahasa Jepang I",2,3,Wajib
UNAIR,S1 Bahasa dan Sastra Inggris,Ganjil,"Bahasa Korea I",2,3,Wajib
UNAIR,S1 Bahasa dan Sastra Inggris,Ganjil,"Bahasa Mandarin I",2,3,Wajib
UNAIR,S1 Bahasa dan Sastra Inggris,Ganjil,"Bahasa Perancis I",2,3,Wajib
UNAIR,S1 Bahasa dan Sastra Inggris,Ganjil,"CCC (Cross Cultural Communication)",2,3,Wajib
UNAIR,S1 Bahasa dan Sastra Inggris,Ganjil,"English Phonetics-Phonology",2,3,Wajib
UNAIR,S1 Bahasa dan Sastra Inggris,Ganjil,"English Phonetics-Phonology",2,3,Wajib
UNAIR,S1 Bahasa dan Sastra Inggris,Ganjil,"English Poetry",2,3,Wajib
UNAIR,S1 Bahasa dan Sastra Inggris,Ganjil,"English Prose",2,3,Wajib
UNAIR,S1 Bahasa dan Sastra Inggris,Ganjil,"Grammar In Context",2,3,Wajib
UNAIR,S1 Bahasa dan Sastra Inggris,Ganjil,"History of English Language",2,3,Wajib
UNAIR,S1 Bahasa dan Sastra Inggris,Ganjil,"History of English Literature",2,3,Wajib
UNAIR,S1 Bahasa dan Sastra Inggris,Ganjil,"Integrated Argumentative Writing",2,3,Wajib
UNAIR,S1 Bahasa dan Sastra Inggris,Ganjil,"Integrated Public Presentation",2,3,Wajib
UNAIR,S1 Bahasa dan Sastra Inggris,Ganjil,"Pengantar Ilmu Budaya",2,3,Wajib
UNAIR,S1 Bahasa dan Sastra Inggris,Ganjil,"Pengantar Penelitian dan Teori Kebudayaan",3,3,Wajib
UNAIR,S1 Bahasa dan Sastra Inggris,Ganjil,"Visual Talk",2,3,Wajib
UNAIR,S1 Bahasa dan Sastra Inggris,Genap,"Bahasa Arab II",2,4,Wajib
UNAIR,S1 Bahasa dan Sastra Inggris,Genap,"Bahasa Jepang II",2,4,Wajib
UNAIR,S1 Bahasa dan Sastra Inggris,Genap,"Bahasa Korea II",2,4,Wajib
UNAIR,S1 Bahasa dan Sastra Inggris,Genap,"Bahasa Mandarin II",2,4,Wajib
UNAIR,S1 Bahasa dan Sastra Inggris,Genap,"Bahasa Perancis II",2,4,Wajib
UNAIR,S1 Bahasa dan Sastra Inggris,Genap,"Critical Theories",3,4,Wajib
UNAIR,S1 Bahasa dan Sastra Inggris,Genap,"English Drama",2,4,Wajib
UNAIR,S1 Bahasa dan Sastra Inggris,Genap,"English Morphology-Syntax",2,4,Wajib
UNAIR,S1 Bahasa dan Sastra Inggris,Genap,"English Semantics-Pragmatics",2,4,Wajib
UNAIR,S1 Bahasa dan Sastra Inggris,Genap,"Entrepreneurship",2,4,Wajib
UNAIR,S1 Bahasa dan Sastra Inggris,Genap,"Integrated Academic Presentation",2,4,Wajib
UNAIR,S1 Bahasa dan Sastra Inggris,Genap,"Integrated Academic Writing",2,4,Wajib
UNAIR,S1 Bahasa dan Sastra Inggris,Genap,"Integrated Public Presentation",2,4,Wajib
UNAIR,S1 Bahasa dan Sastra Inggris,Genap,"Media, Language, and Culture",2,4,Wajib
UNAIR,S1 Bahasa dan Sastra Inggris,Genap,"Pengantar Penelitian dan Teori Kebudayaan",3,4,Wajib
UNAIR,S1 Bahasa dan Sastra Inggris,Genap,"Principles and Practice in Translation",2,4,Wajib
UNAIR,S1 Bahasa dan Sastra Inggris,Genap,"Second Language Acquisition",2,4,Wajib
UNAIR,S1 Bahasa dan Sastra Inggris,Ganjil,"Business Correspondence",2,5,Wajib
UNAIR,S1 Bahasa dan Sastra Inggris,Ganjil,"Discourse Analysis",3,5,Wajib
UNAIR,S1 Bahasa dan Sastra Inggris,Ganjil,"Dramaturgy",3,5,Wajib
UNAIR,S1 Bahasa dan Sastra Inggris,Ganjil,"English Professional Writing",2,5,Wajib
UNAIR,S1 Bahasa dan Sastra Inggris,Ganjil,"Global Enrichment Elective Course",2,5,Wajib
UNAIR,S1 Bahasa dan Sastra Inggris,Ganjil,"Global Outreaching Elective Course",2,5,Wajib
UNAIR,S1 Bahasa dan Sastra Inggris,Ganjil,"Inter-Faculty Enrichment Elective Course",2,5,Wajib
UNAIR,S1 Bahasa dan Sastra Inggris,Ganjil,"Inter-Faculty Outreaching Elective Course",2,5,Wajib
UNAIR,S1 Bahasa dan Sastra Inggris,Ganjil,"Inter-University Enrichment Elective Course",2,5,Wajib
UNAIR,S1 Bahasa dan Sastra Inggris,Ganjil,"Inter-University Outreaching Elective Course",2,5,Wajib
UNAIR,S1 Bahasa dan Sastra Inggris,Ganjil,"Literary and Cultural Criticism",3,5,Wajib
UNAIR,S1 Bahasa dan Sastra Inggris,Ganjil,"Pop Culture",2,5,Wajib
UNAIR,S1 Bahasa dan Sastra Inggris,Ganjil,"Public Relations",2,5,Wajib
UNAIR,S1 Bahasa dan Sastra Inggris,Ganjil,"TEFL (Teaching English as a Foreign Language)",3,5,Wajib
UNAIR,S1 Bahasa dan Sastra Inggris,Ganjil,"Topics in Cultural Studies",3,5,Wajib
UNAIR,S1 Bahasa dan Sastra Inggris,Ganjil,"Topics in Linguistic Studies",3,5,Wajib
UNAIR,S1 Bahasa dan Sastra Inggris,Ganjil,"Topics in Literary Studies",3,5,Wajib
UNAIR,S1 Bahasa dan Sastra Inggris,Ganjil,"Transediting",2,5,Wajib
UNAIR,S1 Bahasa dan Sastra Inggris,Ganjil,"Western Cultural Civilization",2,5,Wajib
UNAIR,S1 Bahasa dan Sastra Inggris,Genap,"Advanced Issues in Linguistics",3,6,Wajib
UNAIR,S1 Bahasa dan Sastra Inggris,Genap,"American Studies",2,6,Wajib
UNAIR,S1 Bahasa dan Sastra Inggris,Genap,"Australian Studies",2,6,Wajib
UNAIR,S1 Bahasa dan Sastra Inggris,Genap,"British Studies",2,6,Wajib
UNAIR,S1 Bahasa dan Sastra Inggris,Genap,"Children’S Literature",2,6,Wajib
UNAIR,S1 Bahasa dan Sastra Inggris,Genap,"Classic Literature",2,6,Wajib
UNAIR,S1 Bahasa dan Sastra Inggris,Genap,"Comparative Literature And Cultural Studies",2,6,Wajib
UNAIR,S1 Bahasa dan Sastra Inggris,Genap,"Contemporary Literature",2,6,Wajib
UNAIR,S1 Bahasa dan Sastra Inggris,Genap,"Creative Writing",2,6,Wajib
UNAIR,S1 Bahasa dan Sastra Inggris,Genap,"Internship",4,6,Wajib
UNAIR,S1 Bahasa dan Sastra Inggris,Genap,"Japanese Studies",2,6,Wajib
UNAIR,S1 Bahasa dan Sastra Inggris,Genap,"Language and Culture in Urban Society",2,6,Wajib
UNAIR,S1 Bahasa dan Sastra Inggris,Genap,"Methods Of Cultural Studies Research",3,6,Wajib
UNAIR,S1 Bahasa dan Sastra Inggris,Genap,"Methods of Linguistic Research",3,6,Wajib
UNAIR,S1 Bahasa dan Sastra Inggris,Genap,"Methods of Literary Research",3,6,Wajib
UNAIR,S1 Bahasa dan Sastra Inggris,Genap,"Professional Practice in Teaching",2,6,Wajib
UNAIR,S1 Bahasa dan Sastra Inggris,Genap,"Southeast Asian Studies",2,6,Wajib
UNAIR,S1 Bahasa dan Sastra Inggris,Genap,"Virtual Learning and Language Assessment",2,6,Wajib
UNAIR,S1 Bahasa dan Sastra Inggris,Ganjil,"Agama Budha II",2,7,MKWU
UNAIR,S1 Bahasa dan Sastra Inggris,Ganjil,"Agama Hindu II",2,7,MKWU
UNAIR,S1 Bahasa dan Sastra Inggris,Ganjil,"Agama Islam II",2,7,MKWU
UNAIR,S1 Bahasa dan Sastra Inggris,Ganjil,"Agama Katolik II",2,7,MKWU
UNAIR,S1 Bahasa dan Sastra Inggris,Ganjil,"Agama Kong Hu Chu II",2,7,MKWU
UNAIR,S1 Bahasa dan Sastra Inggris,Ganjil,"Agama Kristen Protestan II",2,7,MKWU
UNAIR,S1 Bahasa dan Sastra Inggris,Ganjil,"Digital Literature and Culture",2,7,Wajib
UNAIR,S1 Bahasa dan Sastra Inggris,Ganjil,"Final Project Writing Design",3,7,Wajib
UNAIR,S1 Bahasa dan Sastra Inggris,Ganjil,"Gender in Language, Literature, and Culture",2,7,Wajib
UNAIR,S1 Bahasa dan Sastra Inggris,Ganjil,"Gender in Language, Literature, and Culture",0,7,Wajib
UNAIR,S1 Bahasa dan Sastra Inggris,Ganjil,"Kuliah Kerja Nyata (KKN)",3,7,Wajib
UNAIR,S1 Bahasa dan Sastra Inggris,Ganjil,"World Literature",2,7,Wajib
UNAIR,S1 Bahasa dan Sastra Inggris,Genap,"Independent Studies On Cultural Studies",3,8,Wajib
UNAIR,S1 Bahasa dan Sastra Inggris,Genap,"Independent Studies on Linguistics",3,8,Wajib
UNAIR,S1 Bahasa dan Sastra Inggris,Genap,"Independent Studies on Literature",3,8,Wajib
UNAIR,S1 Bahasa dan Sastra Inggris,Genap,"Interpreting",2,8,Wajib
UNAIR,S1 Bahasa dan Sastra Inggris,Genap,"Skripsi",6,8,Wajib
UNAIR,S1 Bahasa dan Sastra Inggris,Genap,"Advanced Issues in Linguistics",3,,Pilihan
UNAIR,S1 Bahasa dan Sastra Inggris,Genap,"Agama Budha II",2,,Pilihan
UNAIR,S1 Bahasa dan Sastra Inggris,Genap,"Agama Hindu II",2,,Pilihan
UNAIR,S1 Bahasa dan Sastra Inggris,Genap,"Agama Islam II",2,,Pilihan
UNAIR,S1 Bahasa dan Sastra Inggris,Genap,"Agama Katolik II",2,,Pilihan
UNAIR,S1 Bahasa dan Sastra Inggris,Genap,"Agama Kong Hu Chu II",2,,Pilihan
UNAIR,S1 Bahasa dan Sastra Inggris,Genap,"Agama Kristen Protestan II",2,,Pilihan
UNAIR,S1 Bahasa dan Sastra Inggris,Genap,"American Studies",2,,Pilihan
UNAIR,S1 Bahasa dan Sastra Inggris,Genap,"Australian Studies",2,,Pilihan
UNAIR,S1 Bahasa dan Sastra Inggris,Genap,"Bahasa Arab II",2,,Pilihan
UNAIR,S1 Bahasa dan Sastra Inggris,Genap,"Bahasa Indonesia Untuk Penutur Asing (BIPA B1)",4,,Pilihan
UNAIR,S1 Bahasa dan Sastra Inggris,Genap,"Bahasa Indonesia Untuk Penutur Asing (BIPA B2)",4,,Pilihan
UNAIR,S1 Bahasa dan Sastra Inggris,Genap,"Bahasa Jepang II",2,,Pilihan
UNAIR,S1 Bahasa dan Sastra Inggris,Genap,"Bahasa Korea II",2,,Pilihan
UNAIR,S1 Bahasa dan Sastra Inggris,Genap,"Bahasa Mandarin II",2,,Pilihan
UNAIR,S1 Bahasa dan Sastra Inggris,Genap,"Bahasa Perancis II",2,,Pilihan
UNAIR,S1 Bahasa dan Sastra Inggris,Genap,"British Studies",2,,Pilihan
UNAIR,S1 Bahasa dan Sastra Inggris,Genap,"Business Correspondence",2,,Pilihan
UNAIR,S1 Bahasa dan Sastra Inggris,Genap,"Celebrity Culture",2,,Pilihan
UNAIR,S1 Bahasa dan Sastra Inggris,Genap,"Children’S Literature",2,,Pilihan
