universitas,jurusan,semester_type,nama_mk,sks,semester,kategori
UNAIR,S1 Bahasa Dan Sastra Jepang,Ganjil,"Agama Budha I",2,1,MKWU
UNAIR,S1 Bahasa Dan Sastra Jepang,Ganjil,"Agama Hindu I",2,1,MKWU
UNAIR,S1 Bahasa Dan Sastra Jepang,Ganjil,"Agama Islam I",2,1,MKWU
UNAIR,S1 Bahasa Dan Sastra Jepang,Ganjil,"Agama Katolik I",2,1,MKWU
UNAIR,S1 Bahasa Dan Sastra Jepang,Ganjil,"Agama Kong Hu Chu I",2,1,MKWU
UNAIR,S1 Bahasa Dan Sastra Jepang,Ganjil,"Agama Kristen Protestan I",2,1,MKWU
UNAIR,S1 Bahasa Dan Sastra Jepang,Ganjil,"Bahasa Indonesia",2,1,MKWU
UNAIR,S1 Bahasa Dan Sastra Jepang,Ganjil,"Bahasa Inggris I",2,1,Wajib
UNAIR,S1 Bahasa Dan Sastra Jepang,Ganjil,"Data dan Pustaka",2,1,MKWU
UNAIR,S1 Bahasa Dan Sastra Jepang,Ganjil,"Kewarganegaraan",2,1,MKWU
UNAIR,S1 Bahasa Dan Sastra Jepang,Ganjil,"Pancasila",2,1,MKWU
UNAIR,S1 Bahasa Dan Sastra Jepang,Ganjil,"Pengantar Kanji (Introduction to Kanji)",2,1,Wajib
UNAIR,S1 Bahasa Dan Sastra Jepang,Ganjil,"Pengantar Tata Bahasa Jepang (Introduction to Japanese Grammar)",4,1,Wajib
UNAIR,S1 Bahasa Dan Sastra Jepang,Ganjil,"Praktek Tata Bahasa Jepang Pemula (Applied Japanese Grammar for Beginner)",3,1,Wajib
UNAIR,S1 Bahasa Dan Sastra Jepang,Genap,"Kanji Dasar dalam Konteks (Basic Kanji in Context)",2,2,Wajib
UNAIR,S1 Bahasa Dan Sastra Jepang,Genap,"Komunikasi Bahasa Jepang Tingkat Dasar (Basic Japanese Communication)",4,2,Wajib
UNAIR,S1 Bahasa Dan Sastra Jepang,Genap,"Komunikasi dan Pengembangan Diri",2,2,MKWU
UNAIR,S1 Bahasa Dan Sastra Jepang,Genap,"Logika dan Pemikiran Kritis",2,2,MKWU
UNAIR,S1 Bahasa Dan Sastra Jepang,Genap,"Mengarang Bahasa Jepang Tingkat Dasar (Basic Japanese Composition)",2,2,Wajib
UNAIR,S1 Bahasa Dan Sastra Jepang,Genap,"Pengantar Ilmu Budaya",2,2,Wajib
UNAIR,S1 Bahasa Dan Sastra Jepang,Genap,"Pengantar Kolaborasi Keilmuan",2,2,Wajib
UNAIR,S1 Bahasa Dan Sastra Jepang,Genap,"Tata Bahasa Jepang Tingkat Dasar (Basic Japanese Grammar) ",4,2,Wajib
UNAIR,S1 Bahasa Dan Sastra Jepang,Ganjil,"Kaligrafi Jepang (Japanese Calligraphy)",2,3,Wajib
UNAIR,S1 Bahasa Dan Sastra Jepang,Ganjil,"Kanji Pra-Menengah dalam Konteks (Pre-Intermediate Kanji in Context)",2,3,Wajib
UNAIR,S1 Bahasa Dan Sastra Jepang,Ganjil,"Komunikasi Bahasa Jepang Tingkat Pra-Menengah (Pre-Intermediate Japanese Communication)",4,3,Wajib
UNAIR,S1 Bahasa Dan Sastra Jepang,Ganjil,"Mengarang Bahasa Jepang Tingkat Pra-Menengah (Pre-Intermediate Japanese Composition)",2,3,Wajib
UNAIR,S1 Bahasa Dan Sastra Jepang,Ganjil,"Nihon Shakai to Bunka Nyumon",2,3,Wajib
UNAIR,S1 Bahasa Dan Sastra Jepang,Ganjil,"Pengantar Kesusastraan Umum",2,3,Wajib
UNAIR,S1 Bahasa Dan Sastra Jepang,Ganjil,"Pengantar Linguistik Umum",2,3,Wajib
UNAIR,S1 Bahasa Dan Sastra Jepang,Ganjil,"Pengantar Penelitian dan Teori Kebudayaan",3,3,Wajib
UNAIR,S1 Bahasa Dan Sastra Jepang,Ganjil,"Pengantar Umum tentang Jepang (General Introduction to Japan)",2,3,Wajib
UNAIR,S1 Bahasa Dan Sastra Jepang,Ganjil,"Tata Bahasa Jepang Tingkat Pra-Menengah (Pre-Intermediate Japanese Grammar)",4,3,Wajib
UNAIR,S1 Bahasa Dan Sastra Jepang,Genap,"Bahasa Inggris II",2,4,Wajib
UNAIR,S1 Bahasa Dan Sastra Jepang,Genap,"Kanji Menengah dalam Konteks (Intermediate Kanji in Context)",2,4,Wajib
UNAIR,S1 Bahasa Dan Sastra Jepang,Genap,"Komunikasi Bahasa Jepang Tingkat Menengah (Intermediate Japanese Communication)",4,4,Wajib
UNAIR,S1 Bahasa Dan Sastra Jepang,Genap,"Mengarang Bahasa Jepang Tingkat Menengah (Intermediate Japanese Composition)",2,4,Wajib
UNAIR,S1 Bahasa Dan Sastra Jepang,Genap,"Pengantar Budaya dan Masyarakat Jepang (Introduction to Japanese Culture and Society)",3,4,Wajib
UNAIR,S1 Bahasa Dan Sastra Jepang,Genap,"Pengantar Kajian Budaya (Introduction to Cultural Studies)",3,4,Wajib
UNAIR,S1 Bahasa Dan Sastra Jepang,Genap,"Pengantar Kesusastraan Jepang (Introduction to Japanese Literature)",2,4,Wajib
UNAIR,S1 Bahasa Dan Sastra Jepang,Genap,"Pengantar Linguistik Jepang (Introduction to Japanese Linguistics)",2,4,Wajib
UNAIR,S1 Bahasa Dan Sastra Jepang,Genap,"Pengayaan Bahasa Jepang Tingkat Pra-Menengah (Pre-Intermediate Japanese Enrichment)",2,4,Wajib
UNAIR,S1 Bahasa Dan Sastra Jepang,Genap,"Sejarah Jepang (Japanese History)",2,4,Wajib
UNAIR,S1 Bahasa Dan Sastra Jepang,Genap,"Tata Bahasa Jepang Tingkat Menengah (Intermediate Japanese Grammar)",4,4,Wajib
UNAIR,S1 Bahasa Dan Sastra Jepang,Ganjil,"Agama Budha II",2,5,MKWU
UNAIR,S1 Bahasa Dan Sastra Jepang,Ganjil,"Agama Hindu II",2,5,MKWU
UNAIR,S1 Bahasa Dan Sastra Jepang,Ganjil,"Agama Islam II",2,5,MKWU
UNAIR,S1 Bahasa Dan Sastra Jepang,Ganjil,"Agama Katolik II",2,5,MKWU
UNAIR,S1 Bahasa Dan Sastra Jepang,Ganjil,"Agama Kong Hu Chu II",2,5,MKWU
UNAIR,S1 Bahasa Dan Sastra Jepang,Ganjil,"Agama Kristen Protestan II",2,5,MKWU
UNAIR,S1 Bahasa Dan Sastra Jepang,Ganjil,"Analisis Wacana (Discourse Analysis)",2,5,Wajib
UNAIR,S1 Bahasa Dan Sastra Jepang,Ganjil,"Kajian Gender dan Wanita Jepang (Japanese Women and Gender Studies)",2,5,Wajib
UNAIR,S1 Bahasa Dan Sastra Jepang,Ganjil,"Kanji Menengah Atas dalam Konteks (Upper Intermediate Kanji in Context)",2,5,Wajib
UNAIR,S1 Bahasa Dan Sastra Jepang,Ganjil,"Komunikasi Bahasa Jepang Tingkat Menengah Atas (Upper Intermediate Japanese Comunication)",4,5,Wajib
UNAIR,S1 Bahasa Dan Sastra Jepang,Ganjil,"Mengarang Bahasa Jepang Tingkat Menengah Atas (Upper Intermediate Writing)",2,5,Wajib
UNAIR,S1 Bahasa Dan Sastra Jepang,Ganjil,"Sejarah Hubungan Indonesia Jepang (History of Indonesia-Japan Relationship)",2,5,Wajib
UNAIR,S1 Bahasa Dan Sastra Jepang,Ganjil,"Semantik dan Pragmatik (Semantics Pragmatics)",3,5,Wajib
UNAIR,S1 Bahasa Dan Sastra Jepang,Ganjil,"Tata Bahasa Jepang Tingkat Menengah Atas (Upper Intermediate Japanese Grammar)",2,5,Wajib
UNAIR,S1 Bahasa Dan Sastra Jepang,Ganjil,"Teori Budaya dan Masyarakat Jepang (Theory of Japanese Culture and Society)",3,5,Wajib
UNAIR,S1 Bahasa Dan Sastra Jepang,Ganjil,"Teori Kesusastraan Jepang (Japanese Literature Theory)",2,5,Wajib
UNAIR,S1 Bahasa Dan Sastra Jepang,Ganjil,"Teori Struktur Linguistik Jepang (Japanese Linguistics Structure Theory)",2,5,Wajib
UNAIR,S1 Bahasa Dan Sastra Jepang,Genap,"Budaya Populer Jepang (Japanese Popular Culture)",2,6,Wajib
UNAIR,S1 Bahasa Dan Sastra Jepang,Genap,"Ekspresi Bahasa Jepang Tingkat Lanjut (Advance Japanese Expression)",2,6,Wajib
UNAIR,S1 Bahasa Dan Sastra Jepang,Genap,"Interpretasi Teks Jepang (Japanese Text Interpretation)",2,6,Wajib
UNAIR,S1 Bahasa Dan Sastra Jepang,Genap,"Kapita Selekta Kesusastraan Jepang (Special Lecture on Japanese Literature)",3,6,Wajib
UNAIR,S1 Bahasa Dan Sastra Jepang,Genap,"Linguistik Terapan (Applied Linguistics)",3,6,Wajib
UNAIR,S1 Bahasa Dan Sastra Jepang,Genap,"Metode dan Seminar Penelitian Linguistik Jepang (Japanese Linguistic Research Methods and Seminar)",3,6,Wajib
UNAIR,S1 Bahasa Dan Sastra Jepang,Genap,"Metode dan Seminar Penelitian Sastra dan Budaya Jepang (Japanese Literature and Cultural Research Methods and Seminar)",3,6,Wajib
UNAIR,S1 Bahasa Dan Sastra Jepang,Genap,"Modernisasi Jepang",3,6,Wajib
UNAIR,S1 Bahasa Dan Sastra Jepang,Genap,"Pengayaan Bahasa Jepang Tingkat Menengah (Intermediate Japanese Enrichment) ",2,6,Wajib
UNAIR,S1 Bahasa Dan Sastra Jepang,Genap,"Politik Jepang Modern (Politics in Modern Japan)",2,6,Wajib
UNAIR,S1 Bahasa Dan Sastra Jepang,Genap,"Sejarah Pemikiran Jepang (History of Japanese Thought)",2,6,Wajib
UNAIR,S1 Bahasa Dan Sastra Jepang,Ganjil,"Korespondensi Bisnis Jepang (Japanese Business Correspondence)",3,7,Wajib
UNAIR,S1 Bahasa Dan Sastra Jepang,Ganjil,"Kuliah Kerja Nyata (KKN)",3,7,Wajib
UNAIR,S1 Bahasa Dan Sastra Jepang,Ganjil,"Metode Pengajaran Bahasa Jepang (Japanese Teaching Method)",3,7,Wajib
UNAIR,S1 Bahasa Dan Sastra Jepang,Ganjil,"Pemahaman Bacaan Akademik (Academic Reading Comprehension)",2,7,Wajib
