universitas,jurusan,semester_type,nama_mk,sks,semester,kategori
UNAIR,S1 Sosiologi,Ganjil,Pancasila,2,1,Wajib
UNAIR,S1 Sosiologi,Ganjil,Pengantar Ilmu Politik,3,1,Wajib
UNAIR,S1 Sosiologi,Ganjil,Pengantar Sosiologi,3,1,Wajib
UNAIR,S1 Sosiologi,Ganjil,Teknik Penulisan Ilmiah,2,1,Wajib
UNAIR,S1 Sosiologi,Ganjil,Bahasa Inggris 1,2,1,Wajib
UNAIR,S1 Sosiologi,Ganjil,Etika Sosial Politik,2,1,Wajib
UNAIR,S1 Sosiologi,Ganjil,Bahasa Indonesia,2,1,Wajib
UNAIR,S1 Sosiologi,Ganjil,Agama,2,1,Wajib
UNAIR,S1 Sosiologi,Ganjil,Kewarganegaraan,2,1,Wajib
UNAIR,S1 Sosiologi,Genap,Filsafat Ilmu,2,2,Wajib
UNAIR,S1 Sosiologi,Genap,Pengantar Antropologi,3,2,Wajib
UNAIR,S1 Sosiologi,Genap,Pengantar Statistik Sosial,3,2,Wajib
UNAIR,S1 Sosiologi,Genap,Asas Manajemen,3,2,Wajib
UNAIR,S1 Sosiologi,Genap,Psikologi Sosial,3,2,Wajib
UNAIR,S1 Sosiologi,Genap,Dasar Metodologi PenelitianSosial,3,2,Wajib
UNAIR,S1 Sosiologi,Genap,Tipologi Sosial,3,2,Wajib
UNAIR,S1 Sosiologi,Ganjil,Statistik Sosial I (Inferens),3,3,Wajib
UNAIR,S1 Sosiologi,Ganjil,Sistem Politik Indonesia,3,3,Wajib
UNAIR,S1 Sosiologi,Ganjil,Sistem Sosial Budaya Indonesia,3,3,Wajib
UNAIR,S1 Sosiologi,Ganjil,Sosiologi Pedesaan,3,3,Wajib
UNAIR,S1 Sosiologi,Ganjil,Metode Penelitian  Kuantitatif,3,3,Wajib
UNAIR,S1 Sosiologi,Ganjil,Sosiologi Keluarga,3,3,Pilihan
UNAIR,S1 Sosiologi,Ganjil,Sosiologi Pendidikan,3,3,Pilihan
UNAIR,S1 Sosiologi,Ganjil,Sosiologi Gender,3,3,Pilihan
UNAIR,S1 Sosiologi,Ganjil,Sosiologi Komunikasi,3,3,Pilihan
UNAIR,S1 Sosiologi,Ganjil,Sosiologi Ekonomi,3,3,Pilihan
UNAIR,S1 Sosiologi,Ganjil,Sosiologi Organisasi,3,3,Pilihan
UNAIR,S1 Sosiologi,Ganjil,Pranata Sosial,2,3,Pilihan
UNAIR,S1 Sosiologi,Ganjil,Ekologi Kota,2,3,Pilihan
UNAIR,S1 Sosiologi,Ganjil,Sistem Hukum Indonesia,3,3,Pilihan
UNAIR,S1 Sosiologi,Ganjil,Bhs. Inggris Lanjut,2,3,Pilihan
UNAIR,S1 Sosiologi,Genap,Sosiologi Perkotaan,3,4,Wajib
UNAIR,S1 Sosiologi,Genap,Statistik Sosial II (Non Parametrik),3,4,Wajib
UNAIR,S1 Sosiologi,Genap,Metode Penelitian  Kualitatif,3,4,Wajib
UNAIR,S1 Sosiologi,Genap,Masalah Sosial,3,4,Wajib
UNAIR,S1 Sosiologi,Genap,Sosiologi Kesehatan,3,4,Pilihan
UNAIR,S1 Sosiologi,Genap,Sosiologi Industri,3,4,Pilihan
UNAIR,S1 Sosiologi,Genap,Sosiologi Politik,3,4,Pilihan
UNAIR,S1 Sosiologi,Genap,Sosiologi Hukum,3,4,Pilihan
UNAIR,S1 Sosiologi,Genap,Sosiologi Agama,3,4,Pilihan
UNAIR,S1 Sosiologi,Genap,Sosiologi Budaya,3,4,Pilihan
UNAIR,S1 Sosiologi,Genap,Sosiologi Kependudukan,3,4,Pilihan
UNAIR,S1 Sosiologi,Ganjil,Kesejahteraan Sosial,3,5,Wajib
UNAIR,S1 Sosiologi,Ganjil,Teori Sosial  Klasik,4,5,Wajib
UNAIR,S1 Sosiologi,Ganjil,Sosiologi Konflik dan Transformasi,3,5,Wajib
UNAIR,S1 Sosiologi,Ganjil,Rekayasa dan Perencana Sosial,3,5,Wajib
UNAIR,S1 Sosiologi,Ganjil,Pengembangan Masyarakat,3,5,Wajib
UNAIR,S1 Sosiologi,Ganjil,Perilaku Menyimpang,3,5,Pilihan
UNAIR,S1 Sosiologi,Ganjil,Masalah Sosial Anak,3,5,Pilihan
UNAIR,S1 Sosiologi,Ganjil,Sosiologi Korupsi,3,5,Pilihan
UNAIR,S1 Sosiologi,Ganjil,Masalah Kemiskinan dan Kesenjangan,3,5,Pilihan
UNAIR,S1 Sosiologi,Ganjil,Masalah Transportasi Kota,3,5,Pilihan
UNAIR,S1 Sosiologi,Genap,Proposal Skripsi,3,6,Wajib
UNAIR,S1 Sosiologi,Genap,Teori Sosial Modern,4,6,Wajib
UNAIR,S1 Sosiologi,Genap,Perubahan Sosial,3,6,Wajib
UNAIR,S1 Sosiologi,Genap,Analisis Jaringan  Sosial,3,6,Wajib
