universitas,jurusan,semester_type,nama_mk,sks,semester,kategori
"Universitas Airlangga","S1 Statistika","Ganjil","Agama Hindu I",2,1,"Wajib"
"Universitas Airlangga","S1 Statistika","Ganjil","Agama Islam I",2,1,"Wajib"
"Universitas Airlangga","S1 Statistika","Ganjil","Agama Katolik I",2,1,"Wajib"
"Universitas Airlangga","S1 Statistika","Ganjil","Agama Kong Hu Chu I",2,1,"Wajib"
"Universitas Airlangga","S1 Statistika","Ganjil","Agama Kristen Protestan I",2,1,"Wajib"
"Universitas Airlangga","S1 Statistika","Ganjil","Bahasa Indonesia",2,1,"Wajib"
"Universitas Airlangga","S1 Statistika","Ganjil","Biologi Dasar",2,1,"Wajib"
"Universitas Airlangga","S1 Statistika","Ganjil","Budha I",2,1,"Wajib"
"Universitas Airlangga","S1 Statistika","Ganjil","Data dan Pustaka",2,1,"Wajib"
"Universitas Airlangga","S1 Statistika","Ganjil","Kalkulus",3,1,"Wajib"
"Universitas Airlangga","S1 Statistika","Ganjil","Kewarganegaraan",2,1,"Wajib"
"Universitas Airlangga","S1 Statistika","Ganjil","Kimia Dasar",2,1,"Wajib"
"Universitas Airlangga","S1 Statistika","Ganjil","Pancasila",2,1,"Wajib"
"Universitas Airlangga","S1 Statistika","Ganjil","Statistika I",2,1,"Wajib"
"Universitas Airlangga","S1 Statistika","Genap","Algoritma Dan Pemrograman",2,2,"Wajib"
"Universitas Airlangga","S1 Statistika","Genap","Algoritma Dan Pemrograman (Praktikum)",1,2,"Wajib"
"Universitas Airlangga","S1 Statistika","Genap","Aljabar Statistika",3,2,"Wajib"
"Universitas Airlangga","S1 Statistika","Genap","Kalkulus Statistik",3,2,"Wajib"
"Universitas Airlangga","S1 Statistika","Genap","Komunikasi dan Pengembangan Diri",2,2,"Wajib"
"Universitas Airlangga","S1 Statistika","Genap","Logika dan Pemikiran Kritis",2,2,"Wajib"
"Universitas Airlangga","S1 Statistika","Genap","Pengantar Kolaborasi Keilmuan",2,2,"Wajib"
"Universitas Airlangga","S1 Statistika","Genap","Pengantar Logika dan Teori Himpunan",2,2,"Wajib"
"Universitas Airlangga","S1 Statistika","Genap","Statistika (Praktikum)",1,2,"Wajib"
"Universitas Airlangga","S1 Statistika","Genap","Statistika II",2,2,"Wajib"
"Universitas Airlangga","S1 Statistika","Ganjil","Analisis Data Kategorik",2,3,"Wajib"
"Universitas Airlangga","S1 Statistika","Ganjil","Eksplorasi dan Visualisasi Data",3,3,"Wajib"
"Universitas Airlangga","S1 Statistika","Ganjil","Pengantar Basis Data",3,3,"Wajib"
"Universitas Airlangga","S1 Statistika","Ganjil","Pengantar Model Linier",3,3,"Wajib"
"Universitas Airlangga","S1 Statistika","Ganjil","Probabilitas",4,3,"Wajib"
"Universitas Airlangga","S1 Statistika","Ganjil","Rancangan Percobaan",3,3,"Wajib"
"Universitas Airlangga","S1 Statistika","Ganjil","Statistika Komputasi",2,3,"Wajib"
"Universitas Airlangga","S1 Statistika","Ganjil","Statistika Komputasi (Praktikum)",1,3,"Wajib"
"Universitas Airlangga","S1 Statistika","Genap","Analisis Data Uji Hidup",2,4,"Wajib"
"Universitas Airlangga","S1 Statistika","Genap","Analisis Runtun Waktu",3,4,"Wajib"
"Universitas Airlangga","S1 Statistika","Genap","Bahasa Inggris",2,4,"Wajib"
"Universitas Airlangga","S1 Statistika","Genap","Fisika Dasar",2,4,"Wajib"
"Universitas Airlangga","S1 Statistika","Genap","Metode Multivariat",3,4,"Wajib"
"Universitas Airlangga","S1 Statistika","Genap","Metodologi Penelitian",2,4,"Wajib"
"Universitas Airlangga","S1 Statistika","Genap","Perancangan Survey",2,4,"Wajib"
"Universitas Airlangga","S1 Statistika","Genap","Regresi Nonparametrik",3,4,"Wajib"
"Universitas Airlangga","S1 Statistika","Genap","Regresi Terapan",2,4,"Wajib"
"Universitas Airlangga","S1 Statistika","Genap","Statistika Bayesian",2,4,"Wajib"
"Universitas Airlangga","S1 Statistika","Genap","Statistika Inferensi 1",4,4,"Wajib"
"Universitas Airlangga","S1 Statistika","Genap","Statistika Kependudukan",2,4,"Wajib"
"Universitas Airlangga","S1 Statistika","Ganjil","Analisis Reliabilitas",2,5,"Wajib"
"Universitas Airlangga","S1 Statistika","Ganjil","Analisis Runtun Waktu Multivariat",2,5,"Wajib"
"Universitas Airlangga","S1 Statistika","Ganjil","Kewirausahaan",2,5,"Wajib"
"Universitas Airlangga","S1 Statistika","Ganjil","Konsultasi Statistika",2,5,"Wajib"
"Universitas Airlangga","S1 Statistika","Ganjil","Machine Learning",3,5,"Wajib"
"Universitas Airlangga","S1 Statistika","Ganjil","Metode Non Parametrik",2,5,"Wajib"
"Universitas Airlangga","S1 Statistika","Ganjil","Metode Riset Sosial",2,5,"Wajib"
"Universitas Airlangga","S1 Statistika","Ganjil","Pemodelan Statistika",3,5,"Wajib"
"Universitas Airlangga","S1 Statistika","Ganjil","Statistika Inferensi 2",4,5,"Wajib"
"Universitas Airlangga","S1 Statistika","Ganjil","Statistika Medis",2,5,"Wajib"
"Universitas Airlangga","S1 Statistika","Ganjil","Statistika Pengendalian Kualitas",2,5,"Wajib"
"Universitas Airlangga","S1 Statistika","Genap","Agama Budha II",2,6,"Wajib"
"Universitas Airlangga","S1 Statistika","Genap","Agama Hindu II",2,6,"Wajib"
"Universitas Airlangga","S1 Statistika","Genap","Agama Islam II",2,6,"Wajib"
"Universitas Airlangga","S1 Statistika","Genap","Agama Katolik II",2,6,"Wajib"
"Universitas Airlangga","S1 Statistika","Genap","Agama Kong Hu Chu II",2,6,"Wajib"
"Universitas Airlangga","S1 Statistika","Genap","Agama Kristen Protestan II",2,6,"Wajib"
"Universitas Airlangga","S1 Statistika","Genap","Aktuaria I",2,6,"Wajib"
"Universitas Airlangga","S1 Statistika","Genap","Analisis Data Epidemik",2,6,"Wajib"
"Universitas Airlangga","S1 Statistika","Genap","Analisis Data Longitudinal",2,6,"Wajib"
"Universitas Airlangga","S1 Statistika","Genap","Analisis Data Spasial",2,6,"Wajib"
"Universitas Airlangga","S1 Statistika","Genap","Asistensi Mengajar A",6,6,"Wajib"
"Universitas Airlangga","S1 Statistika","Genap","Asistensi Mengajar B",6,6,"Wajib"
"Universitas Airlangga","S1 Statistika","Genap","Ekonometrika",2,6,"Wajib"
"Universitas Airlangga","S1 Statistika","Genap","Jaringan Syaraf Tiruan",2,6,"Wajib"
"Universitas Airlangga","S1 Statistika","Genap","Kapita Selekta Statistika",2,6,"Wajib"
"Universitas Airlangga","S1 Statistika","Genap","Kuliah Kerja Nyata (KKN-BBM)",3,6,"Wajib"
"Universitas Airlangga","S1 Statistika","Genap","Magang Riset A",6,6,"Wajib"
"Universitas Airlangga","S1 Statistika","Genap","Magang Riset B",6,6,"Wajib"
"Universitas Airlangga","S1 Statistika","Genap","Magang Riset D",6,6,"Wajib"
"Universitas Airlangga","S1 Statistika","Genap","Magang Riset E",6,6,"Wajib"
"Universitas Airlangga","S1 Statistika","Genap","Matematika Keuangan",2,6,"Wajib"
"Universitas Airlangga","S1 Statistika","Genap","Pemodelan Persamaan Struktural",2,6,"Wajib"
"Universitas Airlangga","S1 Statistika","Genap","Praktek Kerja Lapangan",2,6,"Wajib"
"Universitas Airlangga","S1 Statistika","Genap","Rancangan Percobaan Lanjutan",2,6,"Wajib"
"Universitas Airlangga","S1 Statistika","Genap","Riset Pemasaran",2,6,"Wajib"
"Universitas Airlangga","S1 Statistika","Genap","Simulasi",2,6,"Wajib"
"Universitas Airlangga","S1 Statistika","Genap","Statistika Pemerintahan",2,6,"Wajib"
"Universitas Airlangga","S1 Statistika","Ganjil","Aktuaria II",2,7,"Wajib"
"Universitas Airlangga","S1 Statistika","Ganjil","Teori Keputusan",2,7,"Wajib"
"Universitas Airlangga","S1 Statistika","Ganjil","Teori Resiko",2,7,"Wajib"
"Universitas Airlangga","S1 Statistika","Genap","Skripsi",6,8,"Wajib"
