universitas,jurusan,semester_type,nama_mk,sks,semester,kategori
"Universitas Airlangga","S1 Teknik Biomedis","Ganjil","Kimia Dasar (Praktikum)",1,1,"Wajib"
"Universitas Airlangga","S1 Teknik Biomedis","Genap","Biologi Teknik Biomedis",2,2,"Wajib"
"Universitas Airlangga","S1 Teknik Biomedis","Genap","Kalkulus Lanjut",3,2,"Wajib"
"Universitas Airlangga","S1 Teknik Biomedis","Genap","Pengantar Teknobiomedik",2,2,"Wajib"
"Universitas Airlangga","S1 Teknik Biomedis","Genap","Sel & Jaringan Manusia",2,2,"Wajib"
"Universitas Airlangga","S1 Teknik Biomedis","Ganjil","Anatomi Manusia untuk Teknik",2,3,"Wajib"
"Universitas Airlangga","S1 Teknik Biomedis","Ganjil","Anatomi Manusia untuk Teknik (Praktikum)",1,3,"Wajib"
"Universitas Airlangga","S1 Teknik Biomedis","Ganjil","Elektronika Analog",3,3,"Wajib"
"Universitas Airlangga","S1 Teknik Biomedis","Ganjil","Elektronika Analog (Praktikum)",1,3,"Wajib"
"Universitas Airlangga","S1 Teknik Biomedis","Ganjil","Fisika Medis",3,3,"Wajib"
"Universitas Airlangga","S1 Teknik Biomedis","Ganjil","Ilmu Bahan",3,3,"Wajib"
"Universitas Airlangga","S1 Teknik Biomedis","Ganjil","Matematika Teknik I",3,3,"Wajib"
"Universitas Airlangga","S1 Teknik Biomedis","Ganjil","Rangkaian Listrik",2,3,"Wajib"
"Universitas Airlangga","S1 Teknik Biomedis","Genap","Elektronika Digital",2,4,"Wajib"
"Universitas Airlangga","S1 Teknik Biomedis","Genap","Elektronika Digital (Praktikum)",1,4,"Wajib"
"Universitas Airlangga","S1 Teknik Biomedis","Genap","Fisiologi Manusia untuk Teknik",2,4,"Wajib"
"Universitas Airlangga","S1 Teknik Biomedis","Genap","Fisiologi Manusia untuk Teknik (Praktikum)",1,4,"Wajib"
"Universitas Airlangga","S1 Teknik Biomedis","Genap","Kimia Fisik",2,4,"Wajib"
"Universitas Airlangga","S1 Teknik Biomedis","Genap","Matematika Teknik II",3,4,"Wajib"
"Universitas Airlangga","S1 Teknik Biomedis","Genap","Medan Elektromagnetik",3,4,"Wajib"
"Universitas Airlangga","S1 Teknik Biomedis","Genap","Menggambar Teknik",2,4,"Wajib"
"Universitas Airlangga","S1 Teknik Biomedis","Genap","Pemrograman Komputer",3,4,"Wajib"
"Universitas Airlangga","S1 Teknik Biomedis","Genap","Pemrograman Komputer (Praktikum)",1,4,"Wajib"
"Universitas Airlangga","S1 Teknik Biomedis","Genap","Sistem Pengukuran",2,4,"Wajib"
"Universitas Airlangga","S1 Teknik Biomedis","Ganjil","Biomaterial",3,5,"Wajib"
"Universitas Airlangga","S1 Teknik Biomedis","Ganjil","Biomekanika",3,5,"Wajib"
"Universitas Airlangga","S1 Teknik Biomedis","Ganjil","Eksperimen Teknik Biomedik I",1,5,"Wajib"
