universitas,jurusan,semester_type,nama_mk,sks,semester,kategori
"Universitas Airlangga","S1 Teknik Elektro","Ganjil","Agama Budha I",2,1,"Wajib"
"Universitas Airlangga","S1 Teknik Elektro","Ganjil","Agama Hindu I",2,1,"Wajib"
"Universitas Airlangga","S1 Teknik Elektro","Ganjil","Agama Islam I",2,1,"Wajib"
"Universitas Airlangga","S1 Teknik Elektro","Ganjil","Agama Katolik I",2,1,"Wajib"
"Universitas Airlangga","S1 Teknik Elektro","Ganjil","Agama Kong Hu Chu I",2,1,"Wajib"
"Universitas Airlangga","S1 Teknik Elektro","Ganjil","Agama Kristen Protestan I",2,1,"Wajib"
"Universitas Airlangga","S1 Teknik Elektro","Ganjil","Bahasa Indonesia",2,1,"Wajib"
"Universitas Airlangga","S1 Teknik Elektro","Ganjil","Biologi Dasar",2,1,"Wajib"
"Universitas Airlangga","S1 Teknik Elektro","Ganjil","Dasar Pemrograman (Praktikum)",1,1,"Wajib"
"Universitas Airlangga","S1 Teknik Elektro","Ganjil","Fisika Dasar I",2,1,"Wajib"
"Universitas Airlangga","S1 Teknik Elektro","Ganjil","Fisika Dasar I (Praktikum)",1,1,"Wajib"
"Universitas Airlangga","S1 Teknik Elektro","Ganjil","Kewarganegaraan",2,1,"Wajib"
"Universitas Airlangga","S1 Teknik Elektro","Ganjil","Kimia Dasar",2,1,"Wajib"
"Universitas Airlangga","S1 Teknik Elektro","Ganjil","Matematika",3,1,"Wajib"
"Universitas Airlangga","S1 Teknik Elektro","Genap","Aljabar Linier dan Sistem Diskrit",3,2,"Wajib"
"Universitas Airlangga","S1 Teknik Elektro","Genap","Bahasa Inggris",2,2,"Wajib"
"Universitas Airlangga","S1 Teknik Elektro","Genap","Dasar Jaringan Telekomunikasi",3,2,"Wajib"
"Universitas Airlangga","S1 Teknik Elektro","Genap","Fisika Dasar II",2,2,"Wajib"
"Universitas Airlangga","S1 Teknik Elektro","Genap","Fisika Dasar II (Praktikum)",1,2,"Wajib"
"Universitas Airlangga","S1 Teknik Elektro","Genap","Instrumentasi Besaran Listrik",2,2,"Wajib"
