universitas,jurusan,semester_type,nama_mk,sks,semester,kategori
"Universitas Airlangga","S1 Teknik Industri","Ganjil","Agama Budha I",2,1,"Wajib"
"Universitas Airlangga","S1 Teknik Industri","Ganjil","Agama Hindu I",2,1,"Wajib"
"Universitas Airlangga","S1 Teknik Industri","Ganjil","Agama Islam I",2,1,"Wajib"
"Universitas Airlangga","S1 Teknik Industri","Ganjil","Agama Katolik I",2,1,"Wajib"
"Universitas Airlangga","S1 Teknik Industri","Ganjil","Agama Kong Hu Chu I",2,1,"Wajib"
"Universitas Airlangga","S1 Teknik Industri","Ganjil","Fisika Dasar I",2,1,"Wajib"
"Universitas Airlangga","S1 Teknik Industri","Ganjil","Matematika",3,1,"Wajib"
"Universitas Airlangga","S1 Teknik Industri","Genap","Fisika Dasar I (Praktikum)",1,2,"Wajib"
"Universitas Airlangga","S1 Teknik Industri","Genap","Fisika Dasar II",2,2,"Wajib"
"Universitas Airlangga","S1 Teknik Industri","Genap","Fisika Dasar II (Praktikum)",1,2,"Wajib"
"Universitas Airlangga","S1 Teknik Industri","Genap","Gambar Teknik",3,2,"Wajib"
"Universitas Airlangga","S1 Teknik Industri","Genap","Ilmu Bahan dan Material Teknik",2,2,"Wajib"
"Universitas Airlangga","S1 Teknik Industri","Genap","Komunikasi dan Pengembangan Diri",2,2,"Wajib"
"Universitas Airlangga","S1 Teknik Industri","Genap","Logika dan Pemikiran Kritis",2,2,"Wajib"
"Universitas Airlangga","S1 Teknik Industri","Genap","Matematika Lanjut",3,2,"Wajib"
"Universitas Airlangga","S1 Teknik Industri","Genap","Matriks dan Ruang Vektor",2,2,"Wajib"
"Universitas Airlangga","S1 Teknik Industri","Genap","Mekanika Teknik",2,2,"Wajib"
"Universitas Airlangga","S1 Teknik Industri","Genap","Pengantar Kolaborasi Keilmuan",2,2,"Wajib"
"Universitas Airlangga","S1 Teknik Industri","Genap","Pengantar Teknologi Maju",2,2,"Wajib"
"Universitas Airlangga","S1 Teknik Industri","Genap","Teknologi Hijau",2,2,"Wajib"
"Universitas Airlangga","S1 Teknik Industri","Ganjil","Ergonomi",3,3,"Wajib"
"Universitas Airlangga","S1 Teknik Industri","Ganjil","Matematika Optimasi",2,3,"Wajib"
"Universitas Airlangga","S1 Teknik Industri","Ganjil","Pemrograman Komputer",3,3,"Wajib"
"Universitas Airlangga","S1 Teknik Industri","Ganjil","Pengantar Ekonomika",2,3,"Wajib"
"Universitas Airlangga","S1 Teknik Industri","Ganjil","Proses Manufaktur",3,3,"Wajib"
"Universitas Airlangga","S1 Teknik Industri","Ganjil","Statistika Dasar",2,3,"Wajib"
"Universitas Airlangga","S1 Teknik Industri","Genap","Analisis Biaya",2,4,"Wajib"
"Universitas Airlangga","S1 Teknik Industri","Genap","Bahasa Inggris",2,4,"Wajib"
"Universitas Airlangga","S1 Teknik Industri","Genap","Otomasi Industri",2,4,"Wajib"
