universitas,jurusan,semester_type,nama_mk,sks,semester,kategori
"Universitas Airlangga","S1 Teknik Robotika dan Kecerdasan Buatan","Ganjil","Agama Budha I",2,1,"Wajib"
"Universitas Airlangga","S1 Teknik Robotika dan Kecerdasan Buatan","Ganjil","Agama Hindu I",2,1,"Wajib"
"Universitas Airlangga","S1 Teknik Robotika dan Kecerdasan Buatan","Ganjil","Agama Islam I",2,1,"Wajib"
"Universitas Airlangga","S1 Teknik Robotika dan Kecerdasan Buatan","Ganjil","Agama Katolik I",2,1,"Wajib"
"Universitas Airlangga","S1 Teknik Robotika dan Kecerdasan Buatan","Ganjil","Agama Kong Hu Chu I",2,1,"Wajib"
"Universitas Airlangga","S1 Teknik Robotika dan Kecerdasan Buatan","Ganjil","Agama Kristen Protestan I",2,1,"Wajib"
"Universitas Airlangga","S1 Teknik Robotika dan Kecerdasan Buatan","Ganjil","Bahasa Indonesia",2,1,"Wajib"
"Universitas Airlangga","S1 Teknik Robotika dan Kecerdasan Buatan","Ganjil","Biologi Dasar",2,1,"Wajib"
"Universitas Airlangga","S1 Teknik Robotika dan Kecerdasan Buatan","Ganjil","Dasar Pemrograman (Praktikum)",1,1,"Wajib"
"Universitas Airlangga","S1 Teknik Robotika dan Kecerdasan Buatan","Ganjil","Data dan Pustaka",2,1,"Wajib"
"Universitas Airlangga","S1 Teknik Robotika dan Kecerdasan Buatan","Ganjil","Fisika Dasar I",2,1,"Wajib"
"Universitas Airlangga","S1 Teknik Robotika dan Kecerdasan Buatan","Ganjil","Fisika Dasar I (Praktikum)",1,1,"Wajib"
"Universitas Airlangga","S1 Teknik Robotika dan Kecerdasan Buatan","Ganjil","Kalkulus dan Aplikasinya",3,1,"Wajib"
"Universitas Airlangga","S1 Teknik Robotika dan Kecerdasan Buatan","Ganjil","Kimia Dasar",2,1,"Wajib"
"Universitas Airlangga","S1 Teknik Robotika dan Kecerdasan Buatan","Ganjil","Mekanika Teknik",2,1,"Wajib"
"Universitas Airlangga","S1 Teknik Robotika dan Kecerdasan Buatan","Genap","Aljabar Linier",3,2,"Wajib"
"Universitas Airlangga","S1 Teknik Robotika dan Kecerdasan Buatan","Genap","Aljabar Linier dan Sistem Diskrit",3,2,"Wajib"
"Universitas Airlangga","S1 Teknik Robotika dan Kecerdasan Buatan","Genap","Bahasa Inggris",2,2,"Wajib"
"Universitas Airlangga","S1 Teknik Robotika dan Kecerdasan Buatan","Genap","Dasar Pemrograman",3,2,"Wajib"
"Universitas Airlangga","S1 Teknik Robotika dan Kecerdasan Buatan","Genap","Fisika Dasar II",2,2,"Wajib"
