universitas,jurusan,semester_type,nama_mk,sks,semester,kategori
"Universitas Negeri Surabaya","Administrasi Negara","Ganjil","LITERASI DIGITAL",2,1,"Wajib"
"Universitas Negeri Surabaya","Administrasi Negara","Ganjil","SISTEM ADMINISTRASI NEGARA",3,1,"Wajib"
"Universitas Negeri Surabaya","Administrasi Negara","Ganjil","TEORI ADMINSTRASI DAN PELAYANAN PUBLIK",3,1,"Wajib"
"Universitas Negeri Surabaya","Administrasi Negara","Ganjil","Pendidikan Agama  (Wajib memilih salah satu)    -  Agama Budha    -  Agama Hindu    -  Agama Islam    -  Agama Katholik    -  Agama Khonghucu    -  Agama Protestan",2,1,"Wajib"
"Universitas Negeri Surabaya","Administrasi Negara","Ganjil","BAHASA INGGRIS",2,1,"Wajib"
"Universitas Negeri Surabaya","Administrasi Negara","Ganjil","MSDM SEKTOR PUBLIK",3,1,"Wajib"
"Universitas Negeri Surabaya","Administrasi Negara","Ganjil","PANCASILA",2,1,"Wajib"
"Universitas Negeri Surabaya","Administrasi Negara","Ganjil","PENGANTAR ILMU ADMINISTRASI NEGARA",3,1,"Wajib"
"Universitas Negeri Surabaya","Administrasi Negara","Genap","PERILAKU ORGANISASI DAN BUDAYA ORGANISASI",2,2,"Wajib"
"Universitas Negeri Surabaya","Administrasi Negara","Genap","PERSONALITY DEVELOPMENT",2,2,"Wajib"
"Universitas Negeri Surabaya","Administrasi Negara","Genap","ADMINISTRASI PEMERINTAHAN DAERAH",2,2,"Wajib"
"Universitas Negeri Surabaya","Administrasi Negara","Genap","ADMINISTRASI PERKANTORAN",2,2,"Wajib"
"Universitas Negeri Surabaya","Administrasi Negara","Genap","APLIKASI KOMPUTER DAN DATABASE",3,2,"Wajib"
"Universitas Negeri Surabaya","Administrasi Negara","Genap","BAHASA INDONESIA",2,2,"Wajib"
"Universitas Negeri Surabaya","Administrasi Negara","Genap","HUBUNGAN MASYARAKAT DAN PROTOKOLER",3,2,"Wajib"
"Universitas Negeri Surabaya","Administrasi Negara","Genap","PENDIDIKAN JASMANI DAN KEBUGARAN",2,2,"Wajib"
"Universitas Negeri Surabaya","Administrasi Negara","Genap","STATISTIK SOSIAL",2,2,"Wajib"
"Universitas Negeri Surabaya","Administrasi Negara","Ganjil","ADMINISTRASI KEUANGAN NEGARA",3,3,"Wajib"
"Universitas Negeri Surabaya","Administrasi Negara","Ganjil","ANALISA JABATAN",3,3,"Wajib"
"Universitas Negeri Surabaya","Administrasi Negara","Ganjil","ANALISIS BEBAN KERJA PEGAWAI",3,3,"Wajib"
"Universitas Negeri Surabaya","Administrasi Negara","Ganjil","DIGITAL SERVICE DAN SIMPEG",3,3,"Wajib"
"Universitas Negeri Surabaya","Administrasi Negara","Ganjil","KEBIJAKAN PEMBANGUNAN",3,3,"Wajib"
"Universitas Negeri Surabaya","Administrasi Negara","Ganjil","KEWARGANEGARAAN",2,3,"Wajib"
"Universitas Negeri Surabaya","Administrasi Negara","Ganjil","METODE PENELITIAN",3,3,"Wajib"
"Universitas Negeri Surabaya","Administrasi Negara","Ganjil","PENGEMBANGAN KOMPETENSI, TALENTA DAN KARIER",3,3,"Wajib"
"Universitas Negeri Surabaya","Administrasi Negara","Genap","KOMPENSASI PEGAWAI",3,4,"Wajib"
"Universitas Negeri Surabaya","Administrasi Negara","Genap","ETIKA ADMINISTRASI NEGARA",2,4,"Wajib"
"Universitas Negeri Surabaya","Administrasi Negara","Genap","EVALUASI DIKLAT",3,4,"Wajib"
"Universitas Negeri Surabaya","Administrasi Negara","Genap","EVALUASI KINERJA PEGAWAI",3,4,"Wajib"
"Universitas Negeri Surabaya","Administrasi Negara","Genap","KEARSIPAN",3,4,"Wajib"
"Universitas Negeri Surabaya","Administrasi Negara","Genap","KEPEMIMPINAN DAN PENGAMBILAN KEPUTUSAN",3,4,"Wajib"
"Universitas Negeri Surabaya","Administrasi Negara","Genap","MANAJEMEN ASET",2,4,"Wajib"
"Universitas Negeri Surabaya","Administrasi Negara","Genap","PRAKTIK-PRAKTIK PELAYANAN PUBLIK",2,4,"Wajib"
"Universitas Negeri Surabaya","Administrasi Negara","Genap","REKRUITMEN PEGAWAI",3,4,"Wajib"
"Universitas Negeri Surabaya","Administrasi Negara","Ganjil","KOMUNIKASI DAN KERJA TIM",2,5,"Pilihan"
"Universitas Negeri Surabaya","Administrasi Negara","Genap","RISET PERENCANAAN PROGRAM",2,6,"Pilihan"
"Universitas Negeri Surabaya","Administrasi Negara","Genap","BERPIKIR KRITIS DAN KREATIF",2,6,"Pilihan"
"Universitas Negeri Surabaya","Administrasi Negara","Genap","KKN PROYEK INDPENDEN EVALUASI PROGRAM",3,6,"Pilihan"
"Universitas Negeri Surabaya","Administrasi Negara","Genap","KKN PROYEK INDPENDEN PERANCANGAN PROGRAM",3,6,"Pilihan"
