universitas,jurusan,semester_type,nama_mk,sks,semester,kategori
"Universitas Negeri Surabaya","Analisis Performa Olahraga","Ganjil","ANATOMI DAN FISIOLOGI OLAHRAGA",3,1,"Wajib"
"Universitas Negeri Surabaya","Analisis Performa Olahraga","Ganjil","DASAR ANALISA PERFORMA OLAHRAGA",3,1,"Wajib"
"Universitas Negeri Surabaya","Analisis Performa Olahraga","Ganjil","KINESIOLOGI OLAHRAGA",2,1,"Wajib"
"Universitas Negeri Surabaya","Analisis Performa Olahraga","Ganjil","KONDISI FISIK",3,1,"Wajib"
"Universitas Negeri Surabaya","Analisis Performa Olahraga","Ganjil","Pendidikan Agama  (Wajib memilih salah satu)    -  Agama Budha    -  Agama Hindu    -  Agama Islam    -  Agama Katholik    -  Agama Khonghucu    -  Agama Protestan",2,1,"Wajib"
"Universitas Negeri Surabaya","Analisis Performa Olahraga","Ganjil","BAHASA INGGRIS",2,1,"Wajib"
"Universitas Negeri Surabaya","Analisis Performa Olahraga","Ganjil","BIOMEKANIKA OLAHRAGA",3,1,"Wajib"
"Universitas Negeri Surabaya","Analisis Performa Olahraga","Ganjil","SAINS DALAM OLAHRAGA",2,1,"Wajib"
"Universitas Negeri Surabaya","Analisis Performa Olahraga","Genap","PSIKOLOGI PERFORMA OLAHRAGA",3,2,"Wajib"
"Universitas Negeri Surabaya","Analisis Performa Olahraga","Genap","TEKNOLOGI PERFORMA ANALISIS OLAHRAGA",4,2,"Wajib"
"Universitas Negeri Surabaya","Analisis Performa Olahraga","Genap","TES DAN PENGUKURAN OLAHRAGA",4,2,"Wajib"
"Universitas Negeri Surabaya","Analisis Performa Olahraga","Genap","ILMU KESEHATAN OLAHRAGA",2,2,"Wajib"
"Universitas Negeri Surabaya","Analisis Performa Olahraga","Genap","BAHASA INDONESIA",2,2,"Wajib"
"Universitas Negeri Surabaya","Analisis Performa Olahraga","Genap","PERKEMBANGAN DAN BELAJAR MOTORIK",3,2,"Wajib"
