universitas,jurusan,semester_type,nama_mk,sks,semester,kategori
"Universitas Negeri Surabaya","Arsitektur Bangunan Gedung","Ganjil","Pendidikan Agama  (Wajib memilih salah satu)    -  Agama Budha    -  Agama Hindu    -  Agama Islam    -  Agama Katholik    -  Agama Khonghucu    -  Agama Protestan",2,1,"Wajib"
"Universitas Negeri Surabaya","Arsitektur Bangunan Gedung","Ganjil","ANALISIS AKTIVITAS DAN PREFERENSI PENGGUNA RUANG",3,1,"Wajib"
"Universitas Negeri Surabaya","Arsitektur Bangunan Gedung","Ganjil","ANALISIS KONTEKS TAPAK BERKELANJUTAN",2,1,"Wajib"
"Universitas Negeri Surabaya","Arsitektur Bangunan Gedung","Ganjil","ESTETIKA DAN DESAIN NIRMANA",3,1,"Wajib"
"Universitas Negeri Surabaya","Arsitektur Bangunan Gedung","Ganjil","GRAFIK ANALOG ARSITEKTURAL",2,1,"Wajib"
"Universitas Negeri Surabaya","Arsitektur Bangunan Gedung","Ganjil","LITERASI DIGITAL",2,1,"Wajib"
"Universitas Negeri Surabaya","Arsitektur Bangunan Gedung","Ganjil","PENDEKATAN DESAIN ARSITEKTURAL",2,1,"Wajib"
"Universitas Negeri Surabaya","Arsitektur Bangunan Gedung","Ganjil","PENGANTAR ARSITEKTUR",2,1,"Wajib"
"Universitas Negeri Surabaya","Arsitektur Bangunan Gedung","Ganjil","TEKNIK DAN TATA PENULISAN LAPORAN",2,1,"Wajib"
"Universitas Negeri Surabaya","Arsitektur Bangunan Gedung","Genap","ANALISIS KEBUTUHAN DAN HUBUNGAN RUANG",3,2,"Wajib"
"Universitas Negeri Surabaya","Arsitektur Bangunan Gedung","Genap","ARSITEKTUR BANGUNAN BERKELANJUTAN",2,2,"Wajib"
"Universitas Negeri Surabaya","Arsitektur Bangunan Gedung","Genap","BAHASA INDONESIA",2,2,"Wajib"
"Universitas Negeri Surabaya","Arsitektur Bangunan Gedung","Genap","BAHASA INGGRIS",2,2,"Wajib"
"Universitas Negeri Surabaya","Arsitektur Bangunan Gedung","Genap","MATEMATIKA GEOMETRI",2,2,"Wajib"
"Universitas Negeri Surabaya","Arsitektur Bangunan Gedung","Genap","PANCASILA",2,2,"Wajib"
"Universitas Negeri Surabaya","Arsitektur Bangunan Gedung","Genap","PENDIDIKAN JASMANI DAN KEBUGARAN",2,2,"Wajib"
"Universitas Negeri Surabaya","Arsitektur Bangunan Gedung","Genap","RUANG DALAM DAN RUANG LUAR",3,2,"Wajib"
"Universitas Negeri Surabaya","Arsitektur Bangunan Gedung","Genap","GRAFIK DIGITAL",2,2,"Wajib"
"Universitas Negeri Surabaya","Arsitektur Bangunan Gedung","Ganjil","STUDIO 1 : ARSITEKTUR BANGUNAN BERKELANJUTAN",8,3,"Wajib"
