universitas,jurusan,semester_type,nama_mk,sks,semester,kategori
"Universitas Negeri Surabaya","Desain Grafis","Ganjil","Pendidikan Agama  (Wajib memilih salah satu)    -  Agama Budha    -  Agama Hindu    -  Agama Islam    -  Agama Katholik    -  Agama Khonghucu    -  Agama Protestan",2,1,"Wajib"
"Universitas Negeri Surabaya","Desain Grafis","Ganjil","FOTOGRAFI DIGITAL",3,1,"Wajib"
"Universitas Negeri Surabaya","Desain Grafis","Ganjil","LITERASI DIGITAL",2,1,"Wajib"
"Universitas Negeri Surabaya","Desain Grafis","Ganjil","NIRMANA",4,1,"Wajib"
"Universitas Negeri Surabaya","Desain Grafis","Ganjil","PENGANTAR STUDI DESAIN",2,1,"Wajib"
"Universitas Negeri Surabaya","Desain Grafis","Ganjil","SKETSA DESAIN",3,1,"Wajib"
"Universitas Negeri Surabaya","Desain Grafis","Ganjil","TIPOGRAFI",4,1,"Wajib"
"Universitas Negeri Surabaya","Desain Grafis","Genap","BAHASA INDONESIA",2,2,"Wajib"
"Universitas Negeri Surabaya","Desain Grafis","Genap","GRAPHIC DESIGN STYLE",3,2,"Wajib"
"Universitas Negeri Surabaya","Desain Grafis","Genap","ILUSTRASI DIGITAL",4,2,"Wajib"
"Universitas Negeri Surabaya","Desain Grafis","Genap","KOMPUTER GRAFIS",4,2,"Wajib"
"Universitas Negeri Surabaya","Desain Grafis","Genap","PANCASILA",2,2,"Wajib"
"Universitas Negeri Surabaya","Desain Grafis","Genap","PENDIDIKAN JASMANI DAN KEBUGARAN",2,2,"Wajib"
"Universitas Negeri Surabaya","Desain Grafis","Genap","VIDEOGRAFI",3,2,"Wajib"
"Universitas Negeri Surabaya","Desain Grafis","Ganjil","COPY WRITING",3,3,"Wajib"
"Universitas Negeri Surabaya","Desain Grafis","Ganjil","DESAIN GRAFIS DASAR",5,3,"Wajib"
"Universitas Negeri Surabaya","Desain Grafis","Ganjil","DIGITAL MEDIA",3,3,"Wajib"
"Universitas Negeri Surabaya","Desain Grafis","Ganjil","DIGITAL PRINTING",3,3,"Wajib"
"Universitas Negeri Surabaya","Desain Grafis","Ganjil","KEWIRAUSAHAAN",2,3,"Wajib"
"Universitas Negeri Surabaya","Desain Grafis","Ganjil","VISUAL BRAND",3,3,"Wajib"
"Universitas Negeri Surabaya","Desain Grafis","Genap","PORTOFOLIO",3,4,"Wajib"
"Universitas Negeri Surabaya","Desain Grafis","Genap","BAHASA INGGRIS",2,4,"Wajib"
"Universitas Negeri Surabaya","Desain Grafis","Genap","BAHASA JERMAN 1",2,4,"Wajib"
"Universitas Negeri Surabaya","Desain Grafis","Genap","DESAIN GRAFIS APLIKATIF",5,4,"Wajib"
"Universitas Negeri Surabaya","Desain Grafis","Genap","ETIKA PROFESI",2,4,"Wajib"
"Universitas Negeri Surabaya","Desain Grafis","Genap","KEWARGANEGARAAN",2,4,"Wajib"
"Universitas Negeri Surabaya","Desain Grafis","Genap","MANAJEMEN BISNIS INDUSTRI KREATIF",2,4,"Wajib"
"Universitas Negeri Surabaya","Desain Grafis","Genap","PRESENTASI DAN NEGOSIASI DESAIN",2,4,"Wajib"
"Universitas Negeri Surabaya","Desain Grafis","Genap","STATISTIK",3,4,"Wajib"
"Universitas Negeri Surabaya","Desain Grafis","Genap","PENGEMBANGAN KARIER",2,4,"Wajib"
"Universitas Negeri Surabaya","Desain Grafis","Ganjil","COMMUNICATION SKILLS",2,5,"Pilihan"
"Universitas Negeri Surabaya","Desain Grafis","Genap","BERPIKIR KRITIS DAN KREATIF",2,6,"Pilihan"
"Universitas Negeri Surabaya","Desain Grafis","Genap","NATIONAL CONFERENCE",2,6,"Pilihan"
"Universitas Negeri Surabaya","Desain Grafis","Genap","SOFTSKILLS",2,6,"Pilihan"
"Universitas Negeri Surabaya","Desain Grafis","Ganjil","MANAJEMEN EVENT INTERNATIONAL",4,7,"Wajib"
"Universitas Negeri Surabaya","Desain Grafis","Ganjil","MANAJEMEN EVENT REGIONAL",2,7,"Wajib"
"Universitas Negeri Surabaya","Desain Grafis","Ganjil","ART AND CRAFT",4,7,"Wajib"
"Universitas Negeri Surabaya","Desain Grafis","Ganjil","DESAIN KEMASAN",4,7,"Wajib"
"Universitas Negeri Surabaya","Desain Grafis","Ganjil","INFOGRAFIS",4,7,"Wajib"
"Universitas Negeri Surabaya","Desain Grafis","Ganjil","INTERNASIONAL CONFERENCE",3,7,"Wajib"
"Universitas Negeri Surabaya","Desain Grafis","Ganjil","KEPEMIMPINAN INKLUSI",2,7,"Wajib"
"Universitas Negeri Surabaya","Desain Grafis","Ganjil","KOMUNIKASI DAN KERJA TIM",2,7,"Wajib"
"Universitas Negeri Surabaya","Desain Grafis","Ganjil","PROMOSI DIGITAL",4,7,"Wajib"
"Universitas Negeri Surabaya","Desain Grafis","Ganjil","SEMINAR PROPOSAL TUGAS AKHIR",2,7,"Wajib"
"Universitas Negeri Surabaya","Desain Grafis","Ganjil","VIDEO PRODUCTION",4,7,"Wajib"
"Universitas Negeri Surabaya","Desain Grafis","Ganjil","METODOLOGI PENELITIAN",3,7,"Wajib"
"Universitas Negeri Surabaya","Desain Grafis","Genap","TUGAS AKHIR",4,8,"Wajib"
