universitas,jurusan,semester_type,nama_mk,sks,semester,kategori
"Universitas Negeri Surabaya","Kepelatihan Olahraga","Ganjil","Pendidikan Agama  (Wajib memilih salah satu)    -  Agama Budha    -  Agama Hindu    -  Agama Islam    -  Agama Katholik    -  Agama Khonghucu    -  Agama Protestan",2,1,"Wajib"
"Universitas Negeri Surabaya","Kepelatihan Olahraga","Ganjil","BAHASA INGGRIS",2,1,"Wajib"
"Universitas Negeri Surabaya","Kepelatihan Olahraga","Ganjil","KESEHATAN, GAYA HIDUP DAN POLA LATIHAN",2,1,"Wajib"
"Universitas Negeri Surabaya","Kepelatihan Olahraga","Ganjil","LITERASI DIGITAL",2,1,"Wajib"
"Universitas Negeri Surabaya","Kepelatihan Olahraga","Ganjil","PENGEMBANGAN KEPRIBADIAN",2,1,"Wajib"
"Universitas Negeri Surabaya","Kepelatihan Olahraga","Ganjil","PERKEMBANGAN DAN BELAJAR MOTORIK",2,1,"Wajib"
"Universitas Negeri Surabaya","Kepelatihan Olahraga","Ganjil","FILSAFAT KEPELATIHAN OLAHRAGA",2,1,"Wajib"
"Universitas Negeri Surabaya","Kepelatihan Olahraga","Ganjil","ILMU GIZI",2,1,"Wajib"
"Universitas Negeri Surabaya","Kepelatihan Olahraga","Genap","ANATOMI MANUSIA",3,2,"Wajib"
"Universitas Negeri Surabaya","Kepelatihan Olahraga","Genap","BAHASA INDONESIA",2,2,"Wajib"
"Universitas Negeri Surabaya","Kepelatihan Olahraga","Genap","METODOLOGI KEPELATIHAN",3,2,"Wajib"
"Universitas Negeri Surabaya","Kepelatihan Olahraga","Genap","PANCASILA",2,2,"Wajib"
"Universitas Negeri Surabaya","Kepelatihan Olahraga","Genap","GIZI OLAHRAGA",2,2,"Wajib"
"Universitas Negeri Surabaya","Kepelatihan Olahraga","Genap","LATIHAN DAYA TAHAN",3,2,"Wajib"
"Universitas Negeri Surabaya","Kepelatihan Olahraga","Genap","LATIHAN KECEPATAN",3,2,"Wajib"
"Universitas Negeri Surabaya","Kepelatihan Olahraga","Ganjil","KEWARGANEGARAAN",2,3,"Pilihan"
"Universitas Negeri Surabaya","Kepelatihan Olahraga","Ganjil","PENANGANAN CEDERA OLAHRAGA",2,3,"Pilihan"
"Universitas Negeri Surabaya","Kepelatihan Olahraga","Ganjil","PERENCANAAN PROGRAM LATIHAN DASAR",3,3,"Pilihan"
"Universitas Negeri Surabaya","Kepelatihan Olahraga","Ganjil","LATIHAN KEKUATAN",3,3,"Pilihan"
"Universitas Negeri Surabaya","Kepelatihan Olahraga","Ganjil","LATIHAN KESEIMBANGAN",3,3,"Pilihan"
"Universitas Negeri Surabaya","Kepelatihan Olahraga","Ganjil","TEKNOLOGI OLAHRAGA",2,3,"Pilihan"
"Universitas Negeri Surabaya","Kepelatihan Olahraga","Genap","FISIOLOGI LATIHAN",3,4,"Wajib"
"Universitas Negeri Surabaya","Kepelatihan Olahraga","Genap","PEMBEBANAN LATIHAN FISIK",4,4,"Wajib"
"Universitas Negeri Surabaya","Kepelatihan Olahraga","Genap","PENGEMBANGAN MODEL LATIHAN FISIK",4,4,"Wajib"
"Universitas Negeri Surabaya","Kepelatihan Olahraga","Genap","EVALUASI FISIK CABANG OLAHRAGA",3,4,"Wajib"
"Universitas Negeri Surabaya","Kepelatihan Olahraga","Genap","LATIHAN KEBUTUHAN DISABILITAS",3,4,"Wajib"
"Universitas Negeri Surabaya","Kepelatihan Olahraga","Genap","STATISTIKA TERAPAN",2,4,"Wajib"
"Universitas Negeri Surabaya","Kepelatihan Olahraga","Ganjil","MAGANG",20,5,"Pilihan"
"Universitas Negeri Surabaya","Kepelatihan Olahraga","Genap","SEMINAR PROPOSAL TUGAS AKHIR",2,6,"Pilihan"
"Universitas Negeri Surabaya","Kepelatihan Olahraga","Genap","STUDI INDEPENDEN EVALUASI PROGRAM",3,6,"Pilihan"
"Universitas Negeri Surabaya","Kepelatihan Olahraga","Genap","STUDI INDEPENDEN PELAKSANAAN PROGRAM",4,6,"Pilihan"
"Universitas Negeri Surabaya","Kepelatihan Olahraga","Genap","STUDI INDEPENDEN PENDESIMINASIAN PROGRAM",3,6,"Pilihan"
"Universitas Negeri Surabaya","Kepelatihan Olahraga","Genap","STUDI INDEPENDEN PENGEMBANGAN PERANGKAT",4,6,"Pilihan"
"Universitas Negeri Surabaya","Kepelatihan Olahraga","Genap","STUDI INDEPENDEN PERANCANGAN PROGRAM",3,6,"Pilihan"
"Universitas Negeri Surabaya","Kepelatihan Olahraga","Ganjil","KEWIRAUSAHAAN",2,7,"Wajib"
"Universitas Negeri Surabaya","Kepelatihan Olahraga","Ganjil","MANAJEMEN BISNIS KEBUGARAN",3,7,"Wajib"
"Universitas Negeri Surabaya","Kepelatihan Olahraga","Ganjil","PERSONAL TRAINER",2,7,"Wajib"
"Universitas Negeri Surabaya","Kepelatihan Olahraga","Genap","KONTEN KREATOR OLAHRAGA",2,8,"Wajib"
"Universitas Negeri Surabaya","Kepelatihan Olahraga","Genap","TUGAS AKHIR",4,8,"Wajib"
