universitas,jurusan,semester_type,nama_mk,sks,semester,kategori
"Universitas Negeri Surabaya","Manajemen Informatika","Ganjil","KEWIRAUSAHAAN",2,1,"Wajib"
"Universitas Negeri Surabaya","Manajemen Informatika","Ganjil","LITERASI DIGITAL",2,1,"Wajib"
"Universitas Negeri Surabaya","Manajemen Informatika","Ganjil","MATEMATIKA KOMPUTASI",3,1,"Wajib"
"Universitas Negeri Surabaya","Manajemen Informatika","Ganjil","PENGANTAR MANAJEMEN PROSES BISNIS",2,1,"Wajib"
"Universitas Negeri Surabaya","Manajemen Informatika","Ganjil","PRAK. ALGORITMA DAN PEMROGRAMAN",2,1,"Wajib"
"Universitas Negeri Surabaya","Manajemen Informatika","Ganjil","Pendidikan Agama  (Wajib memilih salah satu)    -  Agama Budha    -  Agama Hindu    -  Agama Islam    -  Agama Katholik    -  Agama Khonghucu    -  Agama Protestan",2,1,"Wajib"
"Universitas Negeri Surabaya","Manajemen Informatika","Ganjil","ALGORITMA DAN PEMROGRAMAN",2,1,"Wajib"
"Universitas Negeri Surabaya","Manajemen Informatika","Ganjil","JARINGAN KOMPUTER",2,1,"Wajib"
"Universitas Negeri Surabaya","Manajemen Informatika","Ganjil","PRAK. JARINGAN KOMPUTER",1,1,"Wajib"
"Universitas Negeri Surabaya","Manajemen Informatika","Genap","MATEMATIKA DISKRIT",3,2,"Wajib"
"Universitas Negeri Surabaya","Manajemen Informatika","Genap","PENDIDIKAN JASMANI DAN KEBUGARAN",2,2,"Wajib"
"Universitas Negeri Surabaya","Manajemen Informatika","Genap","PRAK. BASIS DATA",2,2,"Wajib"
"Universitas Negeri Surabaya","Manajemen Informatika","Genap","PRAK. STRUKTUR DATA",2,2,"Wajib"
"Universitas Negeri Surabaya","Manajemen Informatika","Genap","BAHASA INDONESIA",2,2,"Wajib"
"Universitas Negeri Surabaya","Manajemen Informatika","Genap","BASIS DATA",2,2,"Wajib"
"Universitas Negeri Surabaya","Manajemen Informatika","Genap","PANCASILA",2,2,"Wajib"
"Universitas Negeri Surabaya","Manajemen Informatika","Genap","PRAK. REKAYASA PERANGKAT LUNAK",1,2,"Wajib"
"Universitas Negeri Surabaya","Manajemen Informatika","Genap","REKAYASA PERANGKAT LUNAK",2,2,"Wajib"
"Universitas Negeri Surabaya","Manajemen Informatika","Genap","STRUKTUR DATA",2,2,"Wajib"
"Universitas Negeri Surabaya","Manajemen Informatika","Ganjil","KECERDASAN BUATAN",3,3,"Wajib"
"Universitas Negeri Surabaya","Manajemen Informatika","Ganjil","PEMROGRAMAN BERORIENTASI OBJEK",2,3,"Wajib"
"Universitas Negeri Surabaya","Manajemen Informatika","Ganjil","PEMROGRAMAN GAME",2,3,"Wajib"
"Universitas Negeri Surabaya","Manajemen Informatika","Ganjil","PEMROGRAMAN WEB",2,3,"Wajib"
"Universitas Negeri Surabaya","Manajemen Informatika","Ganjil","PRAK. ANALISIS DAN DISAIN PERANGKAT LUNAK",1,3,"Wajib"
"Universitas Negeri Surabaya","Manajemen Informatika","Ganjil","PRAK. BASIS DATA LANJUT",2,3,"Wajib"
"Universitas Negeri Surabaya","Manajemen Informatika","Ganjil","PRAK. PEMROGRAMAN BERORIENTASI OBJEK",2,3,"Wajib"
"Universitas Negeri Surabaya","Manajemen Informatika","Ganjil","BASIS DATA LANJUT",2,3,"Wajib"
"Universitas Negeri Surabaya","Manajemen Informatika","Ganjil","KEWARGANEGARAAN",2,3,"Wajib"
"Universitas Negeri Surabaya","Manajemen Informatika","Ganjil","PRAK. PEMROGRAMAN GAME",2,3,"Wajib"
"Universitas Negeri Surabaya","Manajemen Informatika","Ganjil","PRAK. PEMROGRAMAN WEB",2,3,"Wajib"
"Universitas Negeri Surabaya","Manajemen Informatika","Genap","PEMROGRAMAN API",2,4,"Wajib"
"Universitas Negeri Surabaya","Manajemen Informatika","Genap","PEMROGRAMAN WEB LANJUT",2,4,"Wajib"
"Universitas Negeri Surabaya","Manajemen Informatika","Genap","PENGUJIAN PERANGKAT LUNAK",2,4,"Wajib"
"Universitas Negeri Surabaya","Manajemen Informatika","Genap","PRAK. DESAIN UI/UX",2,4,"Wajib"
"Universitas Negeri Surabaya","Manajemen Informatika","Genap","PRAK. PEMROGRAMAN API",2,4,"Wajib"
"Universitas Negeri Surabaya","Manajemen Informatika","Genap","SISTEM INFORMASI MANAJEMEN",3,4,"Wajib"
"Universitas Negeri Surabaya","Manajemen Informatika","Genap","STATISTIKA",2,4,"Wajib"
"Universitas Negeri Surabaya","Manajemen Informatika","Genap","DESAIN UI/UX",2,4,"Wajib"
"Universitas Negeri Surabaya","Manajemen Informatika","Genap","PEMROGRAMAN MOBILE",2,4,"Wajib"
"Universitas Negeri Surabaya","Manajemen Informatika","Genap","PRAK. PEMROGRAMAN MOBILE",2,4,"Wajib"
"Universitas Negeri Surabaya","Manajemen Informatika","Genap","PRAK. PEMROGRAMAN WEB LANJUT",2,4,"Wajib"
"Universitas Negeri Surabaya","Manajemen Informatika","Genap","PRAK. PENGUJIAN PERANGKAT LUNAK",1,4,"Wajib"
"Universitas Negeri Surabaya","Manajemen Informatika","Ganjil","METODOLOGI PENELITIAN",3,5,"Pilihan"
"Universitas Negeri Surabaya","Manajemen Informatika","Genap","PENGEMBANGAN KARIER",2,6,"Pilihan"
"Universitas Negeri Surabaya","Manajemen Informatika","Ganjil","MANAJEMEN DATA DAN INFORMASI",3,7,"Wajib"
"Universitas Negeri Surabaya","Manajemen Informatika","Ganjil","MANAJEMEN PROYEK",2,7,"Wajib"
"Universitas Negeri Surabaya","Manajemen Informatika","Ganjil","SEMINAR PROPOSAL TUGAS AKHIR",2,7,"Wajib"
"Universitas Negeri Surabaya","Manajemen Informatika","Ganjil","SISTEM PENDUKUNG KEPUTUSAN",3,7,"Wajib"
"Universitas Negeri Surabaya","Manajemen Informatika","Ganjil","BAHASA INGGRIS",2,7,"Wajib"
"Universitas Negeri Surabaya","Manajemen Informatika","Ganjil","ETIKA PROFESI",2,7,"Wajib"
"Universitas Negeri Surabaya","Manajemen Informatika","Ganjil","PRAK. MANAJEMEN DATA DAN INFORMASI",1,7,"Wajib"
"Universitas Negeri Surabaya","Manajemen Informatika","Ganjil","PRAK. MANAJEMEN PROYEK",2,7,"Wajib"
