universitas,jurusan,semester_type,nama_mk,sks,semester,kategori
"Universitas Negeri Surabaya","Produksi Media","Ganjil","ETIKA PROFESI",2,1,"Wajib"
"Universitas Negeri Surabaya","Produksi Media","Ganjil","KOMUNIKASI MEDIA BARU",3,1,"Wajib"
"Universitas Negeri Surabaya","Produksi Media","Ganjil","JURNALISTIK MEDIA DIGITAL",3,1,"Wajib"
"Universitas Negeri Surabaya","Produksi Media","Ganjil","Pendidikan Agama  (Wajib memilih salah satu)    -  Agama Budha    -  Agama Hindu    -  Agama Islam    -  Agama Katholik    -  Agama Khonghucu    -  Agama Protestan",2,1,"Wajib"
"Universitas Negeri Surabaya","Produksi Media","Ganjil","LITERASI DIGITAL",2,1,"Wajib"
"Universitas Negeri Surabaya","Produksi Media","Ganjil","DASAR DESAIN KOMUNIKASI VISUAL",3,1,"Wajib"
"Universitas Negeri Surabaya","Produksi Media","Ganjil","DASAR KONTEN KREATIF",2,1,"Wajib"
"Universitas Negeri Surabaya","Produksi Media","Genap","PANCASILA",2,2,"Wajib"
"Universitas Negeri Surabaya","Produksi Media","Genap","AUDIENCE DAN TREN MEDIA",3,2,"Wajib"
"Universitas Negeri Surabaya","Produksi Media","Genap","BAHASA INDONESIA",2,2,"Wajib"
"Universitas Negeri Surabaya","Produksi Media","Genap","BRAND COMMUNICATION",3,2,"Wajib"
"Universitas Negeri Surabaya","Produksi Media","Genap","PENDIDIKAN JASMANI DAN KEBUGARAN",2,2,"Wajib"
"Universitas Negeri Surabaya","Produksi Media","Genap","VIDEOGRAFI",4,2,"Wajib"
"Universitas Negeri Surabaya","Produksi Media","Genap","DASAR-DASAR KOMUNIKASI",3,2,"Wajib"
"Universitas Negeri Surabaya","Produksi Media","Genap","MEDIA PLACEMENT",3,2,"Wajib"
"Universitas Negeri Surabaya","Produksi Media","Ganjil","MONETISASI ASET DIGITAL",3,3,"Wajib"
"Universitas Negeri Surabaya","Produksi Media","Ganjil","CREATIVE WRITING",3,3,"Wajib"
"Universitas Negeri Surabaya","Produksi Media","Ganjil","GRAFIS DAN ANIMASI",4,3,"Wajib"
"Universitas Negeri Surabaya","Produksi Media","Ganjil","INDUSTRI KREATIF",3,3,"Wajib"
"Universitas Negeri Surabaya","Produksi Media","Ganjil","PRODUKSI KONTEN KREATIF",4,3,"Wajib"
"Universitas Negeri Surabaya","Produksi Media","Ganjil","STATISTIKA SOSIAL",2,3,"Wajib"
"Universitas Negeri Surabaya","Produksi Media","Ganjil","KEWIRAUSAHAAN",2,3,"Wajib"
"Universitas Negeri Surabaya","Produksi Media","Genap","KEWARGANEGARAAN",2,4,"Wajib"
"Universitas Negeri Surabaya","Produksi Media","Genap","METODOLOGI PENELITIAN",3,4,"Wajib"
"Universitas Negeri Surabaya","Produksi Media","Genap","BAHASA INGGRIS",2,4,"Wajib"
"Universitas Negeri Surabaya","Produksi Media","Genap","CREATIVE ADVERTISING",3,4,"Wajib"
"Universitas Negeri Surabaya","Produksi Media","Genap","INFLUENCER INDUSTRY",3,4,"Wajib"
"Universitas Negeri Surabaya","Produksi Media","Genap","PUBLIC SPEAKING",2,4,"Wajib"
"Universitas Negeri Surabaya","Produksi Media","Genap","STREAMING MEDIA PRODUCTION",3,4,"Wajib"
"Universitas Negeri Surabaya","Produksi Media","Genap","MANAJEMEN MEDIA DIGITAL",3,4,"Wajib"
"Universitas Negeri Surabaya","Produksi Media","Ganjil","DIGITAL CULTURE",2,5,"Wajib"
"Universitas Negeri Surabaya","Produksi Media","Ganjil","DIGITAL MEDIA MARKETING",3,5,"Wajib"
"Universitas Negeri Surabaya","Produksi Media","Ganjil","PRODUKSI EVENT CREATIVE",4,5,"Wajib"
"Universitas Negeri Surabaya","Produksi Media","Ganjil","PRODUKSI VISUAL CREATIVE",4,5,"Wajib"
"Universitas Negeri Surabaya","Produksi Media","Ganjil","PROFESSIONAL PORTFOLIO",2,5,"Wajib"
"Universitas Negeri Surabaya","Produksi Media","Ganjil","SHORT MOVIE AND DOKUMENTARY",4,5,"Wajib"
"Universitas Negeri Surabaya","Produksi Media","Genap","TUGAS AKHIR (DESIMINASI)",6,8,"Wajib"
