universitas,jurusan,semester_type,nama_mk,sks,semester,kategori
"Universitas Negeri Surabaya","Tata Boga","Ganjil","Pendidikan Agama  (Wajib memilih salah satu)    -  Agama Budha    -  Agama Hindu    -  Agama Islam    -  Agama Katholik    -  Agama Khonghucu    -  Agama Protestan",2,1,"Wajib"
"Universitas Negeri Surabaya","Tata Boga","Ganjil","LAY OUT DAPUR DAN PENANGANAN PERALATAN",3,1,"Wajib"
"Universitas Negeri Surabaya","Tata Boga","Ganjil","LITERASI DIGITAL",2,1,"Wajib"
"Universitas Negeri Surabaya","Tata Boga","Ganjil","OPERASIONAL KULINER BARAT (WESTERN)",3,1,"Wajib"
"Universitas Negeri Surabaya","Tata Boga","Ganjil","PENANGANAN BAHAN PANGAN",3,1,"Wajib"
"Universitas Negeri Surabaya","Tata Boga","Ganjil","PENGETAHUAN KULINER",2,1,"Wajib"
"Universitas Negeri Surabaya","Tata Boga","Ganjil","SANITASI, HIGIENE DAN K3",2,1,"Wajib"
"Universitas Negeri Surabaya","Tata Boga","Ganjil","TEKNIK DAN KETERAMPILAN DASAR KULINER",3,1,"Wajib"
"Universitas Negeri Surabaya","Tata Boga","Genap","GIZI KULINER",2,2,"Wajib"
"Universitas Negeri Surabaya","Tata Boga","Genap","PENYEDIAAN DESSERT DAN KONFEKSIONERI",2,2,"Wajib"
"Universitas Negeri Surabaya","Tata Boga","Genap","BAHASA INDONESIA",2,2,"Wajib"
"Universitas Negeri Surabaya","Tata Boga","Genap","MANAJEMEN DASAR",2,2,"Wajib"
"Universitas Negeri Surabaya","Tata Boga","Genap","PANCASILA",2,2,"Wajib"
"Universitas Negeri Surabaya","Tata Boga","Genap","PARIWISATA DAN HOSPITALITY",2,2,"Wajib"
"Universitas Negeri Surabaya","Tata Boga","Genap","PENDIDIKAN JASMANI DAN KEBUGARAN",2,2,"Wajib"
"Universitas Negeri Surabaya","Tata Boga","Ganjil","MENU DAN PENGENDALIAN BIAYA",3,3,"Wajib"
"Universitas Negeri Surabaya","Tata Boga","Ganjil","BAHASA INGGRIS",2,3,"Wajib"
"Universitas Negeri Surabaya","Tata Boga","Ganjil","KEWARGANEGARAAN",2,3,"Wajib"
"Universitas Negeri Surabaya","Tata Boga","Ganjil","KEWIRAUSAHAAN",2,3,"Wajib"
"Universitas Negeri Surabaya","Tata Boga","Ganjil","PEMASARAN BISNIS KULINER",2,3,"Wajib"
"Universitas Negeri Surabaya","Tata Boga","Ganjil","TEKNOLOGI PANGAN",3,3,"Wajib"
"Universitas Negeri Surabaya","Tata Boga","Genap","DEKORASI SENI KULINER",3,4,"Wajib"
"Universitas Negeri Surabaya","Tata Boga","Genap","METODE PENELITIAN",3,4,"Wajib"
"Universitas Negeri Surabaya","Tata Boga","Genap","AKUNTANSI KULINER",2,4,"Wajib"
"Universitas Negeri Surabaya","Tata Boga","Genap","INOVASI PRODUK KULINER",3,4,"Wajib"
"Universitas Negeri Surabaya","Tata Boga","Genap","OPERASIONAL KUE DAN MINUMAN INDONESIA",3,4,"Wajib"
"Universitas Negeri Surabaya","Tata Boga","Genap","PERENCANAAN BISNIS KULINER",2,4,"Wajib"
"Universitas Negeri Surabaya","Tata Boga","Genap","PROCUREMENT",2,4,"Wajib"
"Universitas Negeri Surabaya","Tata Boga","Genap","STATISTIKA",2,4,"Wajib"
"Universitas Negeri Surabaya","Tata Boga","Genap","PENGEMBANGAN KARIER",2,4,"Wajib"
"Universitas Negeri Surabaya","Tata Boga","Ganjil","MPK-PENILAIAN PROGRAM",2,5,"Wajib"
"Universitas Negeri Surabaya","Tata Boga","Ganjil","MPK-PERENCANAAN",2,5,"Wajib"
"Universitas Negeri Surabaya","Tata Boga","Ganjil","MPK-S.TR.KULINER-PENETAPAN MENU, KEBUTUHAN DAN PENGADAAN BAHAN",3,5,"Wajib"
"Universitas Negeri Surabaya","Tata Boga","Ganjil","MPK-STR. KULINER_PENGOLAHAN MEAT, POULTRY AND SEAFOOD",3,5,"Wajib"
"Universitas Negeri Surabaya","Tata Boga","Ganjil","MPK-S.TR KULINER_ PENYIAPAN DAN PENGOLAHAN PASTRY, BAKERY DAN KUDAPAN",3,5,"Wajib"
"Universitas Negeri Surabaya","Tata Boga","Ganjil","MPK-S.TR KULINER_ PENYIAPAN DAN PENGOLAHAN RICE AND NOODLE",2,5,"Wajib"
"Universitas Negeri Surabaya","Tata Boga","Ganjil","MPK-STR. KULINER_PENYIAPAN DAN PENGOLAHAN VEGETABLE AND COOK CHILL PRODUCT",3,5,"Wajib"
"Universitas Negeri Surabaya","Tata Boga","Ganjil","MPK-S.TR.KULINER-PENYIAPAN MEAT, POULTRY AND SEAFOOD DI BUTCHER SECTION",2,5,"Wajib"
"Universitas Negeri Surabaya","Tata Boga","Genap","KKN KEWIRAUSAHAAN PERANCANGAN PROGRAM",3,6,"Pilihan"
"Universitas Negeri Surabaya","Tata Boga","Genap","MAGANG RISET-PENGEMBANGAN INSTRUMEN PENELITIAN",4,6,"Pilihan"
"Universitas Negeri Surabaya","Tata Boga","Genap","KKN KEWIRAUSAHAAN EVALUASI PROGRAM",3,6,"Pilihan"
"Universitas Negeri Surabaya","Tata Boga","Genap","KKN KEWIRAUSAHAAN PELAKSANAAN PROGRAM",4,6,"Pilihan"
"Universitas Negeri Surabaya","Tata Boga","Genap","KKN KEWIRAUSAHAAN PENDESIMINASIAN PROGRAM",3,6,"Pilihan"
"Universitas Negeri Surabaya","Tata Boga","Genap","KKN KEWIRAUSAHAAN PENGEMBANGAN LAPORAN",3,6,"Pilihan"
"Universitas Negeri Surabaya","Tata Boga","Genap","KKN KEWIRAUSAHAAN PENGEMBANGAN PERANGKAT",4,6,"Pilihan"
"Universitas Negeri Surabaya","Tata Boga","Genap","MAGANG RISET-PENGANALISISAN DATA",4,6,"Pilihan"
"Universitas Negeri Surabaya","Tata Boga","Genap","MAGANG RISET-PENGUMPULAN DATA",4,6,"Pilihan"
"Universitas Negeri Surabaya","Tata Boga","Genap","MAGANG RISET-PENYUSUNAN LAPORAN PENELITIAN",2,6,"Pilihan"
"Universitas Negeri Surabaya","Tata Boga","Genap","MAGANG RISET-PUBLIKASI ILMIAH",4,6,"Pilihan"
"Universitas Negeri Surabaya","Tata Boga","Ganjil","IMPLEMENTASI BISNIS CATERING",3,7,"Wajib"
"Universitas Negeri Surabaya","Tata Boga","Ganjil","KOMUNIKASI DAN KERJA TIM",2,7,"Wajib"
"Universitas Negeri Surabaya","Tata Boga","Ganjil","MANAJEMEN EVENT REGIONAL",2,7,"Wajib"
"Universitas Negeri Surabaya","Tata Boga","Ganjil","MANAJEMEN SDM",2,7,"Wajib"
"Universitas Negeri Surabaya","Tata Boga","Ganjil","PENGENDALIAN MUTU BISNIS KULINER",3,7,"Wajib"
"Universitas Negeri Surabaya","Tata Boga","Ganjil","PENYEDIAAN HIDANGAN DIET DAN KEBUTUHAN BUDAYA",3,7,"Wajib"
"Universitas Negeri Surabaya","Tata Boga","Ganjil","PERENCANAAN, PELAKSANAAN, DAN EVALUASI KERJA (SUPERVISI KERJA)",3,7,"Wajib"
"Universitas Negeri Surabaya","Tata Boga","Ganjil","SEMINAR PROPOSAL TUGAS AKHIR",2,7,"Wajib"
"Universitas Negeri Surabaya","Tata Boga","Genap","TUGAS AKHIR",4,8,"Wajib"
