universitas,jurusan,semester_type,nama_mk,sks,semester,kategori
"Universitas Negeri Surabaya","Tata Busana","Ganjil","Pendidikan Agama  (Wajib memilih salah satu)    -  Agama Budha    -  Agama Hindu    -  Agama Islam    -  Agama Katholik    -  Agama Khonghucu    -  Agama Protestan",2,1,"Wajib"
"Universitas Negeri Surabaya","Tata Busana","Ganjil","SEJARAH MODE",2,1,"Wajib"
"Universitas Negeri Surabaya","Tata Busana","Ganjil","DESAIN DASAR",3,1,"Wajib"
"Universitas Negeri Surabaya","Tata Busana","Ganjil","FASHION ILLUSTRATION",3,1,"Wajib"
"Universitas Negeri Surabaya","Tata Busana","Ganjil","KONSTRUKSI POLA BUSANA",3,1,"Wajib"
"Universitas Negeri Surabaya","Tata Busana","Ganjil","LITERASI DIGITAL",2,1,"Wajib"
"Universitas Negeri Surabaya","Tata Busana","Ganjil","PENGETAHUAN BAHAN TEKSTIL",2,1,"Wajib"
"Universitas Negeri Surabaya","Tata Busana","Ganjil","TEKNOLOGI MENJAHIT & K3",3,1,"Wajib"
"Universitas Negeri Surabaya","Tata Busana","Genap","KONSEP DESAIN MODE",3,2,"Wajib"
"Universitas Negeri Surabaya","Tata Busana","Genap","BAHASA INDONESIA",2,2,"Wajib"
"Universitas Negeri Surabaya","Tata Busana","Genap","COMPUTER AIDED DESIGN (CAD)",3,2,"Wajib"
"Universitas Negeri Surabaya","Tata Busana","Genap","PANCASILA",2,2,"Wajib"
"Universitas Negeri Surabaya","Tata Busana","Genap","PENDIDIKAN JASMANI DAN KEBUGARAN",2,2,"Wajib"
"Universitas Negeri Surabaya","Tata Busana","Genap","PENGANTAR INDUSTRI FASHION",2,2,"Wajib"
"Universitas Negeri Surabaya","Tata Busana","Genap","PRODUKSI BUSANA WANITA",3,2,"Wajib"
"Universitas Negeri Surabaya","Tata Busana","Genap","REKAYASA TEKSTIL",3,2,"Wajib"
"Universitas Negeri Surabaya","Tata Busana","Ganjil","FASHION BRANDING & MARKETING",2,3,"Wajib"
"Universitas Negeri Surabaya","Tata Busana","Ganjil","KOLEKSI READY TO WEAR",3,3,"Wajib"
"Universitas Negeri Surabaya","Tata Busana","Ganjil","KOMUNIKASI DAN LAYANAN PRIMA",2,3,"Wajib"
"Universitas Negeri Surabaya","Tata Busana","Ganjil","BAHASA INGGRIS 1",2,3,"Wajib"
"Universitas Negeri Surabaya","Tata Busana","Ganjil","DESAIN BUSANA NASIONAL",3,3,"Wajib"
"Universitas Negeri Surabaya","Tata Busana","Ganjil","KEWARGANEGARAAN",2,3,"Wajib"
"Universitas Negeri Surabaya","Tata Busana","Ganjil","KRIYA TEKSTIL",3,3,"Wajib"
"Universitas Negeri Surabaya","Tata Busana","Genap","BATIK",3,4,"Wajib"
"Universitas Negeri Surabaya","Tata Busana","Genap","STATISTIK",2,4,"Wajib"
"Universitas Negeri Surabaya","Tata Busana","Genap","ART EMBROIDERY",3,4,"Wajib"
"Universitas Negeri Surabaya","Tata Busana","Genap","BAHASA INGGRIS 2",2,4,"Wajib"
"Universitas Negeri Surabaya","Tata Busana","Genap","BUSANA PESTA",3,4,"Wajib"
"Universitas Negeri Surabaya","Tata Busana","Genap","DESAIN MODEST FASHION",3,4,"Wajib"
"Universitas Negeri Surabaya","Tata Busana","Genap","METODE PENELITIAN",3,4,"Wajib"
"Universitas Negeri Surabaya","Tata Busana","Genap","ZERO WASTE FASHION",3,4,"Wajib"
"Universitas Negeri Surabaya","Tata Busana","Genap","PENGEMBANGAN KARIER",2,4,"Wajib"
"Universitas Negeri Surabaya","Tata Busana","Ganjil","SEMINAR PROPOSAL TUGAS AKHIR",2,5,"Pilihan"
"Universitas Negeri Surabaya","Tata Busana","Ganjil","BERPIKIR KRITIS DAN KREATIF",2,7,"Wajib"
"Universitas Negeri Surabaya","Tata Busana","Ganjil","BORDIR",3,7,"Wajib"
"Universitas Negeri Surabaya","Tata Busana","Ganjil","BUSANA INDUSTRI",3,7,"Wajib"
"Universitas Negeri Surabaya","Tata Busana","Ganjil","DIGITAL MARKETING",3,7,"Wajib"
"Universitas Negeri Surabaya","Tata Busana","Ganjil","DISPLAY",2,7,"Wajib"
"Universitas Negeri Surabaya","Tata Busana","Ganjil","KEWIRAUSAHAAN",2,7,"Wajib"
"Universitas Negeri Surabaya","Tata Busana","Ganjil","KOMUNIKASI DAN KERJA TIM",2,7,"Wajib"
"Universitas Negeri Surabaya","Tata Busana","Ganjil","BAHASA JEPANG 1",2,7,"Wajib"
"Universitas Negeri Surabaya","Tata Busana","Ganjil","BAHASA JERMAN 1",2,7,"Wajib"
"Universitas Negeri Surabaya","Tata Busana","Ganjil","DESAIN BUSANA ANAK",3,7,"Wajib"
"Universitas Negeri Surabaya","Tata Busana","Ganjil","DESAIN BUSANA PRIA",3,7,"Wajib"
"Universitas Negeri Surabaya","Tata Busana","Ganjil","FASHION UPCYCLE",3,7,"Wajib"
"Universitas Negeri Surabaya","Tata Busana","Ganjil","FOTOGRAFI FASHION & MEDIA DIGITAL",3,7,"Wajib"
"Universitas Negeri Surabaya","Tata Busana","Ganjil","HANDICRAFT",3,7,"Wajib"
"Universitas Negeri Surabaya","Tata Busana","Ganjil","INTERNASIONAL CONFERENCE",3,7,"Wajib"
"Universitas Negeri Surabaya","Tata Busana","Ganjil","MANAJEMEN EVENT INTERNATIONAL",4,7,"Wajib"
"Universitas Negeri Surabaya","Tata Busana","Ganjil","MANAJEMEN EVENT NASIONAL",3,7,"Wajib"
"Universitas Negeri Surabaya","Tata Busana","Ganjil","NATIONAL CONFERENCE",2,7,"Wajib"
"Universitas Negeri Surabaya","Tata Busana","Ganjil","PEWARNAAN ALAM",3,7,"Wajib"
"Universitas Negeri Surabaya","Tata Busana","Ganjil","PRODUCT DEVELOPMENT",3,7,"Wajib"
"Universitas Negeri Surabaya","Tata Busana","Genap","TUGAS AKHIR",4,8,"Wajib"
