universitas,jurusan,semester_type,nama_mk,sks,semester,kategori
"Universitas Negeri Surabaya","Teknik Listrik","Ganjil","Pendidikan Agama  (Wajib memilih salah satu)    -  Agama Budha    -  Agama Hindu    -  Agama Islam    -  Agama Katholik    -  Agama Khonghucu    -  Agama Protestan",2,1,"Wajib"
"Universitas Negeri Surabaya","Teknik Listrik","Ganjil","PENGUKURAN LISTRIK",2,1,"Pilihan"
"Universitas Negeri Surabaya","Teknik Listrik","Ganjil","BAHAN-BAHAN LISTRIK",2,1,"Pilihan"
"Universitas Negeri Surabaya","Teknik Listrik","Ganjil","FISIKA TEKNIK",2,1,"Pilihan"
"Universitas Negeri Surabaya","Teknik Listrik","Ganjil","GAMBAR TEKNIK",2,1,"Pilihan"
"Universitas Negeri Surabaya","Teknik Listrik","Ganjil","KESEHATAN DAN KESELAMATAN KERJA",2,1,"Pilihan"
"Universitas Negeri Surabaya","Teknik Listrik","Ganjil","LITERASI DIGITAL",2,1,"Pilihan"
"Universitas Negeri Surabaya","Teknik Listrik","Ganjil","MATEMATIKA TEKNIK DASAR",2,1,"Pilihan"
"Universitas Negeri Surabaya","Teknik Listrik","Ganjil","RANGKAIAN LISTRIK",3,1,"Pilihan"
"Universitas Negeri Surabaya","Teknik Listrik","Ganjil","PEMELIHARAAN SISTEM TENAGA LISTRIK",4,1,"Pilihan"
"Universitas Negeri Surabaya","Teknik Listrik","Genap","BAHASA INDONESIA",2,2,"Wajib"
"Universitas Negeri Surabaya","Teknik Listrik","Genap","BAHASA INGGRIS",2,2,"Wajib"
"Universitas Negeri Surabaya","Teknik Listrik","Genap","DASAR SISTEM IOT DAN APLIKASI INDUSTRI",2,2,"Wajib"
"Universitas Negeri Surabaya","Teknik Listrik","Genap","ELEKTRONIKA ANALOG DAN DIGITAL",2,2,"Wajib"
"Universitas Negeri Surabaya","Teknik Listrik","Genap","INSTALASI LISTRIK",2,2,"Wajib"
"Universitas Negeri Surabaya","Teknik Listrik","Genap","PANCASILA",2,2,"Wajib"
"Universitas Negeri Surabaya","Teknik Listrik","Genap","PENDIDIKAN JASMANI DAN KEBUGARAN",2,2,"Wajib"
"Universitas Negeri Surabaya","Teknik Listrik","Genap","PRAKTIKUM RANGKAIAN LISTRIK",2,2,"Wajib"
"Universitas Negeri Surabaya","Teknik Listrik","Ganjil","KEWARGANEGARAAN",2,3,"Wajib"
"Universitas Negeri Surabaya","Teknik Listrik","Ganjil","KONVERSI ENERGI LISTRIK",2,3,"Wajib"
"Universitas Negeri Surabaya","Teknik Listrik","Ganjil","MIKROKONTROLER",3,3,"Wajib"
