universitas,jurusan,semester_type,nama_mk,sks,semester,kategori
"Universitas Negeri Surabaya","Teknik Mesin","Ganjil","Pendidikan Agama  (Wajib memilih salah satu)    -  Agama Budha    -  Agama Hindu    -  Agama Islam    -  Agama Katholik    -  Agama Khonghucu    -  Agama Protestan",2,1,"Wajib"
"Universitas Negeri Surabaya","Teknik Mesin","Ganjil","BAHASA INGGRIS",2,1,"Wajib"
"Universitas Negeri Surabaya","Teknik Mesin","Ganjil","FISIKA I",2,1,"Wajib"
"Universitas Negeri Surabaya","Teknik Mesin","Ganjil","ILMU BAHAN",3,1,"Wajib"
"Universitas Negeri Surabaya","Teknik Mesin","Ganjil","LITERASI DIGITAL",2,1,"Wajib"
"Universitas Negeri Surabaya","Teknik Mesin","Ganjil","MATEMATIKA I",2,1,"Wajib"
"Universitas Negeri Surabaya","Teknik Mesin","Ganjil","MENGGAMBAR TEKNIK",2,1,"Wajib"
"Universitas Negeri Surabaya","Teknik Mesin","Ganjil","METROLOGI INDUSTRI",2,1,"Wajib"
"Universitas Negeri Surabaya","Teknik Mesin","Ganjil","PENGHAYAT KEPERCAYAAN",2,1,"Wajib"
"Universitas Negeri Surabaya","Teknik Mesin","Ganjil","TEKNOLOGI MEKANIK",3,1,"Wajib"
"Universitas Negeri Surabaya","Teknik Mesin","Genap","BAHASA INDONESIA",2,2,"Wajib"
"Universitas Negeri Surabaya","Teknik Mesin","Genap","ELEMEN MESIN",2,2,"Wajib"
"Universitas Negeri Surabaya","Teknik Mesin","Genap","KIMIA",2,2,"Wajib"
"Universitas Negeri Surabaya","Teknik Mesin","Genap","MEKANIKA TEKNIK",3,2,"Wajib"
"Universitas Negeri Surabaya","Teknik Mesin","Genap","MENGGAMBAR MESIN",2,2,"Wajib"
"Universitas Negeri Surabaya","Teknik Mesin","Genap","PANCASILA",2,2,"Wajib"
"Universitas Negeri Surabaya","Teknik Mesin","Genap","PENGUJIAN BAHAN",3,2,"Wajib"
"Universitas Negeri Surabaya","Teknik Mesin","Genap","THERMODINAMIKA",2,2,"Wajib"
"Universitas Negeri Surabaya","Teknik Mesin","Ganjil","DESAIN TEKNIK BERBASIS KOMPUTER",3,3,"Wajib"
"Universitas Negeri Surabaya","Teknik Mesin","Ganjil","K3 DAN LINGKUNGAN",2,3,"Wajib"
"Universitas Negeri Surabaya","Teknik Mesin","Ganjil","KEWARGANEGARAAN",2,3,"Wajib"
"Universitas Negeri Surabaya","Teknik Mesin","Ganjil","KEWIRAUSAHAAN",2,3,"Wajib"
"Universitas Negeri Surabaya","Teknik Mesin","Ganjil","KINEMATIKA DINAMIKA",2,3,"Wajib"
"Universitas Negeri Surabaya","Teknik Mesin","Ganjil","PERLAKUAN BAHAN",3,3,"Wajib"
"Universitas Negeri Surabaya","Teknik Mesin","Ganjil","PROSES MANUFAKTUR I",3,3,"Wajib"
"Universitas Negeri Surabaya","Teknik Mesin","Ganjil","TEKNIK KOROSI",2,3,"Wajib"
"Universitas Negeri Surabaya","Teknik Mesin","Ganjil","TEKNIK PEMBENTUKAN",2,3,"Wajib"
"Universitas Negeri Surabaya","Teknik Mesin","Genap","BAHASA JEPANG I",2,4,"Wajib"
"Universitas Negeri Surabaya","Teknik Mesin","Genap","CAD/CAM",3,4,"Wajib"
"Universitas Negeri Surabaya","Teknik Mesin","Genap","CNC",3,4,"Wajib"
"Universitas Negeri Surabaya","Teknik Mesin","Genap","GETARAN MEKANIS",2,4,"Wajib"
"Universitas Negeri Surabaya","Teknik Mesin","Genap","MANUFAKTUR ADITIF",2,4,"Wajib"
"Universitas Negeri Surabaya","Teknik Mesin","Genap","PENDIDIKAN JASMANI DAN KEBUGARAN",2,4,"Wajib"
"Universitas Negeri Surabaya","Teknik Mesin","Genap","POLIMER DAN KOMPOSIT",2,4,"Wajib"
"Universitas Negeri Surabaya","Teknik Mesin","Genap","PROSES MANUFAKTUR II",3,4,"Wajib"
"Universitas Negeri Surabaya","Teknik Mesin","Genap","PROSES MANUFAKTUR III",4,4,"Wajib"
"Universitas Negeri Surabaya","Teknik Mesin","Genap","STATISTIKA DAN METODE PENELITIAN",3,4,"Wajib"
"Universitas Negeri Surabaya","Teknik Mesin","Ganjil","ERGONOMI",2,7,"Wajib"
"Universitas Negeri Surabaya","Teknik Mesin","Ganjil","MANAJEMEN PROYEK",2,7,"Wajib"
"Universitas Negeri Surabaya","Teknik Mesin","Ganjil","MATERIAL MAJU",2,7,"Wajib"
"Universitas Negeri Surabaya","Teknik Mesin","Ganjil","MEKATRONIKA",2,7,"Wajib"
"Universitas Negeri Surabaya","Teknik Mesin","Ganjil","OPTIMASI DESAIN",2,7,"Wajib"
"Universitas Negeri Surabaya","Teknik Mesin","Ganjil","PENGEMBANGAN KARIER",2,7,"Wajib"
"Universitas Negeri Surabaya","Teknik Mesin","Ganjil","PENGENALAN DUNIA KERJA",2,7,"Wajib"
"Universitas Negeri Surabaya","Teknik Mesin","Ganjil","PERANCANGAN TEKNIK",3,7,"Wajib"
"Universitas Negeri Surabaya","Teknik Mesin","Ganjil","PNEUMATIK HIDROLIK",3,7,"Wajib"
"Universitas Negeri Surabaya","Teknik Mesin","Ganjil","SEMINAR PROPOSAL TUGAS AKHIR",2,7,"Wajib"
"Universitas Negeri Surabaya","Teknik Mesin","Ganjil","SISTEM DINAMIS",2,7,"Wajib"
"Universitas Negeri Surabaya","Teknik Mesin","Genap","TUGAS AKHIR",4,8,"Wajib"
