universitas,jurusan,semester_type,nama_mk,sks,semester,kategori
"Universitas Negeri Surabaya","Teknik Sipil","Ganjil","ILMU UKUR TANAH & PRAKTIKUM",3,1,"Wajib"
"Universitas Negeri Surabaya","Teknik Sipil","Ganjil","Pendidikan Agama  (Wajib memilih salah satu)    -  Agama Budha    -  Agama Hindu    -  Agama Islam    -  Agama Katholik    -  Agama Khonghucu    -  Agama Protestan",2,1,"Wajib"
"Universitas Negeri Surabaya","Teknik Sipil","Ganjil","ANALISIS STRUKTUR STATIS TERTENTU",3,1,"Wajib"
"Universitas Negeri Surabaya","Teknik Sipil","Ganjil","LITERASI DIGITAL",2,1,"Wajib"
"Universitas Negeri Surabaya","Teknik Sipil","Ganjil","MATEMATIKA TERAPAN",2,1,"Wajib"
"Universitas Negeri Surabaya","Teknik Sipil","Ganjil","MENGGAMBAR BANGUNAN SEDERHANA DAN PRAKTIKUM",3,1,"Wajib"
"Universitas Negeri Surabaya","Teknik Sipil","Ganjil","PRAKTIKUM TEKNOLOGI BAHAN DAN BETON",3,1,"Wajib"
"Universitas Negeri Surabaya","Teknik Sipil","Ganjil","STRUKTUR BANGUNAN",2,1,"Wajib"
"Universitas Negeri Surabaya","Teknik Sipil","Genap","ANALISIS STRUKTUR STATIS TAK TERTENTU",3,2,"Wajib"
"Universitas Negeri Surabaya","Teknik Sipil","Genap","BAHASA INDONESIA",2,2,"Wajib"
"Universitas Negeri Surabaya","Teknik Sipil","Genap","BAHASA INGGRIS",2,2,"Wajib"
"Universitas Negeri Surabaya","Teknik Sipil","Genap","MENGGAMBAR BANGUNAN BERTINGKAT DAN PRAKTIKUM",4,2,"Wajib"
"Universitas Negeri Surabaya","Teknik Sipil","Genap","PANCASILA",2,2,"Wajib"
"Universitas Negeri Surabaya","Teknik Sipil","Genap","PENDIDIKAN JASMANI DAN KEBUGARAN",2,2,"Wajib"
"Universitas Negeri Surabaya","Teknik Sipil","Genap","SIFAT-SIFAT FISIS TANAH DAN PRAKTIKUM",3,2,"Wajib"
"Universitas Negeri Surabaya","Teknik Sipil","Ganjil","BAHASA JEPANG",2,3,"Wajib"
"Universitas Negeri Surabaya","Teknik Sipil","Ganjil","KEWARGANEGARAAN",2,3,"Wajib"
"Universitas Negeri Surabaya","Teknik Sipil","Ganjil","KONSTRUKSI KAYU DAN PRAKTIKUM",3,3,"Wajib"
"Universitas Negeri Surabaya","Teknik Sipil","Ganjil","MANAJEMEN PROYEK KONSTRUKSI",2,3,"Wajib"
"Universitas Negeri Surabaya","Teknik Sipil","Ganjil","REKAYASA GEMPA",2,3,"Wajib"
"Universitas Negeri Surabaya","Teknik Sipil","Ganjil","SIFAT MEKANIS TANAH DAN PRAKTIKUM",3,3,"Wajib"
"Universitas Negeri Surabaya","Teknik Sipil","Ganjil","STATISTIK",2,3,"Wajib"
"Universitas Negeri Surabaya","Teknik Sipil","Ganjil","STRUKTUR BAJA",2,3,"Wajib"
"Universitas Negeri Surabaya","Teknik Sipil","Ganjil","STRUKTUR BETON",2,3,"Wajib"
"Universitas Negeri Surabaya","Teknik Sipil","Ganjil","UTILITAS BANGUNAN DAN PRAKTIKUM",3,3,"Wajib"
"Universitas Negeri Surabaya","Teknik Sipil","Genap","APLIKASI KOMPUTER TEKNIK SIPIL",2,4,"Wajib"
"Universitas Negeri Surabaya","Teknik Sipil","Genap","ESTIMASI BIAYA KONSTRUKSI",2,4,"Wajib"
"Universitas Negeri Surabaya","Teknik Sipil","Genap","KEWIRAUSAHAAN",2,4,"Wajib"
"Universitas Negeri Surabaya","Teknik Sipil","Genap","MERENCANA KONSTRUKSI BANGUNAN BAJA",2,4,"Wajib"
"Universitas Negeri Surabaya","Teknik Sipil","Genap","MERENCANA KONSTRUKSI BANGUNAN BETON",2,4,"Wajib"
"Universitas Negeri Surabaya","Teknik Sipil","Genap","METODE PENELITIAN",3,4,"Wajib"
"Universitas Negeri Surabaya","Teknik Sipil","Genap","PERALATAN KONSTRUKSI",2,4,"Wajib"
"Universitas Negeri Surabaya","Teknik Sipil","Genap","PRAKTIKUM BATU DAN PEMBESIAN",2,4,"Wajib"
"Universitas Negeri Surabaya","Teknik Sipil","Genap","REKAYASA PONDASI",3,4,"Wajib"
"Universitas Negeri Surabaya","Teknik Sipil","Ganjil","BERPIKIR KRITIS DAN KREATIF",2,5,"Pilihan"
"Universitas Negeri Surabaya","Teknik Sipil","Ganjil","KOMUNIKASI DAN KERJA TIM",2,5,"Pilihan"
"Universitas Negeri Surabaya","Teknik Sipil","Ganjil","PEMBELAJARAN EMOSI DAN SOSIAL",2,5,"Pilihan"
"Universitas Negeri Surabaya","Teknik Sipil","Ganjil","SOFTSKILLS",2,5,"Pilihan"
"Universitas Negeri Surabaya","Teknik Sipil","Ganjil","KESEHATAN DAN KESELAMATAN KERJA",2,7,"Wajib"
"Universitas Negeri Surabaya","Teknik Sipil","Ganjil","ANALISIS INVESTASI PROYEK",2,7,"Wajib"
"Universitas Negeri Surabaya","Teknik Sipil","Ganjil","ETIKA PROFESI",2,7,"Wajib"
"Universitas Negeri Surabaya","Teknik Sipil","Ganjil","KONSTRUKSI PENAHAN TANAH",2,7,"Wajib"
"Universitas Negeri Surabaya","Teknik Sipil","Ganjil","MANAJEMEN RISIKO",2,7,"Wajib"
"Universitas Negeri Surabaya","Teknik Sipil","Ganjil","PERENCANAAN & PENGENDALIAN PROYEK",2,7,"Wajib"
"Universitas Negeri Surabaya","Teknik Sipil","Ganjil","REKAYASA LINGKUNGAN DAN AMDAL",2,7,"Wajib"
"Universitas Negeri Surabaya","Teknik Sipil","Ganjil","REKAYASA NILAI",2,7,"Wajib"
"Universitas Negeri Surabaya","Teknik Sipil","Ganjil","STRUKTUR BANGUNAN TINGGI",2,7,"Wajib"
"Universitas Negeri Surabaya","Teknik Sipil","Ganjil","STRUKTUR BETON PRATEKAN",2,7,"Wajib"
"Universitas Negeri Surabaya","Teknik Sipil","Genap","SEMINAR PROPOSAL TUGAS AKHIR",2,8,"Wajib"
"Universitas Negeri Surabaya","Teknik Sipil","Genap","TUGAS AKHIR",4,8,"Wajib"
