universitas,jurusan,semester_type,nama_mk,sks,semester,kategori
"Universitas Negeri Surabaya","Teknologi Rekayasa Otomotif","Ganjil","Pendidikan Agama  (Wajib memilih salah satu)    -  Agama Budha    -  Agama Hindu    -  Agama Islam    -  Agama Katholik    -  Agama Khonghucu    -  Agama Protestan",2,1,"Wajib"
"Universitas Negeri Surabaya","Teknologi Rekayasa Otomotif","Ganjil","TEKNOLOGI DAN SISTEM OTOMOTIF",2,1,"Wajib"
"Universitas Negeri Surabaya","Teknologi Rekayasa Otomotif","Ganjil","TERMODINAMIKA TEKNIK",2,1,"Wajib"
"Universitas Negeri Surabaya","Teknologi Rekayasa Otomotif","Ganjil","WORKSHOP KOMPUTASI DASAR",2,1,"Wajib"
"Universitas Negeri Surabaya","Teknologi Rekayasa Otomotif","Ganjil","FISIKA DASAR",2,1,"Wajib"
"Universitas Negeri Surabaya","Teknologi Rekayasa Otomotif","Ganjil","K3 DAN LINGKUNGAN",2,1,"Wajib"
"Universitas Negeri Surabaya","Teknologi Rekayasa Otomotif","Ganjil","LITERASI DIGITAL",2,1,"Wajib"
"Universitas Negeri Surabaya","Teknologi Rekayasa Otomotif","Ganjil","MATEMATIKA DASAR",2,1,"Wajib"
"Universitas Negeri Surabaya","Teknologi Rekayasa Otomotif","Ganjil","PENGHAYAT KEPERCAYAAN",2,1,"Wajib"
"Universitas Negeri Surabaya","Teknologi Rekayasa Otomotif","Ganjil","WORKSHOP MATERIAL TEKNIK",2,1,"Wajib"
"Universitas Negeri Surabaya","Teknologi Rekayasa Otomotif","Ganjil","WORKSHOP MENGGAMBAR TEKNIK",2,1,"Wajib"
"Universitas Negeri Surabaya","Teknologi Rekayasa Otomotif","Genap","BAHASA INGGRIS",2,2,"Wajib"
"Universitas Negeri Surabaya","Teknologi Rekayasa Otomotif","Genap","DESAIN TEKNIK BERBASIS KOMPUTER",2,2,"Wajib"
"Universitas Negeri Surabaya","Teknologi Rekayasa Otomotif","Genap","ELEMEN MESIN OTOMOTIF",2,2,"Wajib"
"Universitas Negeri Surabaya","Teknologi Rekayasa Otomotif","Genap","FISIKA TEKNIK",2,2,"Wajib"
"Universitas Negeri Surabaya","Teknologi Rekayasa Otomotif","Genap","MATEMATIKA TEKNIK",2,2,"Wajib"
"Universitas Negeri Surabaya","Teknologi Rekayasa Otomotif","Genap","MEKANIKA FLUIDA",2,2,"Wajib"
"Universitas Negeri Surabaya","Teknologi Rekayasa Otomotif","Genap","PENDIDIKAN JASMANI DAN KEBUGARAN",2,2,"Wajib"
"Universitas Negeri Surabaya","Teknologi Rekayasa Otomotif","Genap","TATA TULIS KARYA ILMIAH",2,2,"Wajib"
"Universitas Negeri Surabaya","Teknologi Rekayasa Otomotif","Genap","WORKSHOP PERALATAN DAN ALAT UKUR OTOMOTIF",2,2,"Wajib"
"Universitas Negeri Surabaya","Teknologi Rekayasa Otomotif","Genap","WORKSHOP PROSES MANUFAKTUR",2,2,"Wajib"
"Universitas Negeri Surabaya","Teknologi Rekayasa Otomotif","Ganjil","ANALISIS NUMERIK DAN PERANCANGAN EKSPERIMEN",2,3,"Wajib"
"Universitas Negeri Surabaya","Teknologi Rekayasa Otomotif","Ganjil","BAHASA INDONESIA",2,3,"Wajib"
"Universitas Negeri Surabaya","Teknologi Rekayasa Otomotif","Ganjil","KINEMATIKA DINAMIKA",2,3,"Wajib"
"Universitas Negeri Surabaya","Teknologi Rekayasa Otomotif","Ganjil","MOTOR PEMBAKARAN DALAM",3,3,"Wajib"
"Universitas Negeri Surabaya","Teknologi Rekayasa Otomotif","Ganjil","PANCASILA",2,3,"Wajib"
"Universitas Negeri Surabaya","Teknologi Rekayasa Otomotif","Ganjil","PENGEMBANGAN GREEN SKILLS BIDANG OTOMOTIF",2,3,"Wajib"
"Universitas Negeri Surabaya","Teknologi Rekayasa Otomotif","Ganjil","PERPINDAHAN PANAS",2,3,"Wajib"
"Universitas Negeri Surabaya","Teknologi Rekayasa Otomotif","Ganjil","PRAKTIK TEKNIK PENGELASAN",1,3,"Wajib"
"Universitas Negeri Surabaya","Teknologi Rekayasa Otomotif","Ganjil","WORKSHOP PENGECATAN DAN PERBAIKAN BODI KENDARAAN",2,3,"Wajib"
"Universitas Negeri Surabaya","Teknologi Rekayasa Otomotif","Ganjil","WORKSHOP TEKNIK KELISTRIKAN OTOMOTIF",2,3,"Wajib"
