universitas,jurusan,semester_type,nama_mk,sks,semester,kategori
"Universitas Negeri Surabaya","Transportasi","Ganjil","Pendidikan Agama  (Wajib memilih salah satu)    -  Agama Budha    -  Agama Hindu    -  Agama Islam    -  Agama Katholik    -  Agama Protestan",2,1,"Wajib"
"Universitas Negeri Surabaya","Transportasi","Ganjil","BAHASA JEPANG",2,1,"Wajib"
"Universitas Negeri Surabaya","Transportasi","Ganjil","LITERASI DIGITAL",2,1,"Wajib"
"Universitas Negeri Surabaya","Transportasi","Ganjil","MENGGAMBAR TEKNIK",3,1,"Wajib"
"Universitas Negeri Surabaya","Transportasi","Ganjil","PEMETAAN DAN PRAKTIKUM",3,1,"Wajib"
"Universitas Negeri Surabaya","Transportasi","Ganjil","PRAKTIKUM TEKNOLOGI BAHAN DAN BETON",3,1,"Wajib"
"Universitas Negeri Surabaya","Transportasi","Ganjil","SISTEM TRANSPORTASI",2,1,"Wajib"
"Universitas Negeri Surabaya","Transportasi","Ganjil","MATEMATIKA TERAPAN",2,1,"Wajib"
"Universitas Negeri Surabaya","Transportasi","Ganjil","MEKANIKA REKAYASA",3,1,"Wajib"
"Universitas Negeri Surabaya","Transportasi","Genap","GEOMETRIK JALAN",3,2,"Wajib"
"Universitas Negeri Surabaya","Transportasi","Genap","MEKANIKA TANAH",3,2,"Wajib"
"Universitas Negeri Surabaya","Transportasi","Genap","PANCASILA",2,2,"Wajib"
"Universitas Negeri Surabaya","Transportasi","Genap","PENDIDIKAN JASMANI DAN KEBUGARAN",2,2,"Wajib"
"Universitas Negeri Surabaya","Transportasi","Genap","STATISTIK TERAPAN",2,2,"Wajib"
"Universitas Negeri Surabaya","Transportasi","Genap","BAHASA INDONESIA",2,2,"Wajib"
"Universitas Negeri Surabaya","Transportasi","Genap","MENGGAMBAR CAD",2,2,"Wajib"
"Universitas Negeri Surabaya","Transportasi","Ganjil","ESTIMASI BIAYA",2,3,"Wajib"
"Universitas Negeri Surabaya","Transportasi","Ganjil","OPERASI ANGKUTAN UMUM",2,3,"Wajib"
"Universitas Negeri Surabaya","Transportasi","Ganjil","PERANCANGAN JARINGAN JALAN BERKESELAMATAN",2,3,"Wajib"
"Universitas Negeri Surabaya","Transportasi","Ganjil","PERENCANAAN TRANSPORTASI KOTA",2,3,"Wajib"
"Universitas Negeri Surabaya","Transportasi","Ganjil","PRAKTIKUM MEKANIKA TANAH",3,3,"Wajib"
"Universitas Negeri Surabaya","Transportasi","Ganjil","PRASARANA TRANSPORTASI",2,3,"Wajib"
"Universitas Negeri Surabaya","Transportasi","Ganjil","STRUKTUR PERKERASAN JALAN RAYA DAN PRAKTIKUM",3,3,"Wajib"
"Universitas Negeri Surabaya","Transportasi","Ganjil","KEWARGANEGARAAN",2,3,"Wajib"
"Universitas Negeri Surabaya","Transportasi","Ganjil","TEKNIK LALU LINTAS",2,3,"Wajib"
"Universitas Negeri Surabaya","Transportasi","Genap","EKONOMI TRANSPORTASI",2,4,"Wajib"
"Universitas Negeri Surabaya","Transportasi","Genap","METODOLOGI PENELITIAN",3,4,"Wajib"
"Universitas Negeri Surabaya","Transportasi","Genap","PEKERJAAN TANAH DAN ALAT BERAT",2,4,"Wajib"
"Universitas Negeri Surabaya","Transportasi","Genap","PERENCANAAN TATA GUNA LAHAN",2,4,"Wajib"
"Universitas Negeri Surabaya","Transportasi","Genap","PERKERASAN JALAN RAYA",3,4,"Wajib"
"Universitas Negeri Surabaya","Transportasi","Genap","REKAYASA PONDASI",2,4,"Wajib"
"Universitas Negeri Surabaya","Transportasi","Genap","APLIKASI KOMPUTER TRANSPORTASI",2,4,"Wajib"
"Universitas Negeri Surabaya","Transportasi","Genap","JALAN REL",2,4,"Wajib"
"Universitas Negeri Surabaya","Transportasi","Ganjil","RISET PELAKSANAAN PROGRAM",4,5,"Pilihan"
"Universitas Negeri Surabaya","Transportasi","Ganjil","RISET PELAPORAN PROGRAM",4,5,"Pilihan"
"Universitas Negeri Surabaya","Transportasi","Ganjil","RISET PENDESIMINASIAN PROGRAM",4,5,"Pilihan"
"Universitas Negeri Surabaya","Transportasi","Ganjil","RISET PENGEMBANGAN PERANGKAT PROGRAM",4,5,"Pilihan"
"Universitas Negeri Surabaya","Transportasi","Ganjil","RISET PERENCANAAN PROGRAM",2,5,"Pilihan"
"Universitas Negeri Surabaya","Transportasi","Ganjil","BAHASA INGGRIS",2,7,"Wajib"
"Universitas Negeri Surabaya","Transportasi","Ganjil","PELABUHAN",2,7,"Wajib"
"Universitas Negeri Surabaya","Transportasi","Ganjil","SEMINAR PROPOSAL TUGAS AKHIR",2,7,"Wajib"
"Universitas Negeri Surabaya","Transportasi","Ganjil","BAHASA JERMAN",2,7,"Wajib"
"Universitas Negeri Surabaya","Transportasi","Ganjil","ETIKA PROFESI KERJA",2,7,"Wajib"
"Universitas Negeri Surabaya","Transportasi","Ganjil","KESEHATAN DAN KESELAMATAN KERJA (K3) DAN LINGKUNGAN",2,7,"Wajib"
"Universitas Negeri Surabaya","Transportasi","Ganjil","KEWIRAUSAHAAN",2,7,"Wajib"
"Universitas Negeri Surabaya","Transportasi","Ganjil","MANAJEMEN DAN REKAYASA LALU LINTAS",2,7,"Wajib"
"Universitas Negeri Surabaya","Transportasi","Ganjil","MANAJEMEN LOGISTIK",2,7,"Wajib"
"Universitas Negeri Surabaya","Transportasi","Genap","TUGAS AKHIR",4,8,"Wajib"
