universitas,jurusan,semester_type,nama_mk,sks,semester,kategori
"Universitas Negeri Surabaya","Agribisnis Digital","Ganjil","PENGANTAR ILMU PERTANIAN",3,1,"Wajib"
"Universitas Negeri Surabaya","Agribisnis Digital","Ganjil","BAHASA INGGRIS",2,1,"Wajib"
"Universitas Negeri Surabaya","Agribisnis Digital","Ganjil","DASAR TEKNOLOGI INFORMASI",3,1,"Wajib"
"Universitas Negeri Surabaya","Agribisnis Digital","Ganjil","KETAHANAN PANGAN GLOBAL",2,1,"Wajib"
"Universitas Negeri Surabaya","Agribisnis Digital","Ganjil","MATEMATIKA DISKRIT",3,1,"Wajib"
"Universitas Negeri Surabaya","Agribisnis Digital","Ganjil","PANCASILA",2,1,"Wajib"
"Universitas Negeri Surabaya","Agribisnis Digital","Ganjil","PENGANTAR AGRIBISNIS DIGITAL",3,1,"Wajib"
"Universitas Negeri Surabaya","Agribisnis Digital","Ganjil","PENGANTAR EKONOMI",2,1,"Wajib"
"Universitas Negeri Surabaya","Agribisnis Digital","Genap","Pendidikan Agama  (Wajib memilih salah satu)    -  Agama Budha    -  Agama Hindu    -  Agama Islam    -  Agama Katholik    -  Agama Khonghucu    -  Agama Protestan",2,2,"Wajib"
"Universitas Negeri Surabaya","Agribisnis Digital","Genap","STATISTIKA BISNIS",3,2,"Wajib"
"Universitas Negeri Surabaya","Agribisnis Digital","Genap","MANAJEMEN AGRIBISNIS",2,2,"Wajib"
"Universitas Negeri Surabaya","Agribisnis Digital","Genap","MANAJEMEN PRODUKSI DAN OPERASI",3,2,"Wajib"
"Universitas Negeri Surabaya","Agribisnis Digital","Genap","ALGORITMA PEMROGRAMAN DAN DATA",3,2,"Wajib"
"Universitas Negeri Surabaya","Agribisnis Digital","Genap","DATA ANALITIK",3,2,"Wajib"
"Universitas Negeri Surabaya","Agribisnis Digital","Genap","KEWARGANEGARAAN",2,2,"Wajib"
"Universitas Negeri Surabaya","Agribisnis Digital","Genap","LITERASI DIGITAL",2,2,"Wajib"
