universitas,jurusan,semester_type,nama_mk,sks,semester,kategori
"Universitas Negeri Surabaya","Akuakultur","Ganjil","BIOKIMIA",2,1,"Wajib"
"Universitas Negeri Surabaya","Akuakultur","Ganjil","BIOLOGI UMUM",3,1,"Wajib"
"Universitas Negeri Surabaya","Akuakultur","Ganjil","KECERDASAN ARTIFISIAL DALAM AKUAKULTUR",2,1,"Wajib"
"Universitas Negeri Surabaya","Akuakultur","Ganjil","MATEMATIKA DAN BERPIKIR LOGIS",2,1,"Wajib"
"Universitas Negeri Surabaya","Akuakultur","Ganjil","EKOLOGI PERAIRAN",3,1,"Wajib"
"Universitas Negeri Surabaya","Akuakultur","Ganjil","KETAHANAN PANGAN GLOBAL",2,1,"Wajib"
"Universitas Negeri Surabaya","Akuakultur","Ganjil","LITERASI DIGITAL",2,1,"Wajib"
"Universitas Negeri Surabaya","Akuakultur","Ganjil","PANCASILA",2,1,"Wajib"
"Universitas Negeri Surabaya","Akuakultur","Ganjil","PENDIDIKAN JASMANI DAN KEBUGARAN",2,1,"Wajib"
"Universitas Negeri Surabaya","Akuakultur","Genap","Pendidikan Agama  (Wajib memilih salah satu)    -  Agama Budha    -  Agama Hindu    -  Agama Islam    -  Agama Katholik    -  Agama Khonghucu    -  Agama Protestan",2,2,"Wajib"
"Universitas Negeri Surabaya","Akuakultur","Genap","DASAR-DASAR AKUAKULTUR",3,2,"Wajib"
"Universitas Negeri Surabaya","Akuakultur","Genap","FISIKA KIMIA PERAIRAN",3,2,"Wajib"
"Universitas Negeri Surabaya","Akuakultur","Genap","IKTIOLOGI",3,2,"Wajib"
"Universitas Negeri Surabaya","Akuakultur","Genap","INVERTEBRATA AIR",3,2,"Wajib"
"Universitas Negeri Surabaya","Akuakultur","Genap","KEWARGANEGARAAN",2,2,"Wajib"
"Universitas Negeri Surabaya","Akuakultur","Genap","POTENSI LOKAL AKUAKULTUR",2,2,"Wajib"
"Universitas Negeri Surabaya","Akuakultur","Genap","STATISTIK",2,2,"Wajib"
"Universitas Negeri Surabaya","Akuakultur","Ganjil","BAHASA INGGRIS",2,3,"Wajib"
"Universitas Negeri Surabaya","Akuakultur","Ganjil","DASAR-DASAR MIKROBIOLOGI AKUATIK",3,3,"Wajib"
