universitas,jurusan,semester_type,nama_mk,sks,semester,kategori
"Universitas Negeri Surabaya","Akuntansi","Ganjil","HUKUM BISNIS",2,1,"Wajib"
"Universitas Negeri Surabaya","Akuntansi","Ganjil","HUKUM PAJAK",2,1,"Wajib"
"Universitas Negeri Surabaya","Akuntansi","Ganjil","AKUNTANSI PENGANTAR",3,1,"Wajib"
"Universitas Negeri Surabaya","Akuntansi","Ganjil","MANAJEMEN KEUANGAN",3,1,"Wajib"
"Universitas Negeri Surabaya","Akuntansi","Ganjil","PANCASILA",2,1,"Wajib"
"Universitas Negeri Surabaya","Akuntansi","Ganjil","PENGANTAR TEORI EKONOMI",2,1,"Wajib"
"Universitas Negeri Surabaya","Akuntansi","Ganjil","SISTEM INFORMASI AKUNTANSI (SIA)",3,1,"Wajib"
"Universitas Negeri Surabaya","Akuntansi","Ganjil","STATISTIK",3,1,"Wajib"
"Universitas Negeri Surabaya","Akuntansi","Genap","AKUNTANSI BIAYA",2,2,"Wajib"
"Universitas Negeri Surabaya","Akuntansi","Genap","AKUNTANSI INTERMEDIATE 1",3,2,"Wajib"
"Universitas Negeri Surabaya","Akuntansi","Genap","AKUNTANSI PUBLIK",3,2,"Wajib"
"Universitas Negeri Surabaya","Akuntansi","Genap","MANAJEMEN STRATEJIK DAN KEPEMIMPINAN",3,2,"Wajib"
"Universitas Negeri Surabaya","Akuntansi","Genap","Pendidikan Agama  (Wajib memilih salah satu)    -  Agama Budha    -  Agama Hindu    -  Agama Islam    -  Agama Katholik    -  Agama Khonghucu    -  Agama Protestan",2,2,"Wajib"
"Universitas Negeri Surabaya","Akuntansi","Genap","KEWARGANEGARAAN",2,2,"Wajib"
"Universitas Negeri Surabaya","Akuntansi","Genap","PERPAJAKAN",2,2,"Wajib"
"Universitas Negeri Surabaya","Akuntansi","Genap","SISTEM INFORMASI MANAJEMEN (SIM)",3,2,"Wajib"
"Universitas Negeri Surabaya","Akuntansi","Ganjil","KEWIRAUSAHAAN",2,3,"Wajib"
"Universitas Negeri Surabaya","Akuntansi","Ganjil","AKUNTANSI INTERMEDIATE 2",3,3,"Wajib"
"Universitas Negeri Surabaya","Akuntansi","Ganjil","AKUNTANSI MANAJEMEN",3,3,"Wajib"
"Universitas Negeri Surabaya","Akuntansi","Ganjil","AUDIT, ASURANS, DAN ETIKA PROFESI",3,3,"Wajib"
"Universitas Negeri Surabaya","Akuntansi","Ganjil","BAHASA INDONESIA",2,3,"Wajib"
"Universitas Negeri Surabaya","Akuntansi","Ganjil","MANAJEMEN BASIS DATA",3,3,"Wajib"
"Universitas Negeri Surabaya","Akuntansi","Ganjil","METODOLOGI PENELITIAN",3,3,"Wajib"
"Universitas Negeri Surabaya","Akuntansi","Ganjil","PRAKTIK AKUNTANSI KEUANGAN",2,3,"Wajib"
"Universitas Negeri Surabaya","Akuntansi","Ganjil","PRAKTIK PERPAJAKAN",3,3,"Wajib"
"Universitas Negeri Surabaya","Akuntansi","Genap","AKUNTANSI LANJUTAN",3,4,"Wajib"
"Universitas Negeri Surabaya","Akuntansi","Genap","ANALISIS & PERANCANGAN SISTEM INFORMASI",3,4,"Wajib"
"Universitas Negeri Surabaya","Akuntansi","Genap","COST AND ADVANCE MANAGEMENT ACCOUNTING",3,4,"Wajib"
"Universitas Negeri Surabaya","Akuntansi","Genap","PENDIDIKAN JASMANI DAN KEBUGARAN",2,4,"Wajib"
"Universitas Negeri Surabaya","Akuntansi","Genap","PRAKTIK KEWIRAUSAHAAN",2,4,"Wajib"
"Universitas Negeri Surabaya","Akuntansi","Genap","PRAKTIK PENGAUDITAN",3,4,"Wajib"
"Universitas Negeri Surabaya","Akuntansi","Genap","SEMINAR AKUNTANSI",2,4,"Wajib"
"Universitas Negeri Surabaya","Akuntansi","Genap","TATA KELOLA KORPORAT",3,4,"Wajib"
"Universitas Negeri Surabaya","Akuntansi","Genap","TEORI AKUNTANSI",3,4,"Wajib"
"Universitas Negeri Surabaya","Akuntansi","Ganjil","PROYEK DESA EVALUASI PROGRAM",2,5,"Wajib"
"Universitas Negeri Surabaya","Akuntansi","Ganjil","INTERPERSONAL SKILL",3,5,"Wajib"
"Universitas Negeri Surabaya","Akuntansi","Ganjil","BAHASA INGGRIS",2,5,"Wajib"
"Universitas Negeri Surabaya","Akuntansi","Ganjil","LITERASI DIGITAL",2,5,"Wajib"
"Universitas Negeri Surabaya","Akuntansi","Ganjil","PENGEMBANGAN KARAKTER",3,5,"Wajib"
"Universitas Negeri Surabaya","Akuntansi","Ganjil","PERILAKU ORGANISASI",3,5,"Wajib"
"Universitas Negeri Surabaya","Akuntansi","Ganjil","PROYEK DESA PERENCANAAN PROGRAM",2,5,"Wajib"
