universitas,jurusan,semester_type,nama_mk,sks,semester,kategori
"Universitas Negeri Surabaya","Bimbingan Dan Konseling","Ganjil","Pendidikan Agama  (Wajib memilih salah satu)    -  Agama    -  Agama Budha    -  Agama Hindu    -  Agama Islam    -  Agama Katholik    -  Agama Khonghucu    -  Agama Protestan",2,1,"Wajib"
"Universitas Negeri Surabaya","Bimbingan Dan Konseling","Ganjil","DASAR-DASAR BIMBINGAN DAN KONSELING",2,1,"Wajib"
"Universitas Negeri Surabaya","Bimbingan Dan Konseling","Ganjil","ASESMEN PSIKOLOGIS: TEKNIK NON TES",3,1,"Wajib"
"Universitas Negeri Surabaya","Bimbingan Dan Konseling","Ganjil","ILMU PENDIDIKAN",2,1,"Wajib"
"Universitas Negeri Surabaya","Bimbingan Dan Konseling","Ganjil","KETERAMPILAN DASAR KONSELING",2,1,"Wajib"
"Universitas Negeri Surabaya","Bimbingan Dan Konseling","Ganjil","KOMUNIKASI ANTAR PRIBADI",2,1,"Wajib"
"Universitas Negeri Surabaya","Bimbingan Dan Konseling","Ganjil","LITERASI DIGITAL",2,1,"Wajib"
"Universitas Negeri Surabaya","Bimbingan Dan Konseling","Ganjil","PENGHAYAT KEPERCAYAAN",2,1,"Wajib"
"Universitas Negeri Surabaya","Bimbingan Dan Konseling","Ganjil","PROFESI BIMBINGAN DAN KONSELING",2,1,"Wajib"
"Universitas Negeri Surabaya","Bimbingan Dan Konseling","Ganjil","PSIKOLOGI PENDIDIKAN",2,1,"Wajib"
"Universitas Negeri Surabaya","Bimbingan Dan Konseling","Genap","ASESMEN PSIKOLOGIS TEKNIK TES",3,2,"Wajib"
"Universitas Negeri Surabaya","Bimbingan Dan Konseling","Genap","BAHASA INDONESIA",2,2,"Wajib"
"Universitas Negeri Surabaya","Bimbingan Dan Konseling","Genap","BIMBINGAN DAN KONSELING PERKEMBANGAN",2,2,"Wajib"
"Universitas Negeri Surabaya","Bimbingan Dan Konseling","Genap","PANCASILA",2,2,"Wajib"
"Universitas Negeri Surabaya","Bimbingan Dan Konseling","Genap","PENDEKATAN KELOMPOK DALAM BIMBINGAN DAN KONSELING",3,2,"Wajib"
"Universitas Negeri Surabaya","Bimbingan Dan Konseling","Genap","PENDIDIKAN JASMANI DAN KEBUGARAN",2,2,"Wajib"
"Universitas Negeri Surabaya","Bimbingan Dan Konseling","Genap","TEKNOLOGI INFORMASI DAN MEDIA BIMBINGAN DAN KONSELING",2,2,"Wajib"
"Universitas Negeri Surabaya","Bimbingan Dan Konseling","Genap","TEORI DAN PRAKTEK KONSELING PSIKODINAMIKA",3,2,"Wajib"
"Universitas Negeri Surabaya","Bimbingan Dan Konseling","Ganjil","PENGEMBANGAN PROGRAM DAN MATERI LAYANAN BIMBINGAN DAN KONSELING",2,3,"Wajib"
"Universitas Negeri Surabaya","Bimbingan Dan Konseling","Ganjil","STATISTIK",2,3,"Wajib"
"Universitas Negeri Surabaya","Bimbingan Dan Konseling","Ganjil","BAHASA INGGRIS",2,3,"Wajib"
"Universitas Negeri Surabaya","Bimbingan Dan Konseling","Ganjil","KEWARGANEGARAAN",2,3,"Wajib"
"Universitas Negeri Surabaya","Bimbingan Dan Konseling","Ganjil","LAYANAN BIMBINGAN DAN KONSELING UNTUK ANAK BERKEBUTUHAN KHUSUS",2,3,"Wajib"
"Universitas Negeri Surabaya","Bimbingan Dan Konseling","Ganjil","MANAJEMEN BIMBINGAN DAN KONSELING",2,3,"Wajib"
"Universitas Negeri Surabaya","Bimbingan Dan Konseling","Ganjil","PENDIDIKAN INKLUSIF",2,3,"Wajib"
"Universitas Negeri Surabaya","Bimbingan Dan Konseling","Ganjil","TEORI DAN PRAKTIK KONSELING HUMANISTIK",3,3,"Wajib"
