universitas,jurusan,semester_type,nama_mk,sks,semester,kategori
"Universitas Negeri Surabaya","Biologi","Ganjil","BIOLOGI UMUM",3,1,"Wajib"
"Universitas Negeri Surabaya","Biologi","Ganjil","FISIKA UMUM",3,1,"Wajib"
"Universitas Negeri Surabaya","Biologi","Ganjil","KIMIA UMUM",3,1,"Wajib"
"Universitas Negeri Surabaya","Biologi","Ganjil","LITERASI DIGITAL",2,1,"Wajib"
"Universitas Negeri Surabaya","Biologi","Ganjil","MATEMATIKA DASAR",2,1,"Wajib"
"Universitas Negeri Surabaya","Biologi","Ganjil","PANCASILA",2,1,"Wajib"
"Universitas Negeri Surabaya","Biologi","Ganjil","PENDIDIKAN JASMANI DAN KEBUGARAN",2,1,"Wajib"
"Universitas Negeri Surabaya","Biologi","Ganjil","TEKNIK LABORATORIUM",2,1,"Wajib"
"Universitas Negeri Surabaya","Biologi","Genap","Pendidikan Agama  (Wajib memilih salah satu)    -  Agama Budha    -  Agama Hindu    -  Agama Islam    -  Agama Katholik    -  Agama Khonghucu    -  Agama Protestan",2,2,"Wajib"
"Universitas Negeri Surabaya","Biologi","Genap","BIOKIMIA",3,2,"Wajib"
"Universitas Negeri Surabaya","Biologi","Genap","BIOSTATISTIK DAN BIOKOMPUTER",3,2,"Wajib"
"Universitas Negeri Surabaya","Biologi","Genap","KEWARGANEGARAAN",2,2,"Wajib"
"Universitas Negeri Surabaya","Biologi","Genap","KONSERVASI SUMBER DAYA ALAM",2,2,"Wajib"
"Universitas Negeri Surabaya","Biologi","Genap","STRUKTUR PERKEMBANGAN HEWAN",4,2,"Wajib"
"Universitas Negeri Surabaya","Biologi","Genap","STRUKTUR PERKEMBANGAN TUMBUHAN",4,2,"Wajib"
"Universitas Negeri Surabaya","Biologi","Ganjil","BAHASA INDONESIA",2,3,"Wajib"
"Universitas Negeri Surabaya","Biologi","Ganjil","BIOLOGI SEL DAN MOLEKULER",3,3,"Wajib"
"Universitas Negeri Surabaya","Biologi","Ganjil","EKOLOGI",4,3,"Wajib"
"Universitas Negeri Surabaya","Biologi","Ganjil","GENETIKA DAN GENOMIK",4,3,"Wajib"
"Universitas Negeri Surabaya","Biologi","Ganjil","KEWIRAUSAHAAN",2,3,"Wajib"
"Universitas Negeri Surabaya","Biologi","Ganjil","SISTEMATIKA HEWAN",4,3,"Wajib"
"Universitas Negeri Surabaya","Biologi","Ganjil","SISTEMATIKA TUMBUHAN",4,3,"Wajib"
"Universitas Negeri Surabaya","Biologi","Genap","BIODIVERSITAS TROPIS",2,4,"Wajib"
"Universitas Negeri Surabaya","Biologi","Genap","BIOTEKNOLOGI",2,4,"Wajib"
"Universitas Negeri Surabaya","Biologi","Genap","FISIOLOGI HEWAN",4,4,"Wajib"
"Universitas Negeri Surabaya","Biologi","Genap","FISIOLOGI TUMBUHAN",4,4,"Wajib"
"Universitas Negeri Surabaya","Biologi","Genap","METODOLOGI PENELITIAN BIOLOGI",3,4,"Wajib"
"Universitas Negeri Surabaya","Biologi","Genap","MIKROBIOLOGI",3,4,"Wajib"
"Universitas Negeri Surabaya","Biologi","Genap","PRAKTIKUM MIKROTEKNIK",2,4,"Wajib"
"Universitas Negeri Surabaya","Biologi","Genap","TEKNIK ANALISIS BIOLOGI MOLEKULER",2,4,"Wajib"
"Universitas Negeri Surabaya","Biologi","Ganjil","EVOLUSI",2,5,"Pilihan"
"Universitas Negeri Surabaya","Biologi","Ganjil","KOMUNIKASI INTERPERSONAL",2,5,"Pilihan"
"Universitas Negeri Surabaya","Biologi","Ganjil","KOMUNIKASI PUBLIK",2,5,"Pilihan"
"Universitas Negeri Surabaya","Biologi","Ganjil","KREATIVITAS DAN INOVASI BISNIS",3,5,"Pilihan"
"Universitas Negeri Surabaya","Biologi","Ganjil","PENGEMBANGAN KEPRIBADIAN",2,5,"Pilihan"
