universitas,jurusan,semester_type,nama_mk,sks,semester,kategori
"Universitas Negeri Surabaya","Biosains Hewan","Ganjil","Pendidikan Agama  (Wajib memilih salah satu)    -  Agama Budha    -  Agama Hindu    -  Agama Islam    -  Agama Katholik    -  Agama Khonghucu    -  Agama Protestan",2,1,"Wajib"
"Universitas Negeri Surabaya","Biosains Hewan","Ganjil","BIOLOGI UMUM",3,1,"Wajib"
"Universitas Negeri Surabaya","Biosains Hewan","Ganjil","FISIKA UMUM",3,1,"Wajib"
"Universitas Negeri Surabaya","Biosains Hewan","Ganjil","KETAHANAN PANGAN GLOBAL",2,1,"Wajib"
"Universitas Negeri Surabaya","Biosains Hewan","Ganjil","KIMIA UMUM",3,1,"Wajib"
"Universitas Negeri Surabaya","Biosains Hewan","Ganjil","MATEMATIKA DASAR",2,1,"Wajib"
"Universitas Negeri Surabaya","Biosains Hewan","Ganjil","PANCASILA",2,1,"Wajib"
"Universitas Negeri Surabaya","Biosains Hewan","Ganjil","PENGANTAR BIOSAINS HEWAN",2,1,"Wajib"
"Universitas Negeri Surabaya","Biosains Hewan","Genap","BIOKIMIA",3,2,"Wajib"
"Universitas Negeri Surabaya","Biosains Hewan","Genap","BIOLOGI SEL DAN MOLEKULER",2,2,"Wajib"
"Universitas Negeri Surabaya","Biosains Hewan","Genap","GENETIKA DAN GENOMIK",2,2,"Wajib"
"Universitas Negeri Surabaya","Biosains Hewan","Genap","KEWARGANEGARAAN",2,2,"Wajib"
"Universitas Negeri Surabaya","Biosains Hewan","Genap","PENDIDIKAN JASMANI DAN KEBUGARAN",2,2,"Wajib"
"Universitas Negeri Surabaya","Biosains Hewan","Genap","PERALATAN DAN TEKNIK ANALISIS LAB",2,2,"Wajib"
"Universitas Negeri Surabaya","Biosains Hewan","Genap","NUTRISI TERNAK DASAR",3,2,"Wajib"
"Universitas Negeri Surabaya","Biosains Hewan","Genap","ANATOMI DAN HISTOLOGI",3,2,"Wajib"
"Universitas Negeri Surabaya","Biosains Hewan","Genap","BAHASA INDONESIA",2,2,"Wajib"
"Universitas Negeri Surabaya","Biosains Hewan","Genap","BAHASA INGGRIS",2,2,"Wajib"
