universitas,jurusan,semester_type,nama_mk,sks,semester,kategori
"Universitas Negeri Surabaya","Bioteknologi","Ganjil","Pendidikan Agama  (Wajib memilih salah satu)    -  Agama Budha    -  Agama Hindu    -  Agama Islam    -  Agama Katholik    -  Agama Khonghucu    -  Agama Protestan",2,1,"Wajib"
"Universitas Negeri Surabaya","Bioteknologi","Ganjil","BIOLOGI DASAR",2,1,"Wajib"
"Universitas Negeri Surabaya","Bioteknologi","Ganjil","KETAHANAN PANGAN GLOBAL",2,1,"Wajib"
"Universitas Negeri Surabaya","Bioteknologi","Ganjil","KIMIA DASAR",3,1,"Wajib"
"Universitas Negeri Surabaya","Bioteknologi","Ganjil","LITERASI DIGITAL",2,1,"Wajib"
"Universitas Negeri Surabaya","Bioteknologi","Ganjil","MEGABIODIVERSITAS",3,1,"Wajib"
"Universitas Negeri Surabaya","Bioteknologi","Ganjil","PENDIDIKAN JASMANI DAN KEBUGARAN",2,1,"Wajib"
"Universitas Negeri Surabaya","Bioteknologi","Ganjil","PENGANTAR DAN ETIKA BIOTEKNOLOGI",2,1,"Wajib"
"Universitas Negeri Surabaya","Bioteknologi","Ganjil","PENGETAHUAN BAHAN PANGAN",2,1,"Wajib"
"Universitas Negeri Surabaya","Bioteknologi","Genap","MIKROBIOLOGI DASAR",3,2,"Wajib"
"Universitas Negeri Surabaya","Bioteknologi","Genap","PANCASILA",2,2,"Wajib"
"Universitas Negeri Surabaya","Bioteknologi","Genap","BAHASA INGGRIS",2,2,"Wajib"
"Universitas Negeri Surabaya","Bioteknologi","Genap","BIOENTREPRENEURSHIP",2,2,"Wajib"
"Universitas Negeri Surabaya","Bioteknologi","Genap","MATEMATIKA UNTUK ILMU HAYATI",2,2,"Wajib"
"Universitas Negeri Surabaya","Bioteknologi","Genap","PRAKTIKUM BIOLOGI",2,2,"Wajib"
"Universitas Negeri Surabaya","Bioteknologi","Genap","BIOLOGI SEL DAN MOLEKULER",2,2,"Wajib"
"Universitas Negeri Surabaya","Bioteknologi","Genap","FISIKA UMUM",2,2,"Wajib"
"Universitas Negeri Surabaya","Bioteknologi","Genap","KIMIA ORGANIK",3,2,"Wajib"
