universitas,jurusan,semester_type,nama_mk,sks,semester,kategori
"Universitas Negeri Surabaya","Bisnis Digital","Ganjil","DASAR TEKNOLOGI INFORMASI",3,1,"Wajib"
"Universitas Negeri Surabaya","Bisnis Digital","Ganjil","PANCASILA",2,1,"Wajib"
"Universitas Negeri Surabaya","Bisnis Digital","Ganjil","PENDIDIKAN JASMANI DAN KEBUGARAN",2,1,"Wajib"
"Universitas Negeri Surabaya","Bisnis Digital","Ganjil","PENGANTAR AKUNTANSI",3,1,"Wajib"
"Universitas Negeri Surabaya","Bisnis Digital","Ganjil","PENGANTAR BISNIS DIGITAL",3,1,"Wajib"
"Universitas Negeri Surabaya","Bisnis Digital","Ganjil","PENGANTAR TEORI EKONOMI",3,1,"Wajib"
"Universitas Negeri Surabaya","Bisnis Digital","Ganjil","BAHASA INDONESIA",2,1,"Wajib"
"Universitas Negeri Surabaya","Bisnis Digital","Ganjil","BAHASA INGGRIS",2,1,"Wajib"
"Universitas Negeri Surabaya","Bisnis Digital","Genap","Pendidikan Agama  (Wajib memilih salah satu)    -  Agama Budha    -  Agama Hindu    -  Agama Islam    -  Agama Katholik    -  Agama Khonghucu    -  Agama Protestan",2,2,"Wajib"
"Universitas Negeri Surabaya","Bisnis Digital","Genap","KEWARGANEGARAAN",2,2,"Wajib"
"Universitas Negeri Surabaya","Bisnis Digital","Genap","LITERASI DIGITAL",2,2,"Wajib"
"Universitas Negeri Surabaya","Bisnis Digital","Genap","MANAJEMEN PENGANTAR",2,2,"Wajib"
"Universitas Negeri Surabaya","Bisnis Digital","Genap","MANAJEMEN SUMBER DAYA MANUSIA DAN ORGANISASI",3,2,"Wajib"
"Universitas Negeri Surabaya","Bisnis Digital","Genap","SISTEM INFORMASI AKUNTANSI",3,2,"Wajib"
"Universitas Negeri Surabaya","Bisnis Digital","Genap","ALGORITMA PEMROGRAMAN",3,2,"Wajib"
"Universitas Negeri Surabaya","Bisnis Digital","Genap","MATEMATIKA LOGIKA",3,2,"Wajib"
"Universitas Negeri Surabaya","Bisnis Digital","Ganjil","DESIGN THINKING & INOVASI",3,3,"Wajib"
"Universitas Negeri Surabaya","Bisnis Digital","Ganjil","MANAJEMEN KEUANGAN",3,3,"Wajib"
"Universitas Negeri Surabaya","Bisnis Digital","Ganjil","MANAJEMEN OPERASIONAL",2,3,"Wajib"
"Universitas Negeri Surabaya","Bisnis Digital","Ganjil","PEMROGRAMAN WEBSITE",3,3,"Wajib"
"Universitas Negeri Surabaya","Bisnis Digital","Ganjil","SISTEM INFORMASI MANAJEMEN",3,3,"Wajib"
"Universitas Negeri Surabaya","Bisnis Digital","Ganjil","PEMASARAN DIGITAL",3,3,"Wajib"
"Universitas Negeri Surabaya","Bisnis Digital","Ganjil","PERANCANGAN BASIS DATA",3,3,"Wajib"
"Universitas Negeri Surabaya","Bisnis Digital","Genap","CROSS CULTURAL MANAGEMENT",3,4,"Wajib"
"Universitas Negeri Surabaya","Bisnis Digital","Genap","ETIKA BISNIS DIGITAL I",3,4,"Wajib"
"Universitas Negeri Surabaya","Bisnis Digital","Genap","FINANCIAL TECHNOLOGY",3,4,"Wajib"
"Universitas Negeri Surabaya","Bisnis Digital","Genap","INTERNET OF THINGS",3,4,"Wajib"
"Universitas Negeri Surabaya","Bisnis Digital","Genap","STATISTIK BISNIS",3,4,"Wajib"
"Universitas Negeri Surabaya","Bisnis Digital","Genap","TECHNOPRENEURSHIP",3,4,"Wajib"
"Universitas Negeri Surabaya","Bisnis Digital","Genap","DATA SECURITY MANAGEMENT",3,4,"Wajib"
"Universitas Negeri Surabaya","Bisnis Digital","Genap","DESAIN DAN ANALISIS SISTEM",2,4,"Wajib"
"Universitas Negeri Surabaya","Bisnis Digital","Genap","PENGEMBANGAN KARIER",2,4,"Wajib"
