universitas,jurusan,semester_type,nama_mk,sks,semester,kategori
"Universitas Negeri Surabaya","Ekonomi Islam","Ganjil","FILSAFAT ILMU EKONOMI ISLAM",3,1,"Wajib"
"Universitas Negeri Surabaya","Ekonomi Islam","Ganjil","MATEMATIKA EKONOMI",3,1,"Wajib"
"Universitas Negeri Surabaya","Ekonomi Islam","Ganjil","PANCASILA",2,1,"Wajib"
"Universitas Negeri Surabaya","Ekonomi Islam","Ganjil","PENGANTAR AKUNTANSI",3,1,"Wajib"
"Universitas Negeri Surabaya","Ekonomi Islam","Ganjil","PENGANTAR BISNIS DAN MANAJEMEN ISLAM",3,1,"Wajib"
"Universitas Negeri Surabaya","Ekonomi Islam","Ganjil","PENGANTAR EKONOMI ISLAM",3,1,"Wajib"
"Universitas Negeri Surabaya","Ekonomi Islam","Ganjil","PENGANTAR TEORI EKONOMI",3,1,"Wajib"
"Universitas Negeri Surabaya","Ekonomi Islam","Genap","Pendidikan Agama  (Wajib memilih salah satu)    -  Agama Islam",2,2,"Wajib"
"Universitas Negeri Surabaya","Ekonomi Islam","Genap","BAHASA ARAB UNTUK EKONOMI ISLAM",2,2,"Wajib"
"Universitas Negeri Surabaya","Ekonomi Islam","Genap","EKONOMI MAKRO ISLAM",3,2,"Wajib"
"Universitas Negeri Surabaya","Ekonomi Islam","Genap","EKONOMI MIKRO ISLAM",3,2,"Wajib"
"Universitas Negeri Surabaya","Ekonomi Islam","Genap","KEWARGANEGARAAN",2,2,"Wajib"
"Universitas Negeri Surabaya","Ekonomi Islam","Genap","SEJARAH PEMIKIRAN EKONOMI ISLAM",2,2,"Wajib"
"Universitas Negeri Surabaya","Ekonomi Islam","Genap","STATISTIK EKONOMI",3,2,"Wajib"
"Universitas Negeri Surabaya","Ekonomi Islam","Genap","USHUL FIQH",3,2,"Wajib"
"Universitas Negeri Surabaya","Ekonomi Islam","Ganjil","BAHASA INDONESIA",2,3,"Wajib"
"Universitas Negeri Surabaya","Ekonomi Islam","Ganjil","EKONOMETRI",3,3,"Wajib"
"Universitas Negeri Surabaya","Ekonomi Islam","Ganjil","FIQH MUAMALAH",3,3,"Wajib"
"Universitas Negeri Surabaya","Ekonomi Islam","Ganjil","KAIDAH HUKUM EKONOMI ISLAM",3,3,"Wajib"
"Universitas Negeri Surabaya","Ekonomi Islam","Ganjil","KEWIRAUSAHAAN",2,3,"Wajib"
"Universitas Negeri Surabaya","Ekonomi Islam","Ganjil","MANAJEMEN KEUANGAN SYARIAH",3,3,"Wajib"
