universitas,jurusan,semester_type,nama_mk,sks,semester,kategori
"Universitas Negeri Surabaya","Ekonomi","Ganjil","DASAR AKUNTANSI",2,1,"Wajib"
"Universitas Negeri Surabaya","Ekonomi","Ganjil","MATEMATIKA EKONOMI DAN BISNIS",3,1,"Wajib"
"Universitas Negeri Surabaya","Ekonomi","Ganjil","PENGANTAR BISNIS",3,1,"Wajib"
"Universitas Negeri Surabaya","Ekonomi","Ganjil","PENGANTAR EKONOMI MAKRO",3,1,"Wajib"
"Universitas Negeri Surabaya","Ekonomi","Ganjil","PENGANTAR EKONOMI MIKRO",3,1,"Wajib"
"Universitas Negeri Surabaya","Ekonomi","Ganjil","SEJARAH PEMIKIRAN EKONOMI",3,1,"Wajib"
"Universitas Negeri Surabaya","Ekonomi","Ganjil","STATISTIKA EKONOMI DAN BISNIS",3,1,"Wajib"
"Universitas Negeri Surabaya","Ekonomi","Genap","Pendidikan Agama  (Wajib memilih salah satu)    -  Agama Budha    -  Agama Hindu    -  Agama Islam    -  Agama Katholik    -  Agama Protestan",2,2,"Wajib"
"Universitas Negeri Surabaya","Ekonomi","Genap","BAHASA INGGRIS",2,2,"Wajib"
"Universitas Negeri Surabaya","Ekonomi","Genap","TEORI EKONOMI MIKRO",3,2,"Wajib"
"Universitas Negeri Surabaya","Ekonomi","Genap","LITERASI DIGITAL",2,2,"Wajib"
"Universitas Negeri Surabaya","Ekonomi","Genap","MATEMATIKA EKONOMI LANJUTAN",3,2,"Wajib"
"Universitas Negeri Surabaya","Ekonomi","Genap","PANCASILA",2,2,"Wajib"
"Universitas Negeri Surabaya","Ekonomi","Genap","STATISTIKA PENELITIAN EKONOMI",3,2,"Wajib"
"Universitas Negeri Surabaya","Ekonomi","Genap","TEORI EKONOMI MAKRO",3,2,"Wajib"
"Universitas Negeri Surabaya","Ekonomi","Ganjil","BAHASA INDONESIA",2,3,"Wajib"
"Universitas Negeri Surabaya","Ekonomi","Ganjil","EKONOMETRIKA DASAR",3,3,"Wajib"
"Universitas Negeri Surabaya","Ekonomi","Ganjil","EKONOMI PARIWISATA",3,3,"Wajib"
"Universitas Negeri Surabaya","Ekonomi","Ganjil","TEORI EKONOMI MAKRO LANJUTAN",3,3,"Wajib"
"Universitas Negeri Surabaya","Ekonomi","Ganjil","TEORI EKONOMI MIKRO LANJUTAN",3,3,"Wajib"
"Universitas Negeri Surabaya","Ekonomi","Ganjil","KEWARGANEGARAAN",2,3,"Wajib"
"Universitas Negeri Surabaya","Ekonomi","Ganjil","KEWIRAUSAHAAN",2,3,"Wajib"
"Universitas Negeri Surabaya","Ekonomi","Ganjil","METODE PENELITIAN EKONOMI KUANTITATIF",2,3,"Wajib"
"Universitas Negeri Surabaya","Ekonomi","Ganjil","PENDIDIKAN JASMANI DAN KEBUGARAN",2,3,"Wajib"
"Universitas Negeri Surabaya","Ekonomi","Genap","BANK SENTRAL",3,4,"Wajib"
"Universitas Negeri Surabaya","Ekonomi","Genap","EKONOMETRIKA LANJUTAN",3,4,"Wajib"
"Universitas Negeri Surabaya","Ekonomi","Genap","EKONOMI INTERNASIONAL",3,4,"Wajib"
"Universitas Negeri Surabaya","Ekonomi","Genap","EKONOMI KEUANGAN INTERNASIONAL",3,4,"Wajib"
"Universitas Negeri Surabaya","Ekonomi","Genap","EKONOMI MONETER",3,4,"Wajib"
"Universitas Negeri Surabaya","Ekonomi","Genap","EKONOMI PEMBANGUNAN",3,4,"Wajib"
"Universitas Negeri Surabaya","Ekonomi","Genap","EKONOMI PUBLIK",3,4,"Wajib"
"Universitas Negeri Surabaya","Ekonomi","Genap","METODE PENELITIAN EKONOMI KUALITATIF",2,4,"Wajib"
"Universitas Negeri Surabaya","Ekonomi","Ganjil","BANKING DAN PEMBANGUNAN EKONOMI",3,5,"Pilihan"
