universitas,jurusan,semester_type,nama_mk,sks,semester,kategori
"Universitas Negeri Surabaya","Film Dan Animasi","Ganjil","Pendidikan Agama  (Wajib memilih salah satu)    -  Agama Budha    -  Agama Hindu    -  Agama Islam    -  Agama Katholik    -  Agama Khonghucu    -  Agama Protestan",2,1,"Wajib"
"Universitas Negeri Surabaya","Film Dan Animasi","Ganjil","LITERASI DIGITAL",2,1,"Wajib"
"Universitas Negeri Surabaya","Film Dan Animasi","Ganjil","PENDIDIKAN JASMANI DAN KEBUGARAN",2,1,"Wajib"
"Universitas Negeri Surabaya","Film Dan Animasi","Ganjil","SEJARAH FILM DAN ANIMASI",3,1,"Wajib"
"Universitas Negeri Surabaya","Film Dan Animasi","Ganjil","SKETSA",3,1,"Wajib"
"Universitas Negeri Surabaya","Film Dan Animasi","Ganjil","BAHASA INGGRIS",2,1,"Wajib"
"Universitas Negeri Surabaya","Film Dan Animasi","Ganjil","BAHASA VISUAL FILM DAN ANIMASI",3,1,"Wajib"
"Universitas Negeri Surabaya","Film Dan Animasi","Ganjil","BUDAYA NUSANTARA",3,1,"Wajib"
"Universitas Negeri Surabaya","Film Dan Animasi","Genap","BAHASA INDONESIA",2,2,"Wajib"
"Universitas Negeri Surabaya","Film Dan Animasi","Genap","CROSS CULTURAL FILM INTERPRETATION",3,2,"Wajib"
"Universitas Negeri Surabaya","Film Dan Animasi","Genap","DASAR PRODUKSI FILM DAN ANIMASI",3,2,"Wajib"
"Universitas Negeri Surabaya","Film Dan Animasi","Genap","ESTETIKA",3,2,"Wajib"
"Universitas Negeri Surabaya","Film Dan Animasi","Genap","ILUSTRASI",4,2,"Wajib"
"Universitas Negeri Surabaya","Film Dan Animasi","Genap","PANCASILA",2,2,"Wajib"
"Universitas Negeri Surabaya","Film Dan Animasi","Genap","STORYTELLING",3,2,"Wajib"
"Universitas Negeri Surabaya","Film Dan Animasi","Ganjil","ANTROPOLOGI FILM DAN ANIMASI",3,3,"Wajib"
"Universitas Negeri Surabaya","Film Dan Animasi","Ganjil","KAJIAN BUDAYA POPULER",3,3,"Wajib"
"Universitas Negeri Surabaya","Film Dan Animasi","Ganjil","KEWARGANEGARAAN",2,3,"Wajib"
"Universitas Negeri Surabaya","Film Dan Animasi","Ganjil","KEWIRAUSAHAAN",2,3,"Wajib"
"Universitas Negeri Surabaya","Film Dan Animasi","Ganjil","SKENARIO",3,3,"Wajib"
"Universitas Negeri Surabaya","Film Dan Animasi","Ganjil","STORYBOARD",4,3,"Wajib"
"Universitas Negeri Surabaya","Film Dan Animasi","Ganjil","TEKNOLOGI AUDIO VISUAL",3,3,"Wajib"
