universitas,jurusan,semester_type,nama_mk,sks,semester,kategori
"Universitas Negeri Surabaya","Fisika","Ganjil","BIOLOGI UMUM",3,1,"Wajib"
"Universitas Negeri Surabaya","Fisika","Ganjil","KALKULUS UNTUK FISIKA",3,1,"Wajib"
"Universitas Negeri Surabaya","Fisika","Ganjil","SISTEM PENGUKURAN FISIKA",2,1,"Wajib"
"Universitas Negeri Surabaya","Fisika","Ganjil","ENGLISH FOR PHYSICS",3,1,"Wajib"
"Universitas Negeri Surabaya","Fisika","Ganjil","KIMIA UMUM",3,1,"Wajib"
"Universitas Negeri Surabaya","Fisika","Ganjil","MEKANIKA DAN TERMODINAMIKA DASAR",4,1,"Wajib"
"Universitas Negeri Surabaya","Fisika","Ganjil","PANCASILA",2,1,"Wajib"
"Universitas Negeri Surabaya","Fisika","Genap","Pendidikan Agama  (Wajib memilih salah satu)    -  Agama Budha    -  Agama Hindu    -  Agama Islam    -  Agama Katholik    -  Agama Khonghucu    -  Agama Protestan",2,2,"Wajib"
"Universitas Negeri Surabaya","Fisika","Genap","DERET DAN ALJABAR LINIER UNTUK FISIKA",4,2,"Wajib"
"Universitas Negeri Surabaya","Fisika","Genap","FISIKA KOMPUTASI",3,2,"Wajib"
"Universitas Negeri Surabaya","Fisika","Genap","KEWARGANEGARAAN",2,2,"Wajib"
"Universitas Negeri Surabaya","Fisika","Genap","KONSERVASI SUMBER DAYA ALAM",2,2,"Wajib"
"Universitas Negeri Surabaya","Fisika","Genap","LISTRIK MAGNET DAN OPTIKA DASAR",4,2,"Wajib"
"Universitas Negeri Surabaya","Fisika","Genap","THERMODINAMIKA",3,2,"Wajib"
"Universitas Negeri Surabaya","Fisika","Ganjil","FISIKA MODERN",3,3,"Wajib"
"Universitas Negeri Surabaya","Fisika","Ganjil","FUNGSI KHUSUS UNTUK FISIKA",4,3,"Wajib"
"Universitas Negeri Surabaya","Fisika","Ganjil","GELOMBANG",3,3,"Wajib"
"Universitas Negeri Surabaya","Fisika","Ganjil","MEKANIKA",4,3,"Wajib"
"Universitas Negeri Surabaya","Fisika","Ganjil","PENDIDIKAN JASMANI DAN OLAH RAGA",2,3,"Wajib"
"Universitas Negeri Surabaya","Fisika","Ganjil","BAHASA INDONESIA",2,3,"Wajib"
"Universitas Negeri Surabaya","Fisika","Ganjil","OPTIK",2,3,"Wajib"
"Universitas Negeri Surabaya","Fisika","Ganjil","RANGKAIAN ELEKTRONIKA",3,3,"Wajib"
"Universitas Negeri Surabaya","Fisika","Genap","ELEKTRONIKA",3,4,"Wajib"
"Universitas Negeri Surabaya","Fisika","Genap","FISIKA INSTRUMENTASI",2,4,"Wajib"
"Universitas Negeri Surabaya","Fisika","Genap","ILMU BAHAN",2,4,"Wajib"
"Universitas Negeri Surabaya","Fisika","Genap","METODOLOGI PENELITIAN",2,4,"Wajib"
"Universitas Negeri Surabaya","Fisika","Genap","ANALISIS VEKTOR DAN TENSOR UNTUK FISIKA",4,4,"Wajib"
"Universitas Negeri Surabaya","Fisika","Genap","FISIKA BUMI",2,4,"Wajib"
"Universitas Negeri Surabaya","Fisika","Genap","KEWIRAUSAHAAN",2,4,"Wajib"
"Universitas Negeri Surabaya","Fisika","Genap","LISTRIK MAGNET",3,4,"Wajib"
"Universitas Negeri Surabaya","Fisika","Genap","PENDIDIKAN JASMANI DAN KEBUGARAN",2,4,"Wajib"
"Universitas Negeri Surabaya","Fisika","Ganjil","FISIKA KUANTUM",4,5,"Wajib"
