universitas,jurusan,semester_type,nama_mk,sks,semester,kategori
"Universitas Negeri Surabaya","Fisioterapi","Ganjil","Pendidikan Agama  (Wajib memilih salah satu)    -  Agama Budha    -  Agama Hindu    -  Agama Islam    -  Agama Katholik    -  Agama Protestan",2,1,"Wajib"
"Universitas Negeri Surabaya","Fisioterapi","Ganjil","ANATOMI I",3,1,"Wajib"
"Universitas Negeri Surabaya","Fisioterapi","Ganjil","FILSAFAT ILMU DAN LOGIKA FISIOTERAPI",2,1,"Wajib"
"Universitas Negeri Surabaya","Fisioterapi","Ganjil","FISIOLOGI",3,1,"Wajib"
"Universitas Negeri Surabaya","Fisioterapi","Ganjil","ILMU SOSIAL DAN BUDAYA KESEHATAN",2,1,"Wajib"
"Universitas Negeri Surabaya","Fisioterapi","Ganjil","PSIKOLOGI KESEHATAN",2,1,"Wajib"
"Universitas Negeri Surabaya","Fisioterapi","Ganjil","BAHASA INDONESIA",2,1,"Wajib"
"Universitas Negeri Surabaya","Fisioterapi","Ganjil","BAHASA INGGRIS",2,1,"Wajib"
"Universitas Negeri Surabaya","Fisioterapi","Ganjil","FISIKA KESEHATAN",2,1,"Wajib"
"Universitas Negeri Surabaya","Fisioterapi","Genap","ANATOMI II",3,2,"Wajib"
"Universitas Negeri Surabaya","Fisioterapi","Genap","ILMU GERAK",2,2,"Wajib"
"Universitas Negeri Surabaya","Fisioterapi","Genap","KOMUNIKASI PROFESIONAL",2,2,"Wajib"
"Universitas Negeri Surabaya","Fisioterapi","Genap","PANCASILA",2,2,"Wajib"
"Universitas Negeri Surabaya","Fisioterapi","Genap","TERAPI SUMBER FISIS I",3,2,"Wajib"
"Universitas Negeri Surabaya","Fisioterapi","Genap","BIOLOGI MOLEKULER",2,2,"Wajib"
"Universitas Negeri Surabaya","Fisioterapi","Genap","ENGLISH FOR PHYSIOTHERAPIST",2,2,"Wajib"
"Universitas Negeri Surabaya","Fisioterapi","Genap","FARMAKOLOGI",2,2,"Wajib"
"Universitas Negeri Surabaya","Fisioterapi","Genap","PENDIDIKAN JASMANI DAN KEBUGARAN",2,2,"Wajib"
"Universitas Negeri Surabaya","Fisioterapi","Ganjil","FISIOLOGI LATIHAN",2,3,"Wajib"
"Universitas Negeri Surabaya","Fisioterapi","Ganjil","PROMOSI KESEHATAN DAN ETIKA PROFESI",2,3,"Wajib"
"Universitas Negeri Surabaya","Fisioterapi","Ganjil","TERAPI SUMBER FISIS II",2,3,"Wajib"
"Universitas Negeri Surabaya","Fisioterapi","Ganjil","KEWARGANEGARAAN",2,3,"Wajib"
"Universitas Negeri Surabaya","Fisioterapi","Ganjil","KINESIOLOGI DAN BIOMEKANIK",3,3,"Wajib"
"Universitas Negeri Surabaya","Fisioterapi","Ganjil","PATOLOGI SISTEM",3,3,"Wajib"
"Universitas Negeri Surabaya","Fisioterapi","Ganjil","PENGUKURAN DAN DOKUMENTASI FISIOTERAPI",2,3,"Wajib"
"Universitas Negeri Surabaya","Fisioterapi","Ganjil","TERAPI LATIHAN I",2,3,"Wajib"
"Universitas Negeri Surabaya","Fisioterapi","Ganjil","TERAPI MANUAL EKSTREMITAS",2,3,"Wajib"
"Universitas Negeri Surabaya","Fisioterapi","Genap","ASESMEN FISIOTERAPI",3,4,"Wajib"
"Universitas Negeri Surabaya","Fisioterapi","Genap","EVIDENCE-BASED PRACTICE",2,4,"Wajib"
"Universitas Negeri Surabaya","Fisioterapi","Genap","LITERASI DIGITAL",2,4,"Wajib"
"Universitas Negeri Surabaya","Fisioterapi","Genap","NEUROSAINS",2,4,"Wajib"
"Universitas Negeri Surabaya","Fisioterapi","Genap","PATOLOGI FUNGSIONAL FISIOTERAPI",3,4,"Wajib"
"Universitas Negeri Surabaya","Fisioterapi","Genap","TERAPI LATIHAN II",2,4,"Wajib"
"Universitas Negeri Surabaya","Fisioterapi","Genap","TERAPI MANUAL VERTEBRAE",2,4,"Wajib"
"Universitas Negeri Surabaya","Fisioterapi","Genap","KEWIRAUSAHAAN DAN PRAKTIK MANDIRI",2,4,"Wajib"
"Universitas Negeri Surabaya","Fisioterapi","Genap","PEMERIKSAAN PENUNJANG FISIOTERAPI",2,4,"Wajib"
"Universitas Negeri Surabaya","Fisioterapi","Genap","PENGEMBANGAN KARIER",2,4,"Wajib"
"Universitas Negeri Surabaya","Fisioterapi","Ganjil","FISIOTERAPI KESEHATAN WANITA",2,5,"Wajib"
"Universitas Negeri Surabaya","Fisioterapi","Ganjil","FISIOTERAPI OLAHRAGA",2,5,"Wajib"
"Universitas Negeri Surabaya","Fisioterapi","Ganjil","FISIOTERAPI PEDIATRI",2,5,"Wajib"
"Universitas Negeri Surabaya","Fisioterapi","Ganjil","BIOMEKANIK OLAHRAGA",2,5,"Wajib"
"Universitas Negeri Surabaya","Fisioterapi","Ganjil","FISIOTERAPI INTEGUMEN",2,5,"Wajib"
"Universitas Negeri Surabaya","Fisioterapi","Ganjil","FISIOTERAPI KARDIOVASKULAR PULMONAL I",2,5,"Wajib"
"Universitas Negeri Surabaya","Fisioterapi","Ganjil","FISIOTERAPI MUSKULOSKELETAL I",3,5,"Wajib"
"Universitas Negeri Surabaya","Fisioterapi","Ganjil","FISIOTERAPI NEUROMUSKULAR I",2,5,"Wajib"
"Universitas Negeri Surabaya","Fisioterapi","Ganjil","MANAJEMEN PELAYANAN FISIOTERAPI",2,5,"Wajib"
"Universitas Negeri Surabaya","Fisioterapi","Ganjil","METODOLOGI PENELITIAN",2,5,"Wajib"
"Universitas Negeri Surabaya","Fisioterapi","Genap","FISIOTERAPI ERGONOMI DAN K3",2,6,"Wajib"
"Universitas Negeri Surabaya","Fisioterapi","Genap","FISIOTERAPI GERIATRI",2,6,"Wajib"
"Universitas Negeri Surabaya","Fisioterapi","Genap","FISIOTERAPI KARDIOVASKULAR PULMONAL II",2,6,"Wajib"
"Universitas Negeri Surabaya","Fisioterapi","Genap","FISIOTERAPI NEUROMUSKULAR II",2,6,"Wajib"
"Universitas Negeri Surabaya","Fisioterapi","Genap","INTERPROFESSIONAL EDUCATION",2,6,"Wajib"
"Universitas Negeri Surabaya","Fisioterapi","Genap","BIOSTATISTIK",2,6,"Wajib"
"Universitas Negeri Surabaya","Fisioterapi","Genap","FISIOTERAPI KOMUNITAS",2,6,"Wajib"
"Universitas Negeri Surabaya","Fisioterapi","Genap","FISIOTERAPI MUSKULOSKELETAL II",3,6,"Wajib"
"Universitas Negeri Surabaya","Fisioterapi","Genap","JOINT, MUSCLE AND TENDON INJURY IN ATHLETE",2,6,"Wajib"
"Universitas Negeri Surabaya","Fisioterapi","Genap","KEBENCANAAN DAN KEGAWATDARURATAN",2,6,"Wajib"
"Universitas Negeri Surabaya","Fisioterapi","Ganjil","ANTI DOPING PRACTICE",2,7,"Wajib"
"Universitas Negeri Surabaya","Fisioterapi","Ganjil","FISIOTERAPI PARASPORT (OLAHRAGA DISABILITAS)",2,7,"Wajib"
"Universitas Negeri Surabaya","Fisioterapi","Ganjil","FISIOTERAPI WELLNESS DAN PENCEGAHAN CEDERA",2,7,"Wajib"
"Universitas Negeri Surabaya","Fisioterapi","Ganjil","HOMECARE",2,7,"Wajib"
"Universitas Negeri Surabaya","Fisioterapi","Ganjil","PENINGKATAN PERFORMA OLAHRAGA",2,7,"Wajib"
"Universitas Negeri Surabaya","Fisioterapi","Ganjil","PREKLINIK",4,7,"Wajib"
"Universitas Negeri Surabaya","Fisioterapi","Ganjil","SEMINAR PROPOSAL",2,7,"Wajib"
"Universitas Negeri Surabaya","Fisioterapi","Ganjil","DESAIN DAN DOSIS LATIHAN OLAHRAGA",2,7,"Wajib"
"Universitas Negeri Surabaya","Fisioterapi","Ganjil","MANAJEMEN FISIOTERAPI PARALYMPIC",2,7,"Wajib"
"Universitas Negeri Surabaya","Fisioterapi","Ganjil","MANAJEMEN PENGELOLAAN LAYANAN DALAM OLAHRAGA PRESTASI",2,7,"Wajib"
"Universitas Negeri Surabaya","Fisioterapi","Genap","TUGAS AKHIR",4,8,"Wajib"
