universitas,jurusan,semester_type,nama_mk,sks,semester,kategori
"Universitas Negeri Surabaya","Gizi","Ganjil","Pendidikan Agama  (Wajib memilih salah satu)    -  Agama Budha    -  Agama Hindu    -  Agama Islam    -  Agama Katholik    -  Agama Khonghucu    -  Agama Protestan",2,1,"Wajib"
"Universitas Negeri Surabaya","Gizi","Ganjil","ILMU BAHAN MAKANAN",3,1,"Wajib"
"Universitas Negeri Surabaya","Gizi","Ganjil","ILMU KESEHATAN MASYARAKAT",2,1,"Wajib"
"Universitas Negeri Surabaya","Gizi","Ganjil","ANATOMI FISIOLOGI",3,1,"Wajib"
"Universitas Negeri Surabaya","Gizi","Ganjil","BIOLOGI SELULER",2,1,"Wajib"
"Universitas Negeri Surabaya","Gizi","Ganjil","DASAR ILMU GIZI",3,1,"Wajib"
"Universitas Negeri Surabaya","Gizi","Ganjil","ILMU KOMUNIKASI",2,1,"Wajib"
"Universitas Negeri Surabaya","Gizi","Ganjil","KIMIA",2,1,"Wajib"
"Universitas Negeri Surabaya","Gizi","Genap","BAHASA INDONESIA",2,2,"Wajib"
"Universitas Negeri Surabaya","Gizi","Genap","BAHASA INGGRIS",2,2,"Wajib"
"Universitas Negeri Surabaya","Gizi","Genap","EKOLOGI GIZI",2,2,"Wajib"
"Universitas Negeri Surabaya","Gizi","Genap","MIKROBIOLOGI PANGAN",2,2,"Wajib"
"Universitas Negeri Surabaya","Gizi","Genap","GIZI INDUSTRI",2,2,"Wajib"
"Universitas Negeri Surabaya","Gizi","Genap","GIZI KULINER",2,2,"Wajib"
"Universitas Negeri Surabaya","Gizi","Genap","LITERASI DIGITAL",2,2,"Wajib"
"Universitas Negeri Surabaya","Gizi","Genap","METABOLISME GIZI MAKRO",2,2,"Wajib"
"Universitas Negeri Surabaya","Gizi","Genap","PANCASILA",2,2,"Wajib"
"Universitas Negeri Surabaya","Gizi","Genap","PELAYANAN GIZI INSTITUSI KESEHATAN",2,2,"Wajib"
"Universitas Negeri Surabaya","Gizi","Genap","PENILAIAN STATUS GIZI",2,2,"Wajib"
"Universitas Negeri Surabaya","Gizi","Genap","SISTEM PELAYANAN KESEHATAN",2,2,"Wajib"
"Universitas Negeri Surabaya","Gizi","Genap","STRATEGI PENDIDIKAN GIZI",2,2,"Wajib"
"Universitas Negeri Surabaya","Gizi","Ganjil","EPIDEMIOLOGI GIZI",2,3,"Wajib"
"Universitas Negeri Surabaya","Gizi","Ganjil","GIZI DALAM DAUR KEHIDUPAN",3,3,"Wajib"
"Universitas Negeri Surabaya","Gizi","Ganjil","INTERAKSI NUTRIEN OBAT DAN SUBSTANSI LAIN",2,3,"Wajib"
"Universitas Negeri Surabaya","Gizi","Ganjil","KEAMANAN PANGAN",2,3,"Wajib"
"Universitas Negeri Surabaya","Gizi","Ganjil","KEWARGANEGARAAN",2,3,"Wajib"
"Universitas Negeri Surabaya","Gizi","Ganjil","MANAJEMEN PENYELENGGARAAN MAKANAN",3,3,"Wajib"
"Universitas Negeri Surabaya","Gizi","Ganjil","PATOFISIOLOGI PENYAKIT MENULAR",2,3,"Wajib"
