universitas,jurusan,semester_type,nama_mk,sks,semester,kategori
"Universitas Negeri Surabaya","Hubungan Internasional","Ganjil","BAHASA INGGRIS",2,1,"Wajib"
"Universitas Negeri Surabaya","Hubungan Internasional","Ganjil","DASAR-DASAR KOMUNIKASI",2,1,"Wajib"
"Universitas Negeri Surabaya","Hubungan Internasional","Ganjil","LOGIKA DAN ETIKA ILMIAH",2,1,"Wajib"
"Universitas Negeri Surabaya","Hubungan Internasional","Ganjil","PANCASILA",2,1,"Wajib"
"Universitas Negeri Surabaya","Hubungan Internasional","Ganjil","PENGANTAR EKONOMI INTERNASIONAL",2,1,"Wajib"
"Universitas Negeri Surabaya","Hubungan Internasional","Ganjil","PENGANTAR HUBUNGAN INTERNASIONAL",3,1,"Wajib"
"Universitas Negeri Surabaya","Hubungan Internasional","Ganjil","PENGANTAR ILMU POLITIK",2,1,"Wajib"
"Universitas Negeri Surabaya","Hubungan Internasional","Ganjil","PENGANTAR MASYARAKAT DAN BUDAYA",2,1,"Wajib"
"Universitas Negeri Surabaya","Hubungan Internasional","Ganjil","SEJARAH DAN SISTEM SOSIAL POLITIK INDONESIA",3,1,"Wajib"
"Universitas Negeri Surabaya","Hubungan Internasional","Genap","Pendidikan Agama  (Wajib memilih salah satu)    -  Agama Budha    -  Agama Hindu    -  Agama Islam    -  Agama Katholik    -  Agama Khonghucu    -  Agama Protestan",2,2,"Wajib"
"Universitas Negeri Surabaya","Hubungan Internasional","Genap","GLOBALISASI, DEMOKRASI, DAN TRANSNASIONALISME",3,2,"Wajib"
"Universitas Negeri Surabaya","Hubungan Internasional","Genap","KEWARGANEGARAAN",2,2,"Wajib"
"Universitas Negeri Surabaya","Hubungan Internasional","Genap","ORGANISASI DAN ADMINISTRASI INTERNASIONAL",2,2,"Wajib"
"Universitas Negeri Surabaya","Hubungan Internasional","Genap","POLITIK INTERNASIONAL",3,2,"Wajib"
"Universitas Negeri Surabaya","Hubungan Internasional","Genap","STATISTIK",2,2,"Wajib"
"Universitas Negeri Surabaya","Hubungan Internasional","Genap","TEORI HUBUNGAN INTERNASIONAL",3,2,"Wajib"
"Universitas Negeri Surabaya","Hubungan Internasional","Genap","TEORI PERBANDINGAN POLITIK",2,2,"Wajib"
"Universitas Negeri Surabaya","Hubungan Internasional","Ganjil","BAHASA INDONESIA",2,3,"Wajib"
"Universitas Negeri Surabaya","Hubungan Internasional","Ganjil","DIPLOMASI",3,3,"Wajib"
"Universitas Negeri Surabaya","Hubungan Internasional","Ganjil","EKONOMI POLITIK INTERNASIONAL",3,3,"Wajib"
"Universitas Negeri Surabaya","Hubungan Internasional","Ganjil","HAK ASASI MANUSIA DALAM HUBUNGAN INTERNASIONAL",3,3,"Wajib"
"Universitas Negeri Surabaya","Hubungan Internasional","Ganjil","HUKUM INTERNASIONAL",2,3,"Wajib"
"Universitas Negeri Surabaya","Hubungan Internasional","Ganjil","LITERASI DIGITAL",2,3,"Wajib"
"Universitas Negeri Surabaya","Hubungan Internasional","Ganjil","METODE PENELITIAN SOSIAL",3,3,"Wajib"
"Universitas Negeri Surabaya","Hubungan Internasional","Ganjil","POLITIK DAN KEBIJAKAN LUAR NEGERI INDONESIA",3,3,"Wajib"
"Universitas Negeri Surabaya","Hubungan Internasional","Ganjil","STUDI KEAMANAN INTERNASIONAL",3,3,"Wajib"
"Universitas Negeri Surabaya","Hubungan Internasional","Genap","BISNIS INTERNASIONAL",2,4,"Wajib"
"Universitas Negeri Surabaya","Hubungan Internasional","Genap","GEOPOLITIK DAN GEOSTRATEGI",2,4,"Wajib"
"Universitas Negeri Surabaya","Hubungan Internasional","Genap","INDONESIA DALAM DINAMIKA ASEAN",3,4,"Wajib"
"Universitas Negeri Surabaya","Hubungan Internasional","Genap","KEWIRAUSAHAAN",2,4,"Wajib"
"Universitas Negeri Surabaya","Hubungan Internasional","Genap","MANAJEMEN STRATEGIK DALAM HUBUNGAN INTERNASIONAL",3,4,"Wajib"
"Universitas Negeri Surabaya","Hubungan Internasional","Genap","MASALAH KEAMANAN GLOBAL",2,4,"Wajib"
"Universitas Negeri Surabaya","Hubungan Internasional","Genap","MASALAH KEMANUSIAAN GLOBAL",2,4,"Wajib"
"Universitas Negeri Surabaya","Hubungan Internasional","Genap","NEGOSIASI DAN RESOLUSI KONFLIK INTERNASIONAL",3,4,"Wajib"
"Universitas Negeri Surabaya","Hubungan Internasional","Genap","PENDIDIKAN JASMANI DAN KEBUGARAN",2,4,"Wajib"
"Universitas Negeri Surabaya","Hubungan Internasional","Genap","STUDI PERANG DAN DAMAI",3,4,"Wajib"
"Universitas Negeri Surabaya","Hubungan Internasional","Ganjil","BAHASA ARAB",2,5,"Wajib"
"Universitas Negeri Surabaya","Hubungan Internasional","Ganjil","BAHASA MANDARIN",2,5,"Wajib"
"Universitas Negeri Surabaya","Hubungan Internasional","Ganjil","BAHASA RUSIA",2,5,"Wajib"
"Universitas Negeri Surabaya","Hubungan Internasional","Ganjil","GENDER DALAM HUBUNGAN INTERNASIONAL",3,5,"Wajib"
"Universitas Negeri Surabaya","Hubungan Internasional","Ganjil","JURNALISME INTERNASIONAL",3,5,"Wajib"
"Universitas Negeri Surabaya","Hubungan Internasional","Ganjil","KOMUNIKASI ANTAR BUDAYA",3,5,"Wajib"
"Universitas Negeri Surabaya","Hubungan Internasional","Ganjil","MANAJEMEN ORGANISASI INTERNASIONAL NON PEMERINTAHAN",2,5,"Wajib"
"Universitas Negeri Surabaya","Hubungan Internasional","Ganjil","MANAJEMEN PROYEK PEMBANGUNAN",3,5,"Wajib"
"Universitas Negeri Surabaya","Hubungan Internasional","Ganjil","MITIGASI KEBENCANAAN INTERNASIONAL",2,5,"Wajib"
"Universitas Negeri Surabaya","Hubungan Internasional","Genap","ISU-ISU ENERGI GLOBAL",3,6,"Wajib"
"Universitas Negeri Surabaya","Hubungan Internasional","Genap","KERJASAMA DAN KEPEMIMPINAN GLOBAL",3,6,"Wajib"
"Universitas Negeri Surabaya","Hubungan Internasional","Genap","KORUPSI POLITIK SEBAGAI ISU GLOBAL",2,6,"Wajib"
"Universitas Negeri Surabaya","Hubungan Internasional","Genap","PUBLIKASI ISU-ISU HUBUNGAN INTERNASIONAL",3,6,"Wajib"
"Universitas Negeri Surabaya","Hubungan Internasional","Genap","SEMINAR TUGAS AKHIR",2,6,"Wajib"
"Universitas Negeri Surabaya","Hubungan Internasional","Genap","STUDI AFRIKA",3,6,"Wajib"
"Universitas Negeri Surabaya","Hubungan Internasional","Genap","STUDI ASIA TENGAH",3,6,"Wajib"
"Universitas Negeri Surabaya","Hubungan Internasional","Genap","STUDI ASIA TIMUR",3,6,"Wajib"
"Universitas Negeri Surabaya","Hubungan Internasional","Genap","STUDI AUSTRALIA DAN PASIFIK",3,6,"Wajib"
"Universitas Negeri Surabaya","Hubungan Internasional","Genap","STUDI EROPA",3,6,"Wajib"
"Universitas Negeri Surabaya","Hubungan Internasional","Genap","STUDI HUBUNGAN KULTURAL DUNIA",3,6,"Wajib"
"Universitas Negeri Surabaya","Hubungan Internasional","Genap","STUDI INTERNASIONAL DOMESTIK",3,6,"Wajib"
"Universitas Negeri Surabaya","Hubungan Internasional","Genap","STUDI TIMUR TENGAH",3,6,"Wajib"
"Universitas Negeri Surabaya","Hubungan Internasional","Ganjil","DIPLOMASI PERTAHANAN",2,7,"Wajib"
