universitas,jurusan,semester_type,nama_mk,sks,semester,kategori
"Universitas Negeri Surabaya","Ilmu Administrasi Negara","Ganjil","PANCASILA",2,1,"Wajib"
"Universitas Negeri Surabaya","Ilmu Administrasi Negara","Ganjil","SISTEM ADMINISTRASI NEGARA",3,1,"Wajib"
"Universitas Negeri Surabaya","Ilmu Administrasi Negara","Ganjil","TEORI ADMINISTRASI PUBLIK",3,1,"Wajib"
"Universitas Negeri Surabaya","Ilmu Administrasi Negara","Ganjil","TEORI ORGANISASI",3,1,"Wajib"
"Universitas Negeri Surabaya","Ilmu Administrasi Negara","Ganjil","ETIKA DAN AKUNTABILITAS PUBLIK",3,1,"Wajib"
"Universitas Negeri Surabaya","Ilmu Administrasi Negara","Ganjil","GOVERNANSI DIGITAL",3,1,"Wajib"
"Universitas Negeri Surabaya","Ilmu Administrasi Negara","Ganjil","HUBUNGAN MASYARAKAT",2,1,"Wajib"
"Universitas Negeri Surabaya","Ilmu Administrasi Negara","Genap","Pendidikan Agama  (Wajib memilih salah satu)    -  Agama Budha    -  Agama Hindu    -  Agama Islam    -  Agama Katholik    -  Agama Khonghucu    -  Agama Protestan",2,2,"Wajib"
"Universitas Negeri Surabaya","Ilmu Administrasi Negara","Genap","KEUANGAN PUBLIK",3,2,"Wajib"
"Universitas Negeri Surabaya","Ilmu Administrasi Negara","Genap","KEWARGANEGARAAN",2,2,"Wajib"
"Universitas Negeri Surabaya","Ilmu Administrasi Negara","Genap","LITERASI DIGITAL",2,2,"Wajib"
"Universitas Negeri Surabaya","Ilmu Administrasi Negara","Genap","MANAJEMEN PUBLIK",3,2,"Wajib"
"Universitas Negeri Surabaya","Ilmu Administrasi Negara","Genap","PEMERINTAHAN DAERAH",3,2,"Wajib"
"Universitas Negeri Surabaya","Ilmu Administrasi Negara","Genap","PERILAKU ORGANISASI",3,2,"Wajib"
"Universitas Negeri Surabaya","Ilmu Administrasi Negara","Genap","KEBIJAKAN PUBLIK",3,2,"Wajib"
"Universitas Negeri Surabaya","Ilmu Administrasi Negara","Ganjil","ADMINISTRASI PERKANTORAN",3,3,"Wajib"
"Universitas Negeri Surabaya","Ilmu Administrasi Negara","Ganjil","MANAJEMEN SDM SEKTOR PUBLIK",3,3,"Wajib"
"Universitas Negeri Surabaya","Ilmu Administrasi Negara","Ganjil","PELAYANAN PUBLIK",3,3,"Wajib"
"Universitas Negeri Surabaya","Ilmu Administrasi Negara","Ganjil","STATISTIK SOSIAL",2,3,"Wajib"
"Universitas Negeri Surabaya","Ilmu Administrasi Negara","Ganjil","STUDI IMPLEMENTASI",2,3,"Wajib"
"Universitas Negeri Surabaya","Ilmu Administrasi Negara","Ganjil","ANALISIS KEBIJAKAN PUBLIK",3,3,"Wajib"
"Universitas Negeri Surabaya","Ilmu Administrasi Negara","Ganjil","BAHASA INDONESIA",2,3,"Wajib"
"Universitas Negeri Surabaya","Ilmu Administrasi Negara","Ganjil","GOVERNANSI DAN PEMBANGUNAN",3,3,"Wajib"
"Universitas Negeri Surabaya","Ilmu Administrasi Negara","Ganjil","HUKUM ADMINISTRASI NEGARA",3,3,"Wajib"
"Universitas Negeri Surabaya","Ilmu Administrasi Negara","Genap","ADVOKASI DAN KOMUNIKASI KEBIJAKAN",3,4,"Wajib"
"Universitas Negeri Surabaya","Ilmu Administrasi Negara","Genap","EVALUASI KEBIJAKAN",2,4,"Wajib"
"Universitas Negeri Surabaya","Ilmu Administrasi Negara","Genap","FORMULASI KEBIJAKAN",2,4,"Wajib"
"Universitas Negeri Surabaya","Ilmu Administrasi Negara","Genap","KEWIRAUSAHAAN",2,4,"Wajib"
"Universitas Negeri Surabaya","Ilmu Administrasi Negara","Genap","KOLABORASI TATA KELOLA DAERAH",2,4,"Wajib"
"Universitas Negeri Surabaya","Ilmu Administrasi Negara","Genap","MANAJEMEN BENCANA DAN KETAHANAN MASYARAKAT",2,4,"Wajib"
"Universitas Negeri Surabaya","Ilmu Administrasi Negara","Genap","MANAJEMEN KONFLIK",2,4,"Wajib"
"Universitas Negeri Surabaya","Ilmu Administrasi Negara","Genap","MANAJEMEN STRATEGIS",3,4,"Wajib"
"Universitas Negeri Surabaya","Ilmu Administrasi Negara","Genap","METODE PENELITIAN ADMINISTRASI DAN KEBIJAKAN",3,4,"Wajib"
"Universitas Negeri Surabaya","Ilmu Administrasi Negara","Genap","PEMBERDAYAAN MASYARAKAT DAN DESA",2,4,"Wajib"
"Universitas Negeri Surabaya","Ilmu Administrasi Negara","Genap","PENDIDIKAN JASMANI DAN KEBUGARAN",2,4,"Wajib"
"Universitas Negeri Surabaya","Ilmu Administrasi Negara","Genap","REFORMASI ADMINISTRASI NEGARA",2,4,"Wajib"
"Universitas Negeri Surabaya","Ilmu Administrasi Negara","Genap","BAHASA INGGRIS",2,4,"Wajib"
"Universitas Negeri Surabaya","Ilmu Administrasi Negara","Genap","DESENTRALISASI FISKAL",2,4,"Wajib"
"Universitas Negeri Surabaya","Ilmu Administrasi Negara","Genap","KEBIJAKAN LINGKUNGAN BERKELANJUTAN",2,4,"Wajib"
"Universitas Negeri Surabaya","Ilmu Administrasi Negara","Genap","KEPEMIMPINAN DAN PENGAMBILAN KEPUTUSAN",3,4,"Wajib"
"Universitas Negeri Surabaya","Ilmu Administrasi Negara","Ganjil","ARTIKEL ILMIAH",4,5,"Pilihan"
"Universitas Negeri Surabaya","Ilmu Administrasi Negara","Ganjil","DINAMIKA ORGANISASI",3,5,"Pilihan"
"Universitas Negeri Surabaya","Ilmu Administrasi Negara","Ganjil","REFORMASI KEBIJAKAN PENDIDIKAN",2,5,"Pilihan"
"Universitas Negeri Surabaya","Ilmu Administrasi Negara","Ganjil","ASISTENSI MENGAJAR PERENCANAAN PROGRAM",2,5,"Pilihan"
"Universitas Negeri Surabaya","Ilmu Administrasi Negara","Genap","KINERJA ORGANISASI PUBLIK",2,6,"Pilihan"
"Universitas Negeri Surabaya","Ilmu Administrasi Negara","Genap","MANAJEMEN RISIKO SEKTOR PUBLIK",2,6,"Pilihan"
"Universitas Negeri Surabaya","Ilmu Administrasi Negara","Genap","SEMINAR PROPOSAL TUGAS AKHIR",2,6,"Pilihan"
"Universitas Negeri Surabaya","Ilmu Administrasi Negara","Genap","TANGGUNG JAWAB SOSIAL PERUSAHAAN",2,6,"Pilihan"
"Universitas Negeri Surabaya","Ilmu Administrasi Negara","Genap","ANALISIS DAMPAK ORGANISASI SEKTOR PUBLIK",4,6,"Pilihan"
"Universitas Negeri Surabaya","Ilmu Administrasi Negara","Ganjil","SEMINAR ADMINISTRASI NEGARA",3,7,"Wajib"
"Universitas Negeri Surabaya","Ilmu Administrasi Negara","Ganjil","TUGAS AKHIR",4,7,"Wajib"
"Universitas Negeri Surabaya","Ilmu Administrasi Negara","Ganjil","ANALISIS JABATAN",2,7,"Wajib"
"Universitas Negeri Surabaya","Ilmu Administrasi Negara","Ganjil","KEBIJAKAN MANAJEMEN PENDIDIKAN",3,7,"Wajib"
"Universitas Negeri Surabaya","Ilmu Administrasi Negara","Ganjil","PERENCANAAN SDM",2,7,"Wajib"
