universitas,jurusan,semester_type,nama_mk,sks,semester,kategori
"Universitas Negeri Surabaya","Ilmu Hukum","Ganjil","BAHASA INDONESIA",2,1,"Wajib"
"Universitas Negeri Surabaya","Ilmu Hukum","Ganjil","LOGIKA DAN ARGUMENTASI HUKUM",2,1,"Wajib"
"Universitas Negeri Surabaya","Ilmu Hukum","Ganjil","PANCASILA",2,1,"Wajib"
"Universitas Negeri Surabaya","Ilmu Hukum","Ganjil","PENDIDIKAN JASMANI DAN KEBUGARAN",2,1,"Wajib"
"Universitas Negeri Surabaya","Ilmu Hukum","Ganjil","PENGANTAR HUKUM INDONESIA",2,1,"Wajib"
"Universitas Negeri Surabaya","Ilmu Hukum","Ganjil","PENGANTAR ILMU HUKUM",4,1,"Wajib"
"Universitas Negeri Surabaya","Ilmu Hukum","Ganjil","SOSIOLOGI DAN ANTROPOLOGI",2,1,"Wajib"
"Universitas Negeri Surabaya","Ilmu Hukum","Ganjil","Pendidikan Agama  (Wajib memilih salah satu)    -  Agama Budha    -  Agama Hindu    -  Agama Islam    -  Agama Katholik    -  Agama Khonghucu    -  Agama Protestan",2,1,"Wajib"
"Universitas Negeri Surabaya","Ilmu Hukum","Ganjil","ILMU NEGARA",2,1,"Wajib"
"Universitas Negeri Surabaya","Ilmu Hukum","Genap","HUKUM ADMINISTRASI NEGARA",2,2,"Wajib"
"Universitas Negeri Surabaya","Ilmu Hukum","Genap","HUKUM PIDANA",2,2,"Wajib"
"Universitas Negeri Surabaya","Ilmu Hukum","Genap","METODOLOGI PENELITIAN HUKUM (MPH)",3,2,"Wajib"
"Universitas Negeri Surabaya","Ilmu Hukum","Genap","ETIKA PROFESI HUKUM",2,2,"Wajib"
"Universitas Negeri Surabaya","Ilmu Hukum","Genap","HUKUM INTERNASIONAL",2,2,"Wajib"
"Universitas Negeri Surabaya","Ilmu Hukum","Genap","HUKUM KEOLAHRAGAAN",2,2,"Wajib"
"Universitas Negeri Surabaya","Ilmu Hukum","Genap","HUKUM TATA NEGARA",2,2,"Wajib"
"Universitas Negeri Surabaya","Ilmu Hukum","Genap","KEWARGANEGARAAN",2,2,"Wajib"
"Universitas Negeri Surabaya","Ilmu Hukum","Ganjil","HUKUM ADAT",2,3,"Wajib"
"Universitas Negeri Surabaya","Ilmu Hukum","Ganjil","HUKUM AGRARIA",2,3,"Wajib"
"Universitas Negeri Surabaya","Ilmu Hukum","Ganjil","HUKUM DAGANG",2,3,"Wajib"
"Universitas Negeri Surabaya","Ilmu Hukum","Ganjil","HUKUM DAN HAM",2,3,"Wajib"
"Universitas Negeri Surabaya","Ilmu Hukum","Ganjil","HUKUM KETENAGAKERJAAN",2,3,"Wajib"
"Universitas Negeri Surabaya","Ilmu Hukum","Ganjil","HUKUM LINGKUNGAN",2,3,"Wajib"
"Universitas Negeri Surabaya","Ilmu Hukum","Ganjil","HUKUM PERDATA INTERNASIONAL",2,3,"Wajib"
"Universitas Negeri Surabaya","Ilmu Hukum","Ganjil","HUKUM PERJANJIAN",2,3,"Wajib"
"Universitas Negeri Surabaya","Ilmu Hukum","Ganjil","HUKUM PERUNDANG-UNDANGAN",2,3,"Wajib"
"Universitas Negeri Surabaya","Ilmu Hukum","Ganjil","HUKUM PERUSAHAAN",2,3,"Wajib"
"Universitas Negeri Surabaya","Ilmu Hukum","Ganjil","TINDAK PIDANA DALAM KUHP",2,3,"Wajib"
"Universitas Negeri Surabaya","Ilmu Hukum","Ganjil","HUKUM ISLAM",2,3,"Wajib"
"Universitas Negeri Surabaya","Ilmu Hukum","Genap","FILSAFAT HUKUM",2,4,"Wajib"
"Universitas Negeri Surabaya","Ilmu Hukum","Genap","HAKI",2,4,"Wajib"
"Universitas Negeri Surabaya","Ilmu Hukum","Genap","HUKUM ACARA MAHKAMAH KONSTITUSI",2,4,"Wajib"
"Universitas Negeri Surabaya","Ilmu Hukum","Genap","HUKUM ACARA PERADILAN TATA USAHA NEGARA",2,4,"Wajib"
"Universitas Negeri Surabaya","Ilmu Hukum","Genap","HUKUM ACARA PERDATA",3,4,"Wajib"
"Universitas Negeri Surabaya","Ilmu Hukum","Genap","HUKUM ACARA PIDANA",3,4,"Wajib"
"Universitas Negeri Surabaya","Ilmu Hukum","Genap","HUKUM LAUT INTERNASIONAL",2,4,"Wajib"
"Universitas Negeri Surabaya","Ilmu Hukum","Genap","HUKUM PERBANKAN",2,4,"Wajib"
"Universitas Negeri Surabaya","Ilmu Hukum","Genap","PENDAFTARAN DAN PERALIHAN HAK ATAS TANAH",2,4,"Wajib"
"Universitas Negeri Surabaya","Ilmu Hukum","Genap","SOSIOLOGI HUKUM",2,4,"Wajib"
"Universitas Negeri Surabaya","Ilmu Hukum","Genap","PENGEMBANGAN KARIER",2,4,"Wajib"
