universitas,jurusan,semester_type,nama_mk,sks,semester,kategori
"Universitas Negeri Surabaya","Ilmu Keolahragaan","Ganjil","Pendidikan Agama  (Wajib memilih salah satu)    -  Agama Budha    -  Agama Hindu    -  Agama Islam    -  Agama Katholik    -  Agama Khonghucu    -  Agama Protestan",2,1,"Wajib"
"Universitas Negeri Surabaya","Ilmu Keolahragaan","Ganjil","ANALISIS PERFORMA ATLETIK",2,1,"Wajib"
"Universitas Negeri Surabaya","Ilmu Keolahragaan","Ganjil","PANCASILA",2,1,"Wajib"
"Universitas Negeri Surabaya","Ilmu Keolahragaan","Ganjil","ANALISIS PERFORMA RENANG",2,1,"Wajib"
"Universitas Negeri Surabaya","Ilmu Keolahragaan","Ganjil","ANATOMI",4,1,"Wajib"
"Universitas Negeri Surabaya","Ilmu Keolahragaan","Ganjil","BAHASA INDONESIA",2,1,"Wajib"
"Universitas Negeri Surabaya","Ilmu Keolahragaan","Ganjil","BAHASA INGGRIS",2,1,"Wajib"
"Universitas Negeri Surabaya","Ilmu Keolahragaan","Ganjil","BIOKIMIA OLAHRAGA",2,1,"Wajib"
"Universitas Negeri Surabaya","Ilmu Keolahragaan","Ganjil","FILSAFAT DAN SEJARAH OLAHRAGA",2,1,"Wajib"
"Universitas Negeri Surabaya","Ilmu Keolahragaan","Genap","LITERASI DIGITAL",2,2,"Wajib"
"Universitas Negeri Surabaya","Ilmu Keolahragaan","Genap","ORGANISASI DAN ADMINISTRASI PERTANDINGAN",2,2,"Wajib"
"Universitas Negeri Surabaya","Ilmu Keolahragaan","Genap","ANALISIS PERFORMA OLAHRAGA BELA DIRI",2,2,"Wajib"
"Universitas Negeri Surabaya","Ilmu Keolahragaan","Genap","ANALISIS PERFORMA SENAM",2,2,"Wajib"
"Universitas Negeri Surabaya","Ilmu Keolahragaan","Genap","FARMAKOLOGI OLAHRAGA DAN DOPING",2,2,"Wajib"
"Universitas Negeri Surabaya","Ilmu Keolahragaan","Genap","FISIOLOGI",4,2,"Wajib"
"Universitas Negeri Surabaya","Ilmu Keolahragaan","Genap","ILMU GIZI OLAHRAGA",2,2,"Wajib"
"Universitas Negeri Surabaya","Ilmu Keolahragaan","Genap","KEWARGANEGARAAN",2,2,"Wajib"
"Universitas Negeri Surabaya","Ilmu Keolahragaan","Genap","KEWIRAUSAHAAN",2,2,"Wajib"
"Universitas Negeri Surabaya","Ilmu Keolahragaan","Ganjil","KINESIOLOGI OLAHRAGA",2,3,"Wajib"
"Universitas Negeri Surabaya","Ilmu Keolahragaan","Ganjil","MANAJEMEN OLAHRAGA",2,3,"Wajib"
"Universitas Negeri Surabaya","Ilmu Keolahragaan","Ganjil","PENDIDIKAN KEWARGANEGARAAN",2,3,"Wajib"
"Universitas Negeri Surabaya","Ilmu Keolahragaan","Ganjil","PSIKOLOGI OLAHRAGA",2,3,"Wajib"
"Universitas Negeri Surabaya","Ilmu Keolahragaan","Ganjil","TEORI DAN PERKEMBANGAN FITNES",3,3,"Wajib"
"Universitas Negeri Surabaya","Ilmu Keolahragaan","Ganjil","FISIOLOGI OLAHRAGA",3,3,"Wajib"
"Universitas Negeri Surabaya","Ilmu Keolahragaan","Ganjil","STATISTIK",3,3,"Wajib"
"Universitas Negeri Surabaya","Ilmu Keolahragaan","Ganjil","TEKNOLOGI OLAHRAGA",2,3,"Wajib"
"Universitas Negeri Surabaya","Ilmu Keolahragaan","Ganjil","TES DAN PENGUKURAN OLAHRAGA",4,3,"Wajib"
"Universitas Negeri Surabaya","Ilmu Keolahragaan","Genap","OLAHRAGA ADAPTIF",2,4,"Wajib"
"Universitas Negeri Surabaya","Ilmu Keolahragaan","Genap","OLAHRAGA PADA WANITA DAN LANSIA",2,4,"Wajib"
"Universitas Negeri Surabaya","Ilmu Keolahragaan","Genap","PATOLOGI TERAPI MASASE OLAHRAGA",2,4,"Wajib"
"Universitas Negeri Surabaya","Ilmu Keolahragaan","Genap","PENCEGAHAN DAN PERAWATAN CEDERA OLAHRAGA",3,4,"Wajib"
"Universitas Negeri Surabaya","Ilmu Keolahragaan","Genap","PENGANTAR OLAHRAGA REKREASI",3,4,"Wajib"
"Universitas Negeri Surabaya","Ilmu Keolahragaan","Genap","PERKEMBANGAN DAN BELAJAR MOTORIK",3,4,"Wajib"
"Universitas Negeri Surabaya","Ilmu Keolahragaan","Genap","BIOMEKANIKA OLAHRAGA",3,4,"Wajib"
"Universitas Negeri Surabaya","Ilmu Keolahragaan","Genap","EVALUASI PROGRAM KEOLAHRAGAAN",3,4,"Wajib"
"Universitas Negeri Surabaya","Ilmu Keolahragaan","Genap","FAAL LINGKUNGAN DAN METODE LATIHAN",2,4,"Wajib"
"Universitas Negeri Surabaya","Ilmu Keolahragaan","Genap","MASASE WANITA DAN LANSIA",2,4,"Wajib"
"Universitas Negeri Surabaya","Ilmu Keolahragaan","Genap","METODOLOGI KEPELATIHAN OLAHRAGA",3,4,"Wajib"
"Universitas Negeri Surabaya","Ilmu Keolahragaan","Genap","METODOLOGI PELATIHAN OLAHRAGA",3,4,"Wajib"
"Universitas Negeri Surabaya","Ilmu Keolahragaan","Genap","METODOLOGI PENELITIAN",4,4,"Wajib"
"Universitas Negeri Surabaya","Ilmu Keolahragaan","Genap","MUSCLE TESTING DAN TAPING",3,4,"Wajib"
"Universitas Negeri Surabaya","Ilmu Keolahragaan","Genap","OLAHRAGA USIA DINI",2,4,"Wajib"
"Universitas Negeri Surabaya","Ilmu Keolahragaan","Genap","PROFESI DAN ETIKA OLAHRAGA REKREASI",2,4,"Wajib"
"Universitas Negeri Surabaya","Ilmu Keolahragaan","Genap","PROGRAM LATIHAN FISIK",2,4,"Wajib"
"Universitas Negeri Surabaya","Ilmu Keolahragaan","Ganjil","PENGEMBANGAN SARANA DAN PRASARANA OLAHRAGA",4,5,"Wajib"
"Universitas Negeri Surabaya","Ilmu Keolahragaan","Ganjil","PENGEMBANGAN TEKNOLOGI OLAHRAGA MASYARAKAT",4,5,"Wajib"
"Universitas Negeri Surabaya","Ilmu Keolahragaan","Ganjil","EVALUASI PROGRAM PROYEK KEOLAHRAGAAN DI DESA",4,5,"Wajib"
"Universitas Negeri Surabaya","Ilmu Keolahragaan","Ganjil","ANALISIS POTENSI OLAHRAGA MASYARAKAT",2,5,"Wajib"
"Universitas Negeri Surabaya","Ilmu Keolahragaan","Ganjil","OBSERVASI BERKEHIDUPAN OLAHRAGA",2,5,"Wajib"
"Universitas Negeri Surabaya","Ilmu Keolahragaan","Ganjil","PROGRAM PEMBINAAN OLAHRAGA MASYARAKAT",4,5,"Wajib"
"Universitas Negeri Surabaya","Ilmu Keolahragaan","Genap","EVALUASI PROGRAM KERJA DI DUNIA USAHA DAN DUNIA INDUSTRI",4,6,"Wajib"
"Universitas Negeri Surabaya","Ilmu Keolahragaan","Genap","LAPORAN PKL",4,6,"Wajib"
"Universitas Negeri Surabaya","Ilmu Keolahragaan","Genap","PENDAMPINGAN KERJA DI DUNIA USAHA DAN INDUSTRI",4,6,"Wajib"
"Universitas Negeri Surabaya","Ilmu Keolahragaan","Genap","ETIKA LAYANAN",2,6,"Wajib"
"Universitas Negeri Surabaya","Ilmu Keolahragaan","Genap","PRAKTEK KERJA DI DUNIA USAHA DAN INDUSTRI",4,6,"Wajib"
"Universitas Negeri Surabaya","Ilmu Keolahragaan","Genap","SEMINAR HASIL EVALUASI PROGRAM",2,6,"Wajib"
"Universitas Negeri Surabaya","Ilmu Keolahragaan","Ganjil","ANALISIS PERFORMA BEREGU (SEPAKBOLA)",2,7,"Wajib"
"Universitas Negeri Surabaya","Ilmu Keolahragaan","Ganjil","ANALISIS PERFORMA BOLAVOLI",3,7,"Wajib"
"Universitas Negeri Surabaya","Ilmu Keolahragaan","Ganjil","ANALISIS PERFORMA INDIVIDU (BULUTANGKIS)",2,7,"Wajib"
"Universitas Negeri Surabaya","Ilmu Keolahragaan","Ganjil","ANALISIS PERFORMA INDIVIDU (TENIS LAPANGAN)",2,7,"Wajib"
"Universitas Negeri Surabaya","Ilmu Keolahragaan","Ganjil","PENCEGAHAN & PERAWATAN CEDERA",2,7,"Wajib"
"Universitas Negeri Surabaya","Ilmu Keolahragaan","Ganjil","PUBLIC RELATION DAN KOMUNIKASI OLAHRAGA REKREASI",2,7,"Wajib"
"Universitas Negeri Surabaya","Ilmu Keolahragaan","Ganjil","SARANA PRASARANA OLAHRAGA REKREASI",2,7,"Wajib"
"Universitas Negeri Surabaya","Ilmu Keolahragaan","Ganjil","ANALISIS PERFORMA BEREGU (BOLABASKET)",2,7,"Wajib"
"Universitas Negeri Surabaya","Ilmu Keolahragaan","Ganjil","ANALISIS PERFORMA BEREGU (BOLATANGAN)",2,7,"Wajib"
"Universitas Negeri Surabaya","Ilmu Keolahragaan","Ganjil","ANALISIS PERFORMA INDIVIDU (TENIS MEJA)",2,7,"Wajib"
"Universitas Negeri Surabaya","Ilmu Keolahragaan","Ganjil","FARMAKOLOGI OLAHRAGA DAN LATIHAN",3,7,"Wajib"
"Universitas Negeri Surabaya","Ilmu Keolahragaan","Ganjil","MANAJEMEN DAN ADMINISTRASI OLAHRAGA REKREASI",3,7,"Wajib"
"Universitas Negeri Surabaya","Ilmu Keolahragaan","Ganjil","MASASE OLAHRAGA",2,7,"Wajib"
"Universitas Negeri Surabaya","Ilmu Keolahragaan","Ganjil","PROMOSI KESEHATAN DAN KEBUGARAN",2,7,"Wajib"
"Universitas Negeri Surabaya","Ilmu Keolahragaan","Ganjil","SKRIPSI",6,7,"Wajib"
"Universitas Negeri Surabaya","Ilmu Keolahragaan","Ganjil","STRATEGI BISNIS OLAHRAGA REKREASI",2,7,"Wajib"
"Universitas Negeri Surabaya","Ilmu Keolahragaan","Ganjil","SURVIVAL LIFE SAVING DAN WATERSAFETY",2,7,"Wajib"
"Universitas Negeri Surabaya","Ilmu Keolahragaan","Genap","PKL",4,8,"Wajib"
"Universitas Negeri Surabaya","Ilmu Keolahragaan","Genap","OLAHRAGA DAN SDGS",2,8,"Wajib"
"Universitas Negeri Surabaya","Ilmu Keolahragaan","Genap","TEKNOLOGI INFORMASI DAN KOMUNIKASI (TIK)",2,8,"Wajib"
