universitas,jurusan,semester_type,nama_mk,sks,semester,kategori
"Universitas Negeri Surabaya","Ilmu Komunikasi","Ganjil","DASAR JURNALISTIK",3,1,"Wajib"
"Universitas Negeri Surabaya","Ilmu Komunikasi","Ganjil","EVOLUSI KOMUNIKASI",3,1,"Wajib"
"Universitas Negeri Surabaya","Ilmu Komunikasi","Ganjil","KOMUNIKASI ANTARPERSONA",3,1,"Wajib"
"Universitas Negeri Surabaya","Ilmu Komunikasi","Ganjil","KOMUNIKASI DAN PERUBAHAN SOSIAL",3,1,"Wajib"
"Universitas Negeri Surabaya","Ilmu Komunikasi","Ganjil","KOMUNIKASI PEMASARAN",3,1,"Wajib"
"Universitas Negeri Surabaya","Ilmu Komunikasi","Ganjil","PANCASILA",2,1,"Wajib"
"Universitas Negeri Surabaya","Ilmu Komunikasi","Ganjil","PENGANTAR ILMU KOMUNIKASI",3,1,"Wajib"
"Universitas Negeri Surabaya","Ilmu Komunikasi","Genap","Pendidikan Agama  (Wajib memilih salah satu)    -  Agama Budha    -  Agama Hindu    -  Agama Islam    -  Agama Katholik    -  Agama Khonghucu    -  Agama Protestan",2,2,"Wajib"
"Universitas Negeri Surabaya","Ilmu Komunikasi","Genap","TEORI KOMUNIKASI",3,2,"Wajib"
"Universitas Negeri Surabaya","Ilmu Komunikasi","Genap","FOTOGRAFI",3,2,"Wajib"
"Universitas Negeri Surabaya","Ilmu Komunikasi","Genap","KEWARGANEGARAAN",2,2,"Wajib"
"Universitas Negeri Surabaya","Ilmu Komunikasi","Genap","KOMUNIKASI LINTAS BUDAYA",3,2,"Wajib"
"Universitas Negeri Surabaya","Ilmu Komunikasi","Genap","KOMUNIKASI ORGANISASI",3,2,"Wajib"
"Universitas Negeri Surabaya","Ilmu Komunikasi","Genap","MEDIA BARU",2,2,"Wajib"
"Universitas Negeri Surabaya","Ilmu Komunikasi","Genap","TEHNIK PENULISAN KARYA ILMIAH",2,2,"Wajib"
"Universitas Negeri Surabaya","Ilmu Komunikasi","Ganjil","BAHASA INDONESIA",2,3,"Wajib"
"Universitas Negeri Surabaya","Ilmu Komunikasi","Ganjil","DESAIN KOMUNIKASI VISUAL",3,3,"Wajib"
"Universitas Negeri Surabaya","Ilmu Komunikasi","Ganjil","METODE PENELITIAN SOSIAL",3,3,"Wajib"
"Universitas Negeri Surabaya","Ilmu Komunikasi","Ganjil","STATISTIK SOSIAL",2,3,"Wajib"
"Universitas Negeri Surabaya","Ilmu Komunikasi","Ganjil","KETRAMPILAN BERPIDATO",3,3,"Wajib"
"Universitas Negeri Surabaya","Ilmu Komunikasi","Ganjil","KOMUNIKASI INTERNASIONAL",3,3,"Wajib"
"Universitas Negeri Surabaya","Ilmu Komunikasi","Ganjil","KOMUNIKASI KELUARGA",3,3,"Wajib"
"Universitas Negeri Surabaya","Ilmu Komunikasi","Ganjil","MANAJEMEN INDUSTRI MEDIA",3,3,"Wajib"
"Universitas Negeri Surabaya","Ilmu Komunikasi","Ganjil","MARKETING SOSIAL",3,3,"Wajib"
"Universitas Negeri Surabaya","Ilmu Komunikasi","Ganjil","PERENCANAAN PERIKLANAN",3,3,"Wajib"
"Universitas Negeri Surabaya","Ilmu Komunikasi","Ganjil","SINEMATOGRAFI",3,3,"Wajib"
"Universitas Negeri Surabaya","Ilmu Komunikasi","Ganjil","TANGGUNG JAWAB SOSIAL KORPORAT",3,3,"Wajib"
"Universitas Negeri Surabaya","Ilmu Komunikasi","Genap","EDUCATION -ENTERTAINMENT",2,4,"Wajib"
"Universitas Negeri Surabaya","Ilmu Komunikasi","Genap","FILMOLOGI",2,4,"Wajib"
"Universitas Negeri Surabaya","Ilmu Komunikasi","Genap","GENDER DAN MEDIA",3,4,"Wajib"
"Universitas Negeri Surabaya","Ilmu Komunikasi","Genap","JURNALISME DATA",3,4,"Wajib"
"Universitas Negeri Surabaya","Ilmu Komunikasi","Genap","KEWIRAUSAHAAN",2,4,"Wajib"
"Universitas Negeri Surabaya","Ilmu Komunikasi","Genap","KOMUNIKASI PENDIDIKAN",3,4,"Wajib"
"Universitas Negeri Surabaya","Ilmu Komunikasi","Genap","KOMUNIKASI POLITIK",3,4,"Wajib"
"Universitas Negeri Surabaya","Ilmu Komunikasi","Genap","KREATIVITA PERIKLANAN",3,4,"Wajib"
"Universitas Negeri Surabaya","Ilmu Komunikasi","Genap","MANAJEMEN HUMAS",3,4,"Wajib"
"Universitas Negeri Surabaya","Ilmu Komunikasi","Genap","MEETING, INCENTIVE, CONVENTION, EXHIBITION (MICE)",3,4,"Wajib"
"Universitas Negeri Surabaya","Ilmu Komunikasi","Genap","METODE PENELITIAN KOMUNIKASI",3,4,"Wajib"
"Universitas Negeri Surabaya","Ilmu Komunikasi","Genap","PENDIDIKAN JASMANI DAN KEBUGARAN",2,4,"Wajib"
"Universitas Negeri Surabaya","Ilmu Komunikasi","Genap","PENULISAN HUMAS",2,4,"Wajib"
"Universitas Negeri Surabaya","Ilmu Komunikasi","Genap","PRODUKSI MEDIA MASSA",3,4,"Wajib"
"Universitas Negeri Surabaya","Ilmu Komunikasi","Genap","REKAYASA SOSIAL",3,4,"Wajib"
"Universitas Negeri Surabaya","Ilmu Komunikasi","Genap","SOCIAL MEDIA LIFE",3,4,"Wajib"
"Universitas Negeri Surabaya","Ilmu Komunikasi","Genap","VISUAL DIGITAL DAN MULTIMEDIA",3,4,"Wajib"
"Universitas Negeri Surabaya","Ilmu Komunikasi","Ganjil","BAHASA INGGRIS BIDANG ILMU KOMUNIKASI",2,5,"Pilihan"
"Universitas Negeri Surabaya","Ilmu Komunikasi","Ganjil","INOVASI KOMUNIKASI",4,5,"Pilihan"
"Universitas Negeri Surabaya","Ilmu Komunikasi","Ganjil","STRATEGI KOMUNIKASI",4,5,"Pilihan"
"Universitas Negeri Surabaya","Ilmu Komunikasi","Ganjil","KOMUNIKASI DIGITAL",4,5,"Pilihan"
"Universitas Negeri Surabaya","Ilmu Komunikasi","Ganjil","LITERASI DIGITAL",2,5,"Pilihan"
"Universitas Negeri Surabaya","Ilmu Komunikasi","Ganjil","NEGOSIASI DAN PERSUASI",4,5,"Pilihan"
"Universitas Negeri Surabaya","Ilmu Komunikasi","Genap","EVALUASI PELAKSANAAN MAGANG",4,6,"Wajib"
"Universitas Negeri Surabaya","Ilmu Komunikasi","Genap","INTERAKSI DAN KOMUNIKASI DUNIA KERJA",4,6,"Wajib"
"Universitas Negeri Surabaya","Ilmu Komunikasi","Genap","KETERAMPILAN BIDANG KOMUNIKASI",4,6,"Wajib"
"Universitas Negeri Surabaya","Ilmu Komunikasi","Genap","KINERJA KOMUNIKASI",4,6,"Wajib"
